name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,09/30/1996
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-358,700,000","-356,462,000",,,,,,,,,,,,,,"-18,468,000","-20,470,000","-23,305,000","-17,968,000","-20,163,000","-19,124,000","-20,927,000","-17,961,000","-11,716,000","-13,061,000","-14,562,000","-12,081,000","-10,026,000","-27,900,000","-100,000","4,500,000","-8,183,000","45,900,000","51,200,000","64,000,000","-4,731,000","82,800,000","79,800,000","88,500,000","194,100,000"
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","3,720,000","3,693,000","3,747,000","3,991,000","954,801,000","904,789,000","800,635,000","661,067,000","636,339,000","631,431,000","539,877,000","760,544,000","0","0","0","0","0","700,562,000","650,763,000","768,531,000","699,534,000","794,499,000","758,851,000","815,451,000","761,815,000","714,186,000","679,568,000","650,284,000","612,431,000","555,433,000","531,929,000","462,911,000","299,780,000","381,474,000","349,207,000","347,794,000","310,874,000","398,214,000","388,274,000","430,498,000","501,572,000","487,552,000","467,583,000","448,176,000","432,931,000","410,339,000","393,160,000","362,581,000","87,630,000","87,630,000","87,630,000","87,630,000","89,630,000","89,630,000","89,630,000","89,630,000","94,100,000","94,100,000","100,000,000","100,000,000","100,000,000","100,000,000","114,100,000","113,682,000","10,700,000","115,500,000","15,300,000","15,300,000"
TotalCapitalization,"6,818,221,000","7,355,472,000","7,334,733,000","7,295,732,000","6,745,532,000","6,036,207,000","5,877,270,000","5,850,432,000","5,426,248,000","5,380,998,000","5,392,257,000","5,944,121,000","5,806,538,000","5,815,240,000","5,759,410,000","5,657,794,000","5,718,129,000","5,698,263,000","5,666,864,000","5,809,306,000","5,609,063,000","4,115,237,000","3,985,359,000","4,085,417,000","4,011,731,000","4,153,814,000","3,960,121,000","3,818,708,000","3,817,420,000","3,854,840,000","4,197,551,000","4,197,303,000","4,146,564,000","3,958,813,000","3,897,038,000","3,864,472,000","4,049,080,000","4,485,480,000","4,522,942,000","4,324,351,000","4,340,377,000","4,140,786,000","4,170,470,000","3,853,602,000","3,571,403,000","3,482,743,000","3,491,241,000","3,823,433,000","3,836,951,000","3,929,454,000","3,972,291,000","3,910,038,000","3,753,560,000","3,833,590,000","3,310,300,000","3,126,612,000","3,018,982,000","2,856,933,000","2,943,786,000","3,276,053,000","3,090,747,000","3,097,135,000","2,910,208,000","3,253,781,000","3,193,826,000","2,787,736,000","2,527,645,000","2,423,965,000","2,257,268,000","1,917,035,000","1,768,068,000","1,665,324,000","1,476,599,000","1,408,524,000","1,000,393,000","824,304,000","797,083,000","750,818,000","914,037,000","875,241,000","859,851,000","850,329,000","862,800,000","733,100,000","731,400,000","712,232,000","748,900,000","725,500,000","681,600,000","648,703,000","745,700,000","612,900,000","590,300,000","729,700,000"
PreferredStockEquity,"525,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","550,000,000","550,000,000","550,000,000","550,000,000","550,000,000","550,000,000","550,000,000","550,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","800,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","500,000,000","250,000,000","250,000,000","250,000,000","250,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000",,,,,,,,,,,,,,,,,,,,
CommonStockEquity,"5,158,526,000","5,321,367,000","5,301,235,000","5,262,842,000","4,904,033,000","4,395,080,000","4,236,521,000","4,210,061,000","4,036,253,000","3,991,375,000","4,003,012,000","4,555,255,000","4,460,837,000","4,466,577,000","4,407,790,000","4,303,217,000","4,360,593,000","4,332,184,000","4,297,643,000","4,436,944,000","4,382,289,000","3,465,715,000","3,335,860,000","3,435,941,000","3,362,278,000","3,504,384,000","3,310,714,000","3,168,297,000","3,163,105,000","3,103,065,000","3,288,956,000","3,293,010,000","3,244,565,000","3,055,193,000","2,997,814,000","2,965,271,000","2,949,902,000","3,386,325,000","3,323,810,000","3,125,242,000","3,141,291,000","3,190,786,000","3,070,470,000","2,753,602,000","2,471,403,000","2,382,743,000","2,391,241,000","2,723,433,000","2,735,952,000","2,827,503,000","2,871,751,000","2,810,038,000","2,653,560,000","2,480,497,000","2,297,207,000","2,038,519,000","1,915,889,000","1,753,840,000","1,990,693,000","2,322,960,000","2,137,654,000","2,144,042,000","1,957,115,000","2,300,688,000","2,240,733,000","2,084,643,000","1,927,645,000","1,823,965,000","1,632,268,000","1,492,035,000","1,343,068,000","1,240,324,000","1,143,099,000","1,075,024,000","816,893,000","774,304,000","747,083,000","700,818,000","664,037,000","625,241,000","609,851,000","600,329,000","612,800,000","608,100,000","606,400,000","612,232,000","648,900,000","640,500,000","631,600,000","598,703,000","595,700,000","562,900,000","540,300,000","579,700,000"
NetTangibleAssets,"5,423,450,000","5,709,141,000","5,687,976,000","5,647,625,000","5,286,882,000","4,807,662,000","4,647,718,000","4,619,874,000","4,194,681,000","4,148,230,000","4,158,225,000","4,708,825,000","4,612,512,000","4,615,391,000","4,553,112,000","4,445,047,000","4,498,931,000","4,467,030,000","4,427,430,000","4,561,201,000","4,500,955,000","3,857,813,000","3,727,906,000","3,827,934,000","3,754,219,000","3,896,273,000","3,701,736,000","3,560,015,000","3,554,721,000","3,494,579,000","3,830,368,000","3,834,320,000","3,785,488,000","3,596,299,000","3,533,584,000","3,500,888,000","3,485,365,000","3,921,635,000","3,900,845,000","3,701,099,000","3,715,875,000","3,764,098,000","3,651,295,000","3,332,759,000","3,048,866,000","2,958,562,000","2,969,299,000","3,299,264,000","3,385,952,000","3,477,503,000","3,521,751,000","3,460,038,000","3,303,560,000","3,280,497,000","2,797,207,000","2,538,519,000","2,415,889,000","2,253,840,000","2,490,693,000","2,822,960,000","2,637,654,000","2,644,042,000","2,457,115,000","2,800,688,000","2,740,733,000","2,334,643,000","2,177,645,000","2,073,965,000","1,882,268,000","1,642,035,000","1,493,068,000","1,390,324,000","1,293,099,000","1,225,024,000","816,893,000","774,304,000","747,083,000","700,818,000","664,037,000","625,241,000","609,851,000","600,329,000","612,800,000","608,100,000","606,400,000","612,232,000","648,900,000","640,500,000","631,600,000","598,703,000","595,700,000","562,900,000","540,300,000","579,700,000"
InvestedCapital,"6,293,221,000","6,705,472,000","6,684,733,000","6,645,732,000","6,095,532,000","5,386,207,000","5,227,270,000","5,200,432,000","5,026,248,000","4,980,998,000","4,992,257,000","5,544,121,000","5,406,538,000","5,415,240,000","5,359,410,000","5,257,794,000","5,318,129,000","5,298,263,000","5,266,864,000","5,409,306,000","5,209,063,000","3,715,237,000","3,585,359,000","3,685,417,000","3,611,731,000","3,753,814,000","3,560,121,000","3,418,708,000","3,417,420,000","3,454,840,000","3,647,551,000","3,647,303,000","3,596,564,000","3,408,813,000","3,347,038,000","3,314,472,000","3,499,080,000","3,935,480,000","3,872,942,000","3,674,351,000","3,690,377,000","3,490,786,000","3,520,470,000","3,203,602,000","2,921,403,000","2,832,743,000","2,841,241,000","3,173,433,000","3,186,951,000","3,279,454,000","3,322,291,000","3,260,038,000","3,103,560,000","3,033,590,000","2,810,300,000","2,626,612,000","2,518,982,000","2,356,933,000","2,443,786,000","2,776,053,000","2,590,747,000","2,597,135,000","2,410,208,000","2,753,781,000","2,693,826,000","2,537,736,000","2,277,645,000","2,173,965,000","2,007,268,000","1,767,035,000","1,618,068,000","1,515,324,000","1,326,599,000","1,258,524,000","1,000,393,000","824,304,000","797,083,000","750,818,000","914,037,000","875,241,000","859,851,000","850,329,000","862,800,000","733,100,000","731,400,000","712,232,000","748,900,000","725,500,000","681,600,000","648,703,000","745,700,000","612,900,000","590,300,000","729,700,000"
TangibleBookValue,"4,898,450,000","5,059,141,000","5,037,976,000","4,997,625,000","4,636,882,000","4,157,662,000","3,997,718,000","3,969,874,000","3,794,681,000","3,748,230,000","3,758,225,000","4,308,825,000","4,212,512,000","4,215,391,000","4,153,112,000","4,045,047,000","4,098,931,000","4,067,030,000","4,027,430,000","4,161,201,000","4,100,955,000","3,457,813,000","3,327,906,000","3,427,934,000","3,354,219,000","3,496,273,000","3,301,736,000","3,160,015,000","3,154,721,000","3,094,579,000","3,280,368,000","3,284,320,000","3,235,488,000","3,046,299,000","2,983,584,000","2,950,888,000","2,935,365,000","3,371,635,000","3,250,845,000","3,051,099,000","3,065,875,000","3,114,098,000","3,001,295,000","2,682,759,000","2,398,866,000","2,308,562,000","2,319,299,000","2,649,264,000","2,735,952,000","2,827,503,000","2,871,751,000","2,810,038,000","2,653,560,000","2,480,497,000","2,297,207,000","2,038,519,000","1,915,889,000","1,753,840,000","1,990,693,000","2,322,960,000","2,137,654,000","2,144,042,000","1,957,115,000","2,300,688,000","2,240,733,000","2,084,643,000","1,927,645,000","1,823,965,000","1,632,268,000","1,492,035,000","1,343,068,000","1,240,324,000","1,143,099,000","1,075,024,000","816,893,000","774,304,000","747,083,000","700,818,000","664,037,000","625,241,000","609,851,000","600,329,000","612,800,000","608,100,000","606,400,000","612,232,000","648,900,000","640,500,000","631,600,000","598,703,000","595,700,000","562,900,000","540,300,000","579,700,000"
TotalDebt,"1,134,695,000","1,384,105,000","1,383,498,000","1,382,890,000","1,191,499,000","991,127,000","990,749,000","990,371,000","989,995,000","989,623,000","989,245,000","988,866,000","945,701,000","948,663,000","951,620,000","954,577,000","957,536,000","966,079,000","969,221,000","972,362,000","826,774,000","249,522,000","249,499,000","249,476,000","249,453,000","249,430,000","249,407,000","250,411,000","254,315,000","351,775,000","358,595,000","354,293,000","351,999,000","353,620,000","349,224,000","349,201,000","549,178,000","549,155,000","549,132,000","549,109,000","549,086,000","300,000,000","450,000,000","450,000,000","450,000,000","450,000,000","450,000,000","450,000,000","450,999,000","451,951,000","450,540,000","450,000,000","450,000,000","553,093,000","513,093,000","588,093,000","603,093,000","603,093,000","453,093,000","453,093,000","453,093,000","453,093,000","453,093,000","453,093,000","453,093,000","453,093,000","350,000,000","350,000,000","375,000,000","275,000,000","275,000,000","275,000,000","183,500,000","183,500,000","183,500,000","50,000,000","50,000,000","50,000,000","250,000,000","250,000,000","250,000,000","250,000,000","250,000,000","125,000,000","125,000,000","100,000,000","100,000,000","85,000,000","50,000,000","50,000,000","150,000,000","50,000,000","50,000,000","150,000,000"
NetDebt,"238,479,000","5,037,000","512,247,000","712,264,000","170,224,000",,"537,708,000","441,899,000","342,022,000",,"407,669,000","365,716,000","491,614,000","527,506,000","458,290,000","499,056,000","508,387,000","459,194,000","444,675,000","574,272,000","269,156,000",,,,,,,,,"26,417,000","109,472,000","90,061,000","91,017,000","136,636,000","114,166,000","111,464,000","296,547,000","271,417,000","197,357,000","264,055,000","190,313,000","39,284,000","102,007,000","240,067,000","200,660,000","175,308,000","22,824,000","187,049,000","115,590,000","121,725,000","133,245,000","183,545,000","179,392,000","338,694,000","267,276,000","400,753,000","362,409,000","429,092,000","296,215,000","266,125,000","291,394,000","386,353,000","313,756,000","378,963,000","361,945,000","389,696,000","265,971,000","289,871,000","275,611,000","187,933,000","188,549,000","172,037,000",,,,,,,"46,935,000","65,573,000","57,390,000","117,888,000","250,000,000","125,000,000","125,000,000",,"100,000,000","85,000,000","50,000,000",,"150,000,000","50,000,000","50,000,000","150,000,000"
