name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TaxProvision,"-511,510,000","-510,011,000","30,613,000","110,945,000","34,067,000","15,179,000","22,104,000","-5,247,000","-251,677,000","23,197,000","-189,306,000","-3,634,000","252,313,000","67,819,000","99,704,000","79,140,000","11,963,000","-12,999,000","86,017,000","100,861,000","18,019,000","2,695,000","80,685,000","77,889,000","61,439,000","37,827,000","12,215,000",,"13,000,000","10,200,000","18,300,000","14,600,000","5,900,000","1,600,000","800,000"
NetIncomeCommonStockholders,"992,412,000","988,979,000","345,777,000","204,101,000","203,086,000","252,417,000","158,898,000","164,243,000","439,948,000","72,229,000","126,538,000","-149,871,000","-1,854,038,000","296,252,000","142,592,000","49,343,000","74,474,000","-17,566,000","71,949,000","141,287,000","49,977,000","-14,075,000","31,982,000","169,466,000","29,038,000","97,270,000","36,648,000","-12,800,000","54,800,000","-23,000,000","38,000,000","27,800,000","13,100,000","3,200,000","1,500,000"
	NetIncome,"992,412,000","988,979,000","345,777,000","204,101,000","203,086,000","252,417,000","158,898,000","164,243,000","439,948,000","72,229,000","126,538,000","-149,871,000","-1,854,038,000","296,252,000","142,592,000","49,343,000","74,474,000","-17,566,000","71,949,000","141,287,000","49,977,000","-14,075,000","31,982,000","169,466,000","29,038,000","97,270,000","36,648,000","-12,800,000","55,400,000","-21,700,000","38,000,000","27,800,000","13,100,000","3,200,000","1,500,000"
		NetIncomeIncludingNoncontrollingInterests,"992,412,000","988,979,000","345,777,000","204,101,000","203,086,000","252,417,000","158,898,000","164,243,000","439,948,000","72,229,000","126,538,000","-149,871,000","-1,854,038,000","296,252,000","142,592,000","49,343,000","74,474,000","-17,566,000","71,949,000","141,287,000","49,977,000","-14,075,000","31,982,000","169,466,000","29,038,000","97,270,000","36,648,000","-12,800,000","55,400,000","-21,700,000","38,000,000","27,800,000","13,100,000","3,200,000","1,500,000"
			NetIncomeContinuousOperations,"992,412,000","988,979,000","345,777,000","204,101,000","203,086,000","252,417,000","158,898,000","164,243,000","439,948,000","72,229,000","126,538,000","-149,871,000","-1,854,038,000","296,252,000","142,174,000","49,343,000","74,474,000","-17,566,000","71,949,000","141,287,000","49,977,000","-14,075,000","31,982,000","181,742,000","29,038,000","97,270,000","36,648,000","-600,000","55,400,000","-21,700,000","38,000,000","27,800,000","13,100,000","3,200,000","1,500,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,200,000",,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,"0",,"418,000",,,,,,,,,,,,,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,"-12,276,000",,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000","1,300,000",,,,,
DilutedNIAvailtoComStockholders,"992,412,000","988,979,000","345,777,000","204,101,000","203,086,000","252,417,000","158,898,000","164,243,000","439,948,000","72,229,000","126,538,000","-149,871,000","-1,854,038,000","296,252,000","142,592,000","49,343,000","74,474,000","-17,566,000","71,949,000","141,287,000","49,977,000","-14,075,000","31,982,000","169,466,000","29,038,000","97,270,000","36,648,000","-12,800,000","54,800,000","-23,000,000","38,000,000","27,800,000","13,100,000","3,200,000","1,500,000"
BasicEPS,,"3.62","1.26","0.75","0.71","0.88","0.56","0.59","1.63","0.27","0.55","-0.58","-7.29","1.09","0.51","0.18","0.27","-0.07","0.28","0.57","0.2","-0.06","0.15","0.87","0.32","1.57","0.187","-0.07","0.27","-0.13","0.27","0.21","0.13","0.07","0.04"
DilutedEPS,,"3.53","1.23","0.73","0.7","0.81","0.52","0.56","1.57","0.27","0.54","-0.58","-7.29","1.01","0.456","0.16","0.25","-0.07","0.27","0.57","0.19","-0.06","0.14","0.77","0.32","1.57","0.185","-0.07","0.27","-0.13","0.27","0.21","0.13","0.07","0.04"
BasicAverageShares,,"273,239,000","273,729,000","272,097,000","284,502,000","288,018,000","283,349,000","277,796,000","270,479,000","263,892,000","260,787,000","257,782,000","254,323,000","271,455,000","279,354,000","278,520,000","271,328,000","266,794,000","259,870,000","245,839,000","244,565,000","242,037,000","211,975,000","194,900,000","91,590,000","61,965,000","196,328,571","182,857,143","202,962,963","176,923,077","140,740,741","132,380,952","100,769,231","45,714,286","26,686,000"
