name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalRevenue,"1,055,022,000","261,313,000","256,899,000","272,658,000","264,152,000","55,889,000","0","0","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"1,055,022,000","261,313,000","256,899,000","272,658,000","264,152,000","55,889,000","0","0","0","0","0","0","0","0","0","0","0","0"
CostOfRevenue,"188,053,000","44,948,000","44,801,000","53,323,000","44,981,000","9,431,000","22,692,000",,,,,,,,,,,
GrossProfit,"866,969,000","216,365,000","212,098,000","219,335,000","219,171,000","46,458,000","259,059,000",,,,,,,,,,,
OperatingExpense,"361,703,000","70,985,000","98,060,000","93,969,000","98,689,000","34,801,000","11,975,000","10,803,000","11,509,000","9,560,000","8,941,000","8,932,000","12,834,000","10,427,000","425,000","205,000","145,000","40,000"
	SellingGeneralAndAdministration,"111,841,000","13,537,000","33,087,000","30,595,000","34,622,000","19,809,000","11,975,000","10,803,000","11,509,000","9,560,000","8,941,000","8,932,000","12,834,000","10,427,000","425,000","205,000","145,000","40,000"
		GeneralAndAdministrativeExpense,"111,841,000","13,537,000","33,087,000","30,595,000","34,622,000","19,809,000","11,975,000","10,803,000","11,509,000","9,560,000","8,941,000","8,932,000","12,834,000","10,427,000","425,000","205,000","145,000","40,000"
			SalariesAndWages,"65,432,000","3,338,000","20,422,000","20,129,000",,,"8,792,000","8,574,000","9,111,000","8,635,000","8,662,000","8,317,000","9,631,000","8,323,000",,,,
			OtherGandA,"46,409,000","10,199,000","12,665,000","10,466,000","34,622,000","19,809,000","3,183,000","2,229,000","2,398,000","925,000","279,000","615,000","3,203,000","2,104,000","425,000","205,000","145,000","40,000"
	OtherOperatingExpenses,"249,862,000","57,448,000","64,973,000","63,374,000","64,067,000","14,992,000","92,103,000",,,,,,,,,,,
OperatingIncome,"505,266,000","145,380,000","114,038,000","125,366,000","120,482,000","11,657,000","-11,975,000","-10,803,000","-11,509,000","-9,560,000","-8,941,000","-8,932,000","-12,834,000","-10,427,000","-425,000","-205,000","-145,000","-40,000"
NetNonOperatingInterestIncomeExpense,"-141,816,000","-37,631,000","-36,530,000","-36,134,000","-31,521,000","-6,217,000","-54,000","-68,000","-18,000",,,,,,,,,
	InterestExpenseNonOperating,"141,816,000","37,631,000","36,530,000","36,134,000","31,521,000","6,217,000","68,000","68,000","18,000",,,,,,,,,
	TotalOtherFinanceCost,,,"36,530,000","36,134,000","31,521,000","6,217,000","18,993,000","68,000","18,000",,,,,,,,,
OtherIncomeExpense,"-1,366,019,000","-645,467,000","-290,307,000","-440,977,000","10,732,000","1,831,000","43,492,000","37,816,000","33,145,000","28,453,000","23,772,000","19,067,000","15,328,000","11,553,000","7,556,000","4,807,000","2,731,000","1,850,000"
	EarningsFromEquityInterest,"67,512,000","19,077,000","16,334,000","18,478,000","13,623,000","2,880,000","43,492,000","37,816,000","33,145,000","28,453,000","23,772,000","19,067,000","15,328,000","11,553,000","7,556,000","4,807,000","2,731,000","1,850,000"
	SpecialIncomeCharges,"-1,433,531,000","-664,544,000","-306,641,000","-459,455,000","-2,891,000","-1,049,000","104,860,000",,,,,,,,,,,
		RestructuringAndMergernAcquisition,"7,027,000","0","2,753,000","1,977,000","2,297,000","1,049,000","-104,860,000",,,,,,,,,,,
		ImpairmentOfCapitalAssets,"1,426,504,000","664,544,000","303,888,000","457,478,000","594,000",,"0",,,,,,,,,,,
		WriteOff,,,,"5,871,000",,,,,,,,,,,,,,
PretaxIncome,"-1,002,569,000","-537,718,000","-212,799,000","-351,745,000","99,693,000","7,271,000","31,463,000","26,945,000","21,618,000","18,893,000","14,831,000","10,135,000","2,494,000","1,126,000","7,132,000","4,602,000","2,586,000","1,810,000"
TaxProvision,"-244,874,000","-144,785,000","-68,240,000","-62,268,000","30,419,000","-2,377,000","10,075,000","8,917,000","7,231,000","6,088,000","8,924,000","7,157,000","5,755,000","4,425,000","2,856,000","1,825,000","1,036,000","702,000"
NetIncomeCommonStockholders,"-758,246,000","-393,071,000","-144,697,000","-289,615,000","69,135,000","9,648,000","17,669,000","17,430,000","13,881,000","12,392,000","5,123,000","2,978,000","-1,621,000","-3,299,000","4,276,000","2,777,000","1,550,000","1,108,000"
	NetIncome,"-757,695,000","-392,933,000","-144,559,000","-289,477,000","69,274,000","9,648,000","21,388,000","18,028,000","14,387,000","12,805,000","5,907,000","2,978,000","-1,621,000","-3,299,000","4,276,000","2,777,000","1,550,000","1,108,000"
		NetIncomeIncludingNoncontrollingInterests,"-757,695,000","-392,933,000","-144,559,000","-289,477,000","69,274,000","9,648,000","21,388,000","18,028,000","14,387,000","12,805,000","5,907,000","2,978,000","-3,261,000","-3,299,000","4,276,000","2,777,000","1,550,000","1,108,000"
			NetIncomeContinuousOperations,"-757,695,000","-392,933,000","-144,559,000","-289,477,000","69,274,000","9,648,000","21,388,000","18,028,000","14,387,000","12,805,000","5,907,000","2,978,000","-3,261,000","-3,299,000","4,276,000","2,777,000","1,550,000","1,108,000"
	PreferredStockDividends,"551,000","138,000","138,000","138,000","139,000",,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,"0","0","0","0","3,719,000","598,000","506,000","413,000","784,000",,,,,,,
DilutedNIAvailtoComStockholders,"-758,246,000","-393,071,000","-144,697,000","-289,615,000","69,135,000","9,648,000","17,669,000","17,430,000","13,881,000","12,392,000","5,123,000","2,978,000","-1,621,000","-3,299,000","4,276,000","2,777,000","1,550,000","1,108,000"
BasicEPS,,"-0.81","-0.29","-0.57","0.14","0.04","1.1","0.09","0.07","0.07","0.03","0.02","-0.01","-0.018",,"0.015","0.008","0.006"
DilutedEPS,,"-0.81","-0.29","-0.57","0.14","0.04","1.09","0.09","0.07","0.07","0.03","0.016","-0.01","-0.018",,"0.015","0.008","0.006"
BasicAverageShares,,"483,103,000","500,043,000","506,419,000","506,816,000","253,877,000","187,194,000","186,208,000","186,199,000","186,188,000","186,181,000","186,173,000","186,170,000","186,170,213",,"186,170,213","186,170,213","186,170,213"
DilutedAverageShares,,"483,103,000","500,043,000","506,419,000","507,767,000","254,903,000","187,525,000","186,208,000","186,199,000","186,188,000","186,181,000","191,175,000","186,170,000","186,170,213",,"186,170,213","186,170,213","186,170,213"
TotalOperatingIncomeAsReported,"-928,265,000","-519,164,000","-192,603,000","-334,089,000","117,591,000","10,608,000","31,517,000","27,013,000","21,636,000",,,,,,,,,
TotalExpenses,"549,756,000","115,933,000","142,861,000","147,292,000","143,670,000","44,232,000","11,975,000","10,803,000","11,509,000","9,560,000","8,941,000","8,932,000","12,834,000","10,427,000","425,000","205,000","145,000","40,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-757,695,000","-392,933,000","-144,559,000","-289,477,000","69,274,000","9,648,000","21,388,000","18,028,000","14,387,000","12,805,000","5,907,000","2,978,000","-1,621,000","-3,299,000","4,276,000","2,777,000","1,550,000","1,108,000"
NormalizedIncome,"325,701,026.653","92,677,054.995","63,748,916.48","88,642,532.715","71,282,878.597","10,413,770","21,388,000","18,028,000","14,387,000","12,805,000","5,907,000","2,978,000","-1,621,000","-3,299,000","4,276,000","2,777,000","1,550,000","1,108,000"
InterestExpense,"141,816,000","37,631,000","36,530,000","36,134,000","31,521,000","6,217,000","68,000","68,000","18,000",,,,,,,,,
NetInterestIncome,"-141,816,000","-37,631,000","-36,530,000","-36,134,000","-31,521,000","-6,217,000","-54,000","-68,000","-18,000",,,,,,,,,
EBIT,"-860,753,000","-500,087,000","-176,269,000","-315,611,000","131,214,000","13,488,000","31,531,000","27,013,000","21,636,000","-9,560,000","-8,941,000","-8,932,000","-12,834,000","-10,427,000","-425,000","-205,000","-145,000","-40,000"
EBITDA,"-672,700,000"
ReconciledCostOfRevenue,"188,053,000","44,948,000","44,801,000","53,323,000","44,981,000","9,431,000","22,692,000",,,,,,,,,,,
ReconciledDepreciation,"188,053,000","44,948,000","44,801,000","53,323,000","44,981,000","9,431,000",,,,,,,,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-757,695,000","-392,933,000","-144,559,000","-289,477,000","69,274,000","9,648,000","21,388,000","18,028,000","14,387,000","12,805,000","5,907,000","2,978,000","-1,621,000","-3,299,000","4,276,000","2,777,000","1,550,000","1,108,000"
TotalUnusualItemsExcludingGoodwill,"-1,433,531,000","-664,544,000","-306,641,000","-459,455,000","-2,891,000","-1,049,000","104,860,000",,,,,,,,,,,
TotalUnusualItems,"-1,433,531,000","-664,544,000","-306,641,000","-459,455,000","-2,891,000","-1,049,000","104,860,000",,,,,,,,,,,
NormalizedEBITDA,"760,831,000","209,405,000","175,173,000","197,167,000","179,086,000","23,968,000","31,531,000","27,013,000","21,636,000","-9,560,000","-8,941,000","-8,932,000","-12,834,000","-10,427,000","-425,000","-205,000","-145,000","-40,000"
TaxRateForCalcs,"0.244","0.269","0.321","0.177","0.305","0.27","0.32","0.331","0.334","0.322","0.4","0.4","0.4","0.4","0.4","0.397","0.4","0.388"
TaxEffectOfUnusualItems,"-350,134,973.347","-178,933,945.005","-98,333,083.52","-81,335,467.285","-882,121.403","-283,230","0","0","0","0","0","0","0","0","0","0","0","0"
