name,ttm,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalRevenue,"42,237,000,000",,,,,,,,,,,,"13,763,698,360","13,576,846,340","13,163,346,750","6,572,512,200","13,595,398,250","13,526,963,310","12,955,809,490","12,952,333,680","12,852,155,000","12,798,834,280","12,936,378,000","12,921,306,620","12,624,176,000","12,609,152,300","11,808,321,210","11,828,336,190","8,269,912,380","16,136,675,880","11,579,420,160","11,576,706,580","9,912,746,590","13,614,079,500","11,404,461,420","12,009,910,500","10,552,039,840","13,470,403,320","11,217,550,400","11,225,183,200","8,000,769,390","11,700,384,300","10,748,241,000","10,762,533,400","9,258,568,820","9,184,913,320","7,672,011,480","7,662,054,900","8,154,344,080","6,548,830,560","6,480,706,050","6,232,722,930","6,257,987,190","6,138,762,630","6,588,820,875","6,717,305,595","6,058,619,238","5,871,058,424","5,778,814,558","5,611,903,286"
	OperatingRevenue,"41,246,000,000",,,,,,,,,,,,"13,763,698,360","13,576,846,340","13,163,346,750","6,572,512,200","13,595,398,250","13,526,963,310","12,955,809,490","12,952,333,680","12,852,155,000","12,798,834,280","12,936,378,000","12,921,306,620","12,624,176,000","12,609,152,300","11,808,321,210","11,828,336,190","8,269,912,380","16,136,675,880","11,579,420,160","11,576,706,580","9,912,746,590","13,614,079,500","11,404,461,420","12,009,910,500","10,552,039,840","13,470,403,320","11,217,550,400","11,225,183,200","8,000,769,390","11,700,384,300","10,748,241,000","10,762,533,400","9,258,568,820","9,184,913,320","7,672,011,480","7,662,054,900","8,154,344,080","6,548,830,560","6,480,706,050","6,232,722,930","6,257,987,190","6,138,762,630","6,588,820,875","6,717,305,595","6,058,619,238","5,871,058,424","5,778,814,558","5,611,903,286"
CostOfRevenue,"17,897,000,000",,,,,,,,,,,,,,"5,636,441,500",,,,"5,514,918,050",,,,"5,529,069,000",,,,"4,653,289,620",,,,"4,232,014,080",,,,"4,301,225,390",,,,"4,558,891,400",,,,,,,,"2,800,893,080",,,,,,,,,,,,,
GrossProfit,"24,340,000,000",,,,,,,,,,,,,,"7,526,905,250",,,,"7,440,891,440",,,,"7,407,309,000",,,,"7,155,031,590",,,,"7,347,406,080",,,,"7,103,236,030",,,,"6,658,659,000",,,,,,,,"4,871,118,400",,,,,,,,,,,,,
OperatingExpense,"18,451,000,000",,,,,,,,,,,,,,"4,688,350,100",,,,"4,687,495,650",,,,"4,685,426,200",,,,"3,835,618,920",,,,"4,713,260,160",,,,"4,785,319,660",,,,"5,070,244,200",,,,,,,,"3,576,702,670",,,,,,,,,,,,,
	SellingGeneralAndAdministration,"8,494,000,000",,,,,,,,,,,,,,"2,879,859,400",,,,"2,999,406,200",,,,"2,753,969,400",,,,"2,339,859,690",,,,"2,787,456,000",,,,"2,748,994,930",,,,"3,088,248,800",,,,,,,,"2,100,669,810",,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"8,494,000,000"
			SalariesAndWages,"8,494,000,000"
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,534,720",,,,"119,937,180",,,,"140,924,000",,,,,,,,"107,080,620",,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"8,363,000,000",,,,,,,,,,,,,,"1,921,600,800",,,,"2,003,544,240",,,,"1,920,500,400",,,,"1,727,845,560",,,,"2,242,262,400",,,,"2,296,188,620",,,,"2,526,566,000",,,,,,,,"1,368,952,240",,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"8,363,000,000",,,,,,,,,,,,,,"1,921,600,800",,,,"2,003,544,240",,,,"1,920,500,400",,,,"1,727,845,560",,,,"2,242,262,400",,,,"2,296,188,620",,,,"2,526,566,000",,,,,,,,"1,368,952,240",,,,,,,,,,,,,
			DepreciationIncomeStatement,"8,363,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,795,449,600",,,,"1,872,062,940",,,,"1,794,767,800",,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"446,812,800",,,,"424,125,680",,,,"731,798,200",,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"446,812,800",,,,"424,125,680",,,,"731,798,200",,,,,,,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,"315,000,000"
	OtherTaxes,"1,794,000,000"
	OtherOperatingExpenses,"-515,000,000",,,,,,,,,,,,,,"-113,110,100",,,,"-315,454,790",,,,"10,956,400",,,,"-232,086,330",,,,"-445,992,960",,,,"-379,801,070",,,,"-685,494,600",,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"5,889,000,000",,,,,,,,,,,,"-29,083,127,620","13,576,846,340","2,838,555,150","6,572,512,200","-28,422,369,690","13,526,963,310","2,753,395,790","12,952,333,680","-31,294,652,850","12,798,834,280","2,721,882,800","12,921,306,620","-17,521,068,240","12,609,152,300","3,319,412,670","11,828,336,190","-28,036,484,180","16,136,675,880","2,634,145,920","11,576,706,580","-26,590,400,570","13,614,079,500","2,317,916,370","12,009,910,500","-21,135,165,630","13,470,403,320","1,588,414,800","11,225,183,200","-29,891,856,260","11,700,384,300","10,748,241,000","10,762,533,400","-19,639,539,520","9,184,913,320","1,294,415,730","7,662,054,900","-14,638,229,570","6,548,830,560","6,480,706,050","6,232,722,930","-14,284,297,530","6,138,762,630","6,588,820,875","6,717,305,595","-13,781,360,922","5,871,058,424","5,778,814,558","5,611,903,286"
NetNonOperatingInterestIncomeExpense,"-1,330,000,000"
	InterestExpenseNonOperating,"1,231,000,000"
	TotalOtherFinanceCost,"99,000,000"
OtherIncomeExpense,"116,000,000",,,,,,,,,,,,,,"-14,615,350",,,,"265,957,200",,,,"-89,999,000",,,,"45,426,150",,,,"-272,186,880",,,,"-933,424,140",,,,"-4,921,267,400",,,,,,,,"1,446,638,180",,,,,,,,,,,,,
	GainOnSaleOfSecurity,"72,000,000"
