name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalRevenue,"1,766,598,000","1,747,213,000","1,555,353,000","1,483,939,000","1,359,861,000","1,331,210,000","1,247,972,000","1,257,861,000","1,326,103,000","1,287,265,000","1,257,769,000","1,237,767,000","1,083,138,000","943,133,000","858,311,000","796,287,000","732,133,000","693,021,000","692,198,000","590,112,000","467,790,000","424,600,000","355,100,000","285,300,000","232,700,000","206,400,000","193,400,000","170,200,000","138,900,000","69,600,000"
	NetInterestIncome,"1,096,137,000","1,112,879,000","984,867,000","841,701,000","747,228,000","703,354,000","665,194,000","674,477,000","704,326,000","691,494,000","709,052,000","710,364,000","646,862,000","544,485,000","486,688,000","449,341,000","423,243,000","390,029,000","368,201,000","326,774,000","268,887,000","236,100,000","182,300,000","155,600,000","127,400,000","115,300,000","119,000,000","96,900,000","78,800,000","39,300,000"
		InterestIncome,"1,504,821,000","1,531,958,000","1,228,426,000","972,751,000","829,117,000","766,828,000","732,239,000","745,371,000","791,648,000","811,595,000","851,082,000","914,569,000","1,061,645,000","1,160,737,000","986,429,000","769,934,000","614,284,000","565,173,000","574,913,000","654,633,000","638,730,000","500,300,000","386,600,000","344,500,000","290,500,000","275,500,000","223,100,000","166,400,000","136,200,000","85,100,000"
			InterestIncomeFromLoansAndLease,"1,093,702,000","1,130,896,000","899,710,000","705,185,000","593,688,000","543,285,000","512,896,000","507,105,000","521,614,000","511,481,000","531,820,000","572,469,000","732,210,000","892,024,000","751,391,000","554,691,000","408,115,000","375,788,000","377,708,000","455,332,000","454,077,000","336,600,000","259,000,000","227,000,000","196,300,000","179,100,000","138,400,000","107,000,000","97,200,000","57,000,000"
				InterestIncomeFromLoans,"1,093,702,000","1,130,896,000","899,710,000","705,185,000","593,688,000","543,285,000","512,896,000","507,105,000","521,614,000","511,481,000","531,820,000","572,469,000","732,210,000","892,024,000","751,391,000","554,691,000","408,115,000","375,788,000","377,708,000","455,332,000","454,077,000","336,600,000","259,000,000","227,000,000","196,300,000","179,100,000","138,400,000","107,000,000","97,200,000","57,000,000"
			InterestIncomeFromSecurities,"399,909,000","388,848,000","306,383,000","245,438,000","224,703,000","217,963,000","216,594,000","237,191,000","270,022,000","281,450,000","319,235,000","342,023,000","327,858,000","264,233,000","233,197,000","213,956,000","205,816,000","189,104,000","196,914,000","198,472,000","181,691,000","161,400,000","125,700,000","114,500,000","92,600,000","95,400,000","82,600,000","57,700,000","37,800,000","24,400,000"
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,"12,000","15,000","27,000","77,000","1,577,000","4,480,000","1,841,000","1,287,000","353,000","281,000","291,000","829,000","2,962,000","2,200,000","1,800,000","3,000,000","1,600,000","1,000,000","2,000,000","1,600,000","1,200,000","3,800,000"
			OtherInterestIncome,"11,210,000","12,214,000","22,333,000","22,128,000","10,726,000","5,580,000","2,749,000","1,075,000",,"18,649,000",,,,,,,,,,,,"100,000","100,000",,,,"100,000","100,000",,"-100,000"
		InterestExpense,"408,684,000","419,079,000","243,559,000","131,050,000","81,889,000","63,474,000","67,045,000","70,894,000","87,322,000","120,101,000","142,030,000","204,205,000","414,783,000","616,252,000","499,741,000","320,593,000","191,041,000","175,144,000","206,712,000","327,859,000","369,843,000","264,200,000","204,300,000","188,900,000","163,100,000","160,200,000","104,100,000","69,500,000","57,400,000","45,800,000"
			InterestExpenseForDeposit,"184,280,000","175,538,000","95,517,000","53,803,000","40,494,000","44,170,000","50,683,000","55,564,000","67,013,000","88,890,000","106,265,000","164,362,000","288,924,000","412,746,000","336,908,000","210,400,000","144,433,000","131,929,000","145,466,000","208,387,000","208,249,000","150,600,000","130,000,000","122,000,000","118,100,000","97,700,000","71,100,000","60,300,000","51,200,000","42,000,000"
