name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007
MarketCap,"11,249,363,360","8,428,792,495","17,311,595,518","13,650,917,747","20,697,291,499","22,258,189,082","20,584,440,568","30,590,253,291","20,623,713,582","22,409,782,997","22,337,117,927","19,588,367,164","18,074,302,301","19,016,656,678","19,366,341,384","19,521,957,523","15,721,244,672","13,293,297,894","11,991,752,915","11,824,477,510","13,697,500,097","13,912,184,704","11,272,228,201","14,181,061,672","16,324,469,028","12,891,569,005","11,350,309,680","11,432,525,573","8,768,137,003","10,197,696,359","8,425,090,956","9,882,144,729","8,854,310,335","10,586,794,380","9,720,298,218","7,375,295,228","9,504,710,377","11,091,646,709","9,013,363,132","6,079,820,889","5,080,844,512","4,609,872,011","3,852,579,215","3,108,742,191","2,453,575,972","2,172,931,295","1,932,997,560","2,331,192,700","2,839,914,837","1,947,965,385","1,562,903,909","1,121,865,156"
EnterpriseValue,"15,040,363,360","12,313,792,495","21,715,595,518","18,143,917,747","25,369,291,499","26,611,189,082","24,790,440,568","32,906,253,291","23,065,713,582","25,216,782,997","25,143,117,927","21,667,367,164","20,044,302,301","21,703,975,678","20,948,249,384","22,374,259,523","18,587,277,672","16,396,935,894","15,923,747,915","15,488,832,510","17,093,628,097","17,522,024,704","14,551,847,201","17,194,711,672","20,089,167,028","16,558,687,005","15,008,381,680","14,949,267,573","12,070,789,003","13,320,194,359","11,547,588,956","12,438,328,729","11,205,614,335","12,705,834,380","11,566,548,218","9,221,545,228","11,270,596,377","12,790,214,709","10,686,959,132","6,804,297,889","5,730,067,512","5,219,734,011","4,698,596,215","3,741,604,191","3,099,790,972","2,776,285,295","2,554,679,560","2,916,519,700","3,118,047,837","2,235,944,385","1,865,534,909","1,615,518,156"
PeRatio,,,"11.947","24.513","24.684","8.374","15.765","20.313","18.156","23.452","37.934","29.402","82.673",,,,,"187.111","54.304","33.322","27.975","23.754","21.044","55.482","48.49","53.728","52.683","62.896","21.522","24.791","20.499","15.661","16.307","22.991","18.901","14.343","54.349","143.067","44.959","26.363","21.87","63.747",,"29.056","10.21","8.502","6.595","13.874","124.333","43.458","54.237","22.439"
ForwardPeRatio,"29.155","18.832","24.57","14.641","26.178","25.189","18.832","25.063","33.67","45.662","62.112","72.993","84.746","84.746","500",,,,"156.25","142.857","49.751","65.79","34.722","21.978","26.11","22.472","22.779","22.371","15.314","16.393","17.301","13.947","12.937","14.993","17.483","11.737","15.385","19.342","23.641","17.699",,,,,,,,,,,,
PegRatio,"2.319",,"5.842","2.82","2.522","0.74","0.554","0.795","0.945",,,,,,,,,,,,,,"0.503","0.316","0.36","1.221","1.24","1.181","0.808","0.865","0.577","0.465","0.431","0.357","0.368","0.412","0.297","0.383","0.483","2.529",,,,,,,,,,,,
PsRatio,"2.568","1.857","3.954","2.975","4.405","4.578","4.218","6.865","7.019","8.601","9.475","8.881","8.639","10.578","11.546","11.366","8.826","6.744","5.381","5.003","5.27","4.756","3.96","4.971","5.985","5.487","5.185","5.721","4.794","5.566","4.603","5.249","4.693","6.081","5.988","4.544","6.651","9.163","8.459","7.044","6.43","6.483","7.003","6.35","4.814","4.115","3.445","4.215","6.808","5.33","4.643","3.372"
PbRatio,"1.343","0.474","0.935","0.76","1.146","1.186","1.195","3.092","2.122","2.514","2.589","2.244","2.118","2.495","2.692","3.307","2.553","1.915","1.955","1.991","2.267","2.634","2.191","2.945","4.228","3.43","3.114","3.176","2.508","2.944","2.431","2.953","2.934","3.562","3.18","2.412","3.528","4.524","3.781","3.399","2.883","2.826","2.885","2.368","1.903","1.65","1.459","1.961","3.623","2.43","2.016","1.889"
EnterprisesValueRevenueRatio,"3.411","13.356","17.428","16.273","22.51","24.104","23.234","27.606","24.408","26.628","32.235","34.557","35.352","35.464","39.934","51.967","46.902","57.824","40.919","33.419","31.807","42.373","24.489","24.555","28.507","25.053","23.744","22.896","21.448","28.213","30.256","24.999","25.891","25.021","24.176","20.291","25.257","35.446","35.112","28.293","26.564","24.621","26.453","24.376","24.344","32.282","21.425","17.11","22.696","20.953","18.885","23.38"
EnterprisesValueEBITDARatio,"-1.747","-1.198","-944.156","13.808","67.472","-70.587","10.407","178.838","44.875","17.56","209.526","150.468","35.477","16.149","215.419","83.595","-203.1","-13.085","40.927","23.747","103.843","53.101","28.357","21.534","65.027","39.349","36.975","48.946","31.93","54.189","43.758","56.77","16.003","57.249","381.558","12.702","22.723","312.979","143.969","64.931","21.688","30.279","69.929","36.245","-10,097.039","82.17","10.205","10.475","1,229.999","35.744","52.017","36.896"
