name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"2,931,591,000","2,368,721,000","2,212,902,000","2,013,894,000","1,846,153,000","1,792,209,000","1,605,588,000","1,458,842,000","1,382,542,000","1,294,754,000","1,212,883,000","1,148,236,000","1,166,481,000","1,027,373,000","970,778,000","949,444,000","783,766,000","592,817,000","474,967,000","375,086,000","305,000,000","269,500,000","174,500,000"
	CurrentAssets,"1,875,746,000","1,765,306,000","1,649,497,000","1,412,023,000","1,249,389,000","1,266,041,000","1,250,472,000","1,122,603,000","1,049,526,000","990,880,000","921,712,000","872,519,000","885,664,000","757,768,000","766,264,000","756,033,000","620,887,000","460,477,000","366,761,000","289,248,000","234,000,000","198,200,000","130,800,000"
		CashCashEquivalentsAndShortTermInvestments,"687,677,000","700,627,000","768,149,000","551,861,000","370,399,000","440,825,000","529,244,000","335,442,000","243,912,000","303,069,000","409,423,000","253,050,000","273,548,000","220,050,000","260,166,000","290,228,000","264,585,000","194,670,000","79,082,000","35,464,000","14,600,000","6,800,000","4,000,000"
			CashAndCashEquivalents,"686,009,000","437,825,000","673,166,000","551,389,000","369,770,000","413,558,000","437,489,000","290,781,000","241,034,000","234,257,000","386,664,000","230,617,000","191,950,000","64,880,000","101,091,000","130,023,000","264,585,000","194,670,000","79,082,000","35,464,000","14,600,000","6,800,000","4,000,000"
			OtherShortTermInvestments,"1,668,000","262,802,000","94,983,000","472,000","629,000","27,267,000","91,755,000","44,661,000","2,878,000","68,812,000","22,759,000","22,433,000","81,598,000","155,170,000","159,075,000","160,205,000",,,,,,,
		Receivables,"488,233,000","449,382,000","364,862,000","333,678,000","371,953,000","344,390,000","306,878,000","334,324,000","351,538,000","300,181,000","226,548,000","299,585,000","300,506,000","285,942,000","287,403,000","267,653,000","206,024,000","154,099,000","155,252,000","129,539,000","118,700,000","106,000,000","76,100,000"
			AccountsReceivable,"488,233,000","449,382,000","364,862,000","333,678,000","371,953,000","344,390,000","306,878,000","334,324,000","351,538,000","300,181,000","226,548,000","299,585,000","300,506,000","285,942,000","287,403,000","267,653,000","206,024,000","154,099,000","155,252,000",,,,
				GrossAccountsReceivable,"497,158,000","460,433,000","373,905,000","342,234,000","381,881,000","353,333,000","315,160,000","341,701,000","359,083,000",,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-8,925,000","-11,051,000","-9,043,000","-8,556,000","-9,928,000","-8,943,000","-8,282,000","-7,377,000","-7,545,000",,,,,,,,,,,,,,
		Inventory,"605,968,000","521,827,000","457,927,000","487,997,000","473,637,000","384,650,000","329,228,000","363,325,000","365,199,000","314,298,000","222,161,000","256,312,000","265,874,000","212,323,000","185,870,000","165,426,000","126,808,000","94,862,000","114,889,000","105,288,000","86,500,000","74,100,000","48,300,000"
