name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997
		DepreciationAndAmortizationInIncomeStatement,,,,"99,737,000","98,202,000","92,736,000","67,852,000","64,891,000","0","63,124,000","207,228,000","67,646,000","71,438,000","13,211,000","154,672,000","12,672,000","44,725,000","45,601,000","24,946,000","51,690,000","52,780,000","52,048,000","47,432,000","43,737,000","30,978,000","30,727,000","33,664,000","33,651,000","34,671,000","33,910,000","35,923,000","36,755,000","37,597,000","37,356,000","33,058,000","34,080,000","33,408,000","32,047,000","32,241,000","31,734,000","31,548,000","31,136,000","30,505,000","30,180,000","30,995,000",,"32,504,000","30,755,000","30,673,000","29,074,000","27,349,000","27,405,000","27,483,000","25,431,000","21,043,000","24,114,000","23,118,000","21,829,000","20,660,000","17,616,000","16,343,000","13,902,000","13,280,000","11,206,000","10,560,000","9,589,000","8,427,000","8,445,000","8,311,000","8,371,000","5,824,000","5,843,000","7,266,000","5,702,000","5,459,000","5,567,000","10,268,000","6,800,000","6,854,000","6,500,000","7,200,000","4,600,000","4,600,000","4,000,000","4,900,000","3,700,000","2,600,000","2,600,000","2,700,000","1,800,000","2,000,000","1,800,000"
			DepreciationIncomeStatement,,,,"82,938,000","81,703,000","76,947,000","52,392,000","49,601,000","49,133,000","47,366,000","48,298,000","52,079,000","56,835,000","52,345,000",,,"32,110,000","32,474,000","15,923,000","38,606,000","40,208,000","39,597,000","35,918,000","31,695,000","22,559,000","22,785,000","24,224,000","24,370,000","24,777,000","24,672,000","25,491,000","25,778,000","26,432,000","25,709,000","24,817,000","24,621,000","23,958,000","24,154,000","25,185,000","24,689,000","24,644,000","24,571,000","23,608,000","25,791,000","26,604,000",,"27,834,000","26,653,000","26,767,000","25,053,000","24,548,000","24,590,000","24,642,000","22,813,000","20,335,000","21,941,000","20,330,000","20,278,000","19,449,000","16,747,000","15,876,000","13,547,000","12,632,000","11,206,000","10,560,000","9,589,000","8,427,000","8,445,000","8,311,000","8,371,000","5,824,000","5,843,000","7,266,000","5,702,000","5,459,000","5,567,000","10,268,000","6,800,000","6,854,000","6,500,000","7,200,000","4,600,000","4,600,000","4,000,000","4,900,000","3,700,000","2,600,000","2,600,000","2,700,000","1,800,000","2,000,000","1,800,000"
			Amortization,,,,"16,799,000","16,499,000","15,789,000","15,460,000","15,290,000","0","15,758,000","158,930,000","15,567,000","14,603,000","13,211,000","15,233,000","12,672,000","12,615,000","13,127,000","9,023,000","13,084,000","12,572,000","12,451,000","11,514,000","12,042,000","8,419,000","7,942,000","9,440,000","9,281,000","9,894,000","9,238,000","10,432,000","10,977,000","11,165,000","11,647,000","8,241,000","9,459,000","9,450,000","7,893,000","7,056,000","7,045,000","6,904,000","6,565,000","6,897,000","4,389,000","4,391,000",,"4,670,000","4,102,000","3,906,000","4,021,000","2,801,000","2,815,000","2,841,000","2,618,000","708,000","2,173,000","2,788,000","1,551,000","1,211,000","869,000","467,000","355,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,"16,799,000","16,499,000","15,789,000","15,460,000","15,290,000","0","15,758,000","158,930,000","15,567,000","14,603,000","13,211,000","15,233,000","12,672,000","12,615,000","13,127,000","9,023,000","13,084,000","12,572,000","12,451,000","11,514,000","12,042,000","8,419,000","7,942,000","9,440,000","9,281,000","9,894,000","9,238,000","10,432,000","10,977,000","11,165,000","11,647,000","8,241,000","9,459,000","9,450,000","7,893,000","7,056,000","7,045,000","6,904,000","6,565,000","6,897,000","4,389,000","4,391,000",,"4,670,000","4,102,000","3,906,000","4,021,000","2,801,000","2,815,000","2,841,000","2,618,000","708,000","2,173,000","2,788,000","1,551,000","1,211,000","869,000","467,000","355,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"206,824,000","48,935,000","55,711,000","53,272,000","48,906,000","49,168,000","75,022,000","67,185,000","69,150,000","68,500,000","70,781,000","63,032,000","66,533,000","68,253,000","63,202,000","57,378,000","59,647,000","63,486,000","58,519,000","60,332,000","60,332,000","64,940,000","65,609,000","61,333,000","51,305,000","52,450,000","50,360,000","48,127,000","49,163,000","48,666,000","46,425,000","45,239,000",,"-2,723,000","-411,000","-5,515,000","-435,000","-136,000",,,,,,,,,,"962,000","7,438,000","1,447,000","1,524,827,000","-27,405,000","-27,483,000","-25,431,000","1,342,860,000","-23,022,000","-22,026,000","-20,728,000",,"-17,239,000","-15,966,000","-13,525,000",,"-11,206,000","-10,560,000","-9,589,000","550,087,000","-8,445,000","-8,311,000","-8,371,000",,"-5,843,000","-7,266,000","-5,702,000",,,,,,,,,,,,,,,,,,
OperatingIncome,"457,160,000","98,045,000","109,486,000","115,638,000","132,653,000","91,739,000","108,135,000","122,268,000","119,760,000","64,624,000","-75,643,000","60,654,000","72,775,000","26,980,000","65,658,000","67,142,000","68,039,000","36,945,000","24,961,000","84,434,000","84,959,000","43,147,000","78,649,000","72,767,000","76,316,000","26,025,000","42,652,000","56,588,000","58,478,000","35,420,000","62,325,000","63,595,000","67,714,000","47,433,000","55,693,000","56,982,000","49,323,000","24,352,000","39,830,000","37,441,000","39,876,000","19,539,000","29,745,000","31,827,000","28,785,000","44,507,000","40,894,000","50,631,000","36,224,000","27,805,000","-1,491,057,000","65,079,000","64,119,000","52,688,000","-1,306,007,000","67,151,000","63,172,000","50,165,000","-3,756,000","53,162,000","52,134,000","35,136,000","-525,000","40,078,000","34,978,000","23,706,000","-532,391,000","24,046,000","22,457,000","17,586,000","12,180,000","18,543,000","18,899,000","15,394,000","10,275,000","11,694,000","3,889,000","9,941,000","10,874,000","10,900,000","7,000,000","4,800,000","5,600,000","4,600,000","3,200,000","2,700,000","3,800,000","3,200,000","2,800,000","700,000","1,300,000","1,100,000"
NetNonOperatingInterestIncomeExpense,"-82,197,000","-20,116,000","-19,552,000","-20,559,000","-20,632,000","-21,127,000","-10,550,000","-17,339,000","-17,912,000","-14,421,000","-13,440,000","-16,715,000","-15,670,000","-14,371,000","-15,294,000","-10,516,000","-9,759,000","-13,429,000","-14,358,000","-17,253,000","-15,967,000","-16,913,000","-17,850,000","-19,344,000","-12,144,000","-15,065,000","-13,629,000","-12,761,000","-11,547,000","-12,255,000","-30,994,000","3,701,000","-19,533,000","-7,588,000","-3,081,000","-29,315,000","-12,779,000","-5,096,000","-10,861,000","-9,672,000","-8,665,000","-8,432,000","-7,784,000","-8,249,000","-9,075,000","-9,888,000","-11,261,000","-12,256,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"2,897,000","602,000","818,000","728,000","749,000","706,000","747,000","710,000","675,000","675,000","725,000","643,000","646,000","624,000","652,000","639,000","613,000","470,000",,,,,,,,,,,,,,"16,272,000","573,000","7,425,000","1,306,000","2,460,000","2,681,000","7,827,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"77,786,000","19,716,000","19,536,000","19,252,000","19,282,000","18,771,000","13,159,000","13,437,000","14,202,000","13,811,000","13,102,000","14,453,000","14,902,000","14,301,000","11,931,000","8,442,000","8,133,000","12,695,000","14,291,000","15,512,000","15,042,000","15,191,000","15,870,000","11,482,000","9,845,000","8,216,000","10,586,000","10,548,000","10,289,000","10,433,000","5,134,000","12,571,000","20,106,000","15,013,000","4,387,000","31,775,000","15,460,000","12,923,000","10,861,000","9,672,000","8,665,000","8,432,000","7,784,000","8,249,000","9,075,000","9,888,000","11,261,000","12,256,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"7,308,000","1,002,000","834,000","2,035,000","2,099,000","3,062,000","-1,862,000","4,612,000","4,385,000","1,285,000","1,063,000","2,905,000","1,414,000","694,000","4,015,000","2,713,000","2,239,000","1,204,000","67,000","1,741,000","925,000","1,722,000","1,980,000","7,862,000","2,299,000","6,849,000","3,043,000","2,213,000","1,258,000","1,822,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
