name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997
TaxProvision,"104,314,000","23,499,000","25,405,000","28,088,000","27,322,000","20,688,000","26,595,000","24,603,000","25,742,000","13,284,000","-67,613,000","15,245,000","12,263,000","-537,000","14,446,000","14,674,000","16,305,000","847,000","8,516,000","18,057,000","19,144,000","4,124,000","18,755,000","16,678,000","18,252,000","60,000","-18,645,000","11,965,000","9,796,000","6,406,000","13,083,000","16,796,000","15,056,000","9,660,000","10,905,000","8,326,000","10,295,000","4,333,000","11,865,000","10,512,000","6,321,000","4,675,000","3,619,000","8,251,000","8,389,000","1,152,000","3,650,000","11,875,000","5,652,000","-1,678,000","639,000","692,000","2,364,000","-120,000","-1,105,000","2,296,000","-283,000","486,000","79,000","5,591,000","3,258,000","1,471,000","1,128,000","2,928,000","2,029,000","870,000","1,197,000","1,332,000","1,308,000","614,000","3,652,000","3,451,000","3,088,000","2,784,000","3,121,000","3,684,000","-2,427,000","3,540,000","3,832,000","3,600,000","1,600,000","1,100,000","1,000,000","600,000","200,000","200,000","200,000","200,000","100,000","100,000",,
NetIncomeCommonStockholders,"320,940,000","75,760,000","74,828,000","82,641,000","87,711,000","65,103,000","76,728,000","86,713,000","80,396,000","48,157,000","120,192,000","98,774,000","-75,037,000","14,059,000","45,339,000","51,503,000","39,106,000","503,631,000","43,646,000","41,630,000","64,116,000","14,045,000","43,167,000","41,548,000","37,268,000","5,935,000","-27,022,000","43,960,000","26,559,000","18,860,000","36,103,000","53,833,000","34,055,000","30,185,000","41,707,000","19,341,000","26,249,000","14,923,000","35,583,000","25,379,000","17,076,000","26,554,000","-27,159,000","16,994,000","17,983,000","3,111,000","14,800,000","26,500,000","19,284,000","19,094,000","-30,857,000","28,503,000","26,301,000","20,863,000","55,053,000","38,945,000","34,936,000","22,077,000","33,002,000","68,421,000","29,054,000","16,822,000","11,096,000","23,187,000","19,636,000","10,636,000","14,576,000","12,873,000","11,039,000","7,586,000","5,038,000","7,832,000","5,004,000","4,453,000","3,965,000","4,066,000","2,674,000","3,036,000","3,251,000","3,400,000","2,200,000","2,400,000","3,300,000","2,700,000","700,000","1,200,000","2,500,000","2,100,000","700,000","100,000","700,000","500,000"
	NetIncome,"320,940,000","75,760,000","74,828,000","82,641,000","87,711,000","65,103,000","76,728,000","86,713,000","80,396,000","48,157,000","120,192,000","98,774,000","-75,037,000","14,059,000","45,339,000","51,503,000","39,106,000","503,631,000","43,646,000","41,630,000","64,116,000","14,045,000","43,167,000","41,548,000","37,268,000","5,935,000","-27,022,000","43,960,000","26,559,000","18,860,000","36,103,000","53,833,000","34,055,000","30,185,000","41,707,000","19,341,000","26,249,000","14,923,000","35,583,000","25,379,000","17,076,000","26,554,000","-27,159,000","16,994,000","17,983,000","3,111,000","14,800,000","26,500,000","19,284,000","19,094,000","-30,857,000","28,503,000","26,301,000","20,863,000","55,053,000","38,945,000","34,936,000","22,077,000","35,945,000","68,421,000","29,054,000","16,822,000","24,236,000","23,187,000","19,636,000","10,636,000","14,576,000","12,873,000","11,039,000","7,586,000","5,038,000","7,832,000","5,004,000","4,453,000","3,965,000","4,066,000","2,674,000","3,036,000","3,251,000","3,400,000","2,200,000","2,400,000","3,300,000","2,700,000","700,000","1,200,000","2,500,000","2,100,000","700,000","100,000","700,000","500,000"
		NetIncomeIncludingNoncontrollingInterests,"320,940,000","75,760,000","74,828,000","82,641,000","87,711,000","65,103,000","76,728,000","86,713,000","80,396,000","48,157,000","120,192,000","98,774,000","-75,037,000","14,059,000","45,339,000","51,503,000","39,106,000","503,631,000","43,646,000","41,630,000","64,116,000","14,045,000","43,167,000","41,548,000","37,268,000","5,935,000","-27,022,000","43,960,000","26,559,000","18,860,000","36,103,000","53,833,000","34,055,000","30,185,000","41,707,000","19,341,000","26,249,000","14,923,000","35,583,000","25,379,000","17,076,000","26,554,000","-27,159,000","16,994,000","17,983,000","3,111,000","14,800,000","26,500,000","19,284,000","19,094,000","-30,857,000","28,503,000","26,301,000","20,863,000","55,053,000","38,945,000","34,936,000","22,077,000","35,945,000","68,421,000","29,054,000","16,822,000","24,236,000","23,187,000","19,636,000","10,636,000","14,576,000","12,873,000","11,039,000","7,586,000","5,038,000","7,832,000","5,004,000","4,453,000","3,965,000","4,066,000","2,674,000","3,036,000","3,251,000","3,400,000","2,200,000","2,400,000","3,300,000","2,700,000","700,000","1,200,000","2,500,000","2,100,000","700,000","100,000","700,000","500,000"
			NetIncomeContinuousOperations,"335,133,000","75,760,000","76,543,000","82,641,000","100,189,000","65,103,000","76,728,000","86,713,000","80,396,000","48,157,000","120,192,000","98,774,000","-75,037,000","14,059,000","46,387,000","51,069,000","44,281,000","15,322,000","15,560,000","43,021,000","64,116,000","14,045,000","43,167,000","41,548,000","37,268,000","5,935,000","-27,022,000","43,960,000","26,559,000","18,860,000","36,103,000","53,833,000","34,055,000","30,185,000","41,707,000","19,341,000","26,249,000","14,923,000","35,583,000","25,379,000","17,076,000","26,554,000","-27,159,000","16,994,000","17,983,000","3,111,000","14,800,000","26,500,000","19,284,000","19,094,000","-30,857,000","28,503,000","26,301,000","20,863,000","35,736,000","38,945,000","34,936,000","22,077,000","35,945,000","68,421,000","29,054,000","16,822,000","24,236,000","23,187,000","19,636,000","10,636,000","14,576,000","12,873,000","11,039,000","7,586,000","5,038,000","7,832,000","4,986,000","4,468,000","3,999,000","4,984,000","2,674,000","3,036,000","3,251,000","3,400,000","2,200,000","2,400,000","3,300,000","2,700,000","700,000","1,200,000","2,500,000","2,100,000","700,000","100,000","700,000","500,000"
			NetIncomeDiscontinuousOperations,,,"-1,715,000","0","-12,478,000",,,,,,"0","0","0","0","-1,048,000","434,000","-5,175,000","488,309,000","28,086,000","-1,391,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,000","-15,000","-34,000","-918,000",,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"320,940,000","75,760,000","74,828,000","82,641,000","87,711,000","65,103,000","76,728,000","86,713,000","80,396,000","48,157,000","120,192,000","98,774,000","-75,037,000","14,059,000","45,339,000","51,503,000","39,106,000","503,631,000","43,646,000","41,630,000","64,116,000","14,045,000","43,167,000","41,548,000","37,268,000","5,935,000","-27,022,000","43,960,000","26,559,000","18,860,000","36,103,000","53,833,000","34,055,000","30,185,000","41,707,000","19,341,000","26,249,000","14,923,000","35,583,000","25,379,000","17,076,000","26,554,000","-27,159,000","16,994,000","17,983,000","3,111,000","14,800,000","26,500,000","19,284,000","19,094,000","-30,857,000","28,503,000","26,301,000","20,863,000","55,053,000","38,945,000","34,936,000","22,077,000","35,945,000","68,421,000","29,054,000","16,822,000","24,236,000","23,187,000","19,636,000","10,636,000","14,576,000","12,873,000","11,039,000","7,586,000","5,038,000","7,832,000","5,004,000","4,453,000","3,965,000","4,066,000","2,674,000","3,036,000","3,251,000","3,400,000","2,200,000","2,400,000","3,300,000","2,700,000","700,000","1,200,000","2,500,000","2,100,000","700,000","100,000","700,000","500,000"
BasicEPS,,"0.89",,"1","1.04","0.76",,"0.99","0.92","0.54",,"1.1","-0.82","0.15",,"0.56","0.42","5.16",,"0.42","0.63","0.137",,"0.42","0.38","0.06",,"0.48","0.29","0.2",,"0.57","0.36","0.32",,"0.2","0.28","0.16",,"0.27","0.18","0.28",,"0.19","0.21","0.04",,"0.31","0.22","0.22",,"0.33","0.31","0.24",,"0.46","0.41","0.28",,"0.9","0.39","0.25",,"0.35","0.29","0.16",,"0.2","0.17","0.12","0.1","0.16",,"0.12","0.11","0.13",,"0.08","0.08","0.1",,"0.08","0.1","0.09",,"0.04","0.08","0.07",,"0.007","0.04","0.04"
DilutedEPS,,"0.88",,"0.98","1.01","0.74",,"0.96","0.89","0.53",,"1.07","-0.82","0.15",,"0.55","0.41","5.09",,"0.41","0.62","0.135",,"0.41","0.37","0.06",,"0.45","0.28","0.2",,"0.53","0.34","0.31",,"0.2","0.27","0.15",,"0.27","0.18","0.28",,"0.19","0.21","0.04",,"0.31","0.22","0.22",,"0.33","0.31","0.24",,"0.46","0.41","0.28",,"0.9","0.39","0.24",,"0.35","0.29","0.16",,"0.2","0.17","0.12","0.1","0.15",,"0.11","0.1","0.13",,"0.08","0.08","0.08",,"0.06","0.09","0.07",,"0.03","0.07","0.06",,"0.005","0.03","0.04"
BasicAverageShares,,"84,657,899",,"82,707,215","84,183,435","85,174,023",,"87,672,836","87,850,486","88,949,517",,"89,875,952","91,025,314","91,608,659",,"92,218,244","93,597,654","97,619,096",,"99,209,372","101,462,354","102,375,620",,"98,627,344","98,589,826","96,024,909",,"92,176,656","92,560,924","92,842,435",,"94,622,397","95,642,099","95,589,386",,"95,449,000","95,357,000","95,332,000",,"95,280,513","95,253,937","95,253,937",,"95,253,937","86,790,097","86,790,097",,"86,790,097","86,333,990","72,178,418",,"85,656,350","85,940,765","86,095,076",,"71,109,277","71,381,552","79,448,014",,"62,072,500","60,659,675","71,007,053",,"66,831,656","66,959,191","64,492,524",,"63,959,191","63,959,191","63,959,191","51,767,256","50,111,704",,"37,945,186","37,930,335","37,930,335",,"37,916,585","37,916,585","34,000,000",,"30,000,000","33,000,000","30,000,000",,"30,000,000","31,250,000","30,000,000",,"15,000,000","17,500,000","12,500,000"
DilutedAverageShares,,"86,256,376",,"84,386,935","86,453,508","87,490,972",,"90,758,143","90,495,752","91,185,879",,"92,125,682","91,025,314","94,144,845",,"94,043,552","95,159,908","98,974,770",,"100,800,888","103,292,499","104,385,523",,"100,592,718","104,472,263","98,057,366",,"105,023,106","105,228,646","94,374,133",,"107,410,783","108,468,969","97,370,968",,"96,510,000","96,556,000","96,388,000",,"95,280,513","95,253,937","95,545,189",,"95,253,937","86,790,097","86,790,097",,"86,790,097","86,333,990","85,944,134",,"85,656,350","85,940,765","86,095,076",,"84,875,593","85,149,615","79,498,965",,"75,871,239","74,459,191","71,007,053",,"66,831,656","66,959,191","64,492,524",,"63,959,191","63,959,191","63,959,191","51,767,256","50,111,704",,"37,945,186","37,930,335","37,930,335",,"37,916,585","37,916,585","42,500,000",,"40,000,000","36,666,667","38,571,429",,"40,000,000","35,714,286","35,000,000",,"20,000,000","23,333,333","12,500,000"
TotalOperatingIncomeAsReported,"525,164,000","118,461,000","124,290,000","131,887,000","149,188,000",,"117,636,000","125,083,000","121,955,000","65,850,000","66,770,000","60,547,000","-47,211,000","28,911,000","72,099,000","72,424,000","73,406,000","40,284,000","31,290,000","87,981,000","97,793,000","45,004,000","79,907,000","82,838,000","51,622,000","33,245,000","-19,604,000","59,009,000","62,270,000","44,565,000","64,144,000","66,928,000","68,644,000","47,433,000","55,693,000","56,982,000","49,323,000","24,352,000",,,,,,,,"44,507,000",,,"36,224,000","27,805,000","-102,549,000","65,079,000","64,119,000","52,688,000","-28,923,000","67,151,000","63,172,000","50,165,000","60,183,000","53,162,000","52,134,000","35,136,000","42,474,000","40,078,000","34,978,000","23,706,000","-7,431,000","24,046,000","22,457,000","17,586,000",,"18,543,000","18,899,000","15,394,000",,,,,,,,,,,,,,,,,,
TotalExpenses,"4,731,369,000","1,142,437,000","1,196,001,000","1,189,127,000","1,205,142,000","1,139,078,000","1,213,310,000","1,165,335,000","1,197,917,000","1,131,859,000","1,258,114,000","1,093,789,000","1,159,456,000","1,144,894,000","1,072,076,000","908,318,000","909,776,000","897,254,000","847,058,000","983,114,000","1,012,173,000","988,629,000","995,353,000","908,345,000","812,761,000","744,453,000","749,903,000","718,527,000","733,775,000","714,303,000","716,062,000","698,104,000","744,300,000","740,723,000","679,762,000","685,998,000","601,483,000","536,939,000","499,878,000","462,017,000","456,982,000","446,555,000","458,883,000","419,525,000","425,381,000","407,873,000","503,605,000","544,900,000","559,417,000","498,453,000","1,984,585,000","421,132,000","431,533,000","412,070,000","1,747,999,000","387,145,000","397,157,000","388,065,000","428,576,000","330,828,000","334,339,000","285,689,000","339,763,000","238,327,000","241,900,000","202,009,000","724,954,000","162,323,000","169,768,000","164,931,000","115,448,000","106,680,000","110,581,000","87,731,000","93,985,000","96,919,000","118,279,000","97,799,000","100,123,000","98,200,000","106,100,000","53,100,000","50,700,000","46,300,000","56,000,000","46,000,000","36,100,000","37,500,000","41,500,000","30,100,000","32,300,000","32,200,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"320,940,000","75,760,000","74,828,000","82,641,000","87,711,000","65,103,000","76,728,000","86,713,000","80,396,000","48,157,000","120,192,000","98,774,000","-75,037,000","14,059,000","45,339,000","51,503,000","39,106,000","503,631,000","43,646,000","41,630,000","64,116,000","14,045,000","43,167,000","41,548,000","37,268,000","5,935,000","-27,022,000","43,960,000","26,559,000","18,860,000","36,103,000","53,833,000","34,055,000","30,185,000","41,707,000","19,341,000","26,249,000","14,923,000","35,583,000","25,379,000","17,076,000","26,554,000","-27,159,000","16,994,000","17,983,000","3,111,000","14,800,000","26,500,000","19,284,000","19,094,000","-30,857,000","28,503,000","26,301,000","20,863,000","55,053,000","38,945,000","34,936,000","22,077,000","35,945,000","68,421,000","29,054,000","16,822,000","24,236,000","23,187,000","19,636,000","10,636,000","14,576,000","12,873,000","11,039,000","7,586,000","5,038,000","7,832,000","5,004,000","4,453,000","3,965,000","4,066,000","2,674,000","3,036,000","3,251,000","3,400,000","2,200,000","2,400,000","3,300,000","2,700,000","700,000","1,200,000","2,500,000","2,100,000","700,000","100,000","700,000","500,000"
NormalizedIncome,"283,283,693.021","59,463,880","65,035,422.009","70,910,112","87,986,960","53,582,139","72,466,942.307","81,731,140","77,144,180","39,357,646","16,070,430","38,014,640","13,074,065","13,387,945","38,404,071.277","43,975,974","42,595,314","22,279,609","6,852,578.501","47,317,512","53,129,640","20,287,310","42,384,135.412","38,123,461","43,073,492","10,850,350","28,995,500","34,450,972","34,290,056","17,290,553","33,249,170.374","51,292,607.399","33,410,110.871","30,185,000","41,707,000","19,341,000","26,249,000","14,923,000","34,524,839.213","21,827,877.49","16,274,638.8","25,972,395.21","976,170","17,530,510.913","18,976,524.609","3,308,767.065","14,800,000","26,500,000","19,652,883.061","19,834,955","-30,857,000","28,503,000","26,301,000","20,863,000","35,736,000","38,945,000","34,936,000","22,077,000","35,945,000","68,421,000","29,054,000","16,822,000","24,236,000","23,187,000","19,636,000","10,636,000","14,576,000","12,873,000","11,039,000","7,586,000","5,038,000","7,832,000","4,986,000","4,468,000","3,999,000","4,984,000","2,674,000","3,036,000","3,251,000","3,400,000","2,200,000","2,400,000","3,300,000","2,700,000","700,000","1,200,000","2,500,000","2,100,000","700,000","100,000","700,000","500,000"
InterestIncome,"2,897,000","602,000","818,000","728,000","749,000","706,000","747,000","710,000","675,000","675,000","725,000","643,000","646,000","624,000","652,000","639,000","613,000","470,000",,,,,,,,,,,,,,"16,272,000","573,000","7,425,000","1,306,000","2,460,000","2,681,000","7,827,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"77,786,000","19,716,000","19,536,000","19,252,000","19,282,000","18,771,000","13,159,000","13,437,000","14,202,000","13,811,000","13,102,000","14,453,000","14,902,000","14,301,000","11,931,000","8,442,000","8,133,000","12,695,000","14,291,000","15,512,000","15,042,000","15,191,000","15,870,000","11,482,000","9,845,000","8,216,000","10,586,000","10,548,000","10,289,000","10,433,000","5,134,000","12,571,000","20,106,000","15,013,000","4,387,000","31,775,000","15,460,000","12,923,000","10,861,000","9,672,000","8,665,000","8,432,000","7,784,000","8,249,000","9,075,000","9,888,000","11,261,000","12,256,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-82,197,000","-20,116,000","-19,552,000","-20,559,000","-20,632,000","-21,127,000","-10,550,000","-17,339,000","-17,912,000","-14,421,000","-13,440,000","-16,715,000","-15,670,000","-14,371,000","-15,294,000","-10,516,000","-9,759,000","-13,429,000","-14,358,000","-17,253,000","-15,967,000","-16,913,000","-17,850,000","-19,344,000","-12,144,000","-15,065,000","-13,629,000","-12,761,000","-11,547,000","-12,255,000","-30,994,000","3,701,000","-19,533,000","-7,588,000","-3,081,000","-29,315,000","-12,779,000","-5,096,000","-10,861,000","-9,672,000","-8,665,000","-8,432,000","-7,784,000","-8,249,000","-9,075,000","-9,888,000","-11,261,000","-12,256,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"517,233,000","118,975,000","121,484,000","129,981,000","146,793,000","104,562,000","116,482,000","124,753,000","120,340,000","75,252,000","65,681,000","128,472,000","-47,872,000","27,823,000","72,764,000","74,185,000","68,719,000","28,864,000","38,367,000","76,590,000","98,302,000","33,360,000","77,792,000","69,708,000","65,365,000","14,211,000","-35,081,000","66,473,000","46,644,000","35,699,000","54,320,000","83,200,000","69,217,000","54,858,000","56,999,000","59,442,000","52,004,000","32,179,000","58,309,000","45,563,000","32,062,000","39,661,000","-15,756,000","33,494,000","35,447,000","14,151,000","29,711,000","50,631,000","36,224,000","27,805,000","-1,491,057,000","65,079,000","64,119,000","52,688,000","-1,306,007,000","67,151,000","63,172,000","50,165,000","35,542,000","53,162,000","52,134,000","35,136,000","-3,233,000","40,078,000","34,978,000","23,706,000","-532,391,000","24,046,000","22,457,000","17,586,000","12,180,000","18,543,000","18,899,000","15,394,000","10,275,000","11,694,000","3,889,000","9,941,000","10,874,000","10,900,000","7,000,000","4,800,000","5,600,000","4,600,000","3,200,000","2,700,000","3,800,000","3,200,000","2,800,000","700,000","1,300,000","1,100,000"
EBITDA,"915,091,000"
ReconciledCostOfRevenue,"4,524,545,000","1,093,502,000","1,140,290,000","1,135,855,000","1,156,236,000","1,089,910,000","1,138,288,000","1,098,150,000","1,064,041,000","1,063,359,000","1,044,352,000","1,030,757,000","1,092,923,000","1,009,215,000","1,008,874,000","850,940,000","850,129,000","833,768,000","788,539,000","922,782,000","951,841,000","923,689,000","929,744,000","847,012,000","761,456,000","692,003,000","699,543,000","670,400,000","684,612,000","665,637,000","1,414,741,000","415,075,000","443,663,000","438,650,000","1,164,435,000","409,844,000","343,713,000","505,028,000","380,999,000","348,630,000","346,502,000","330,375,000","351,872,000","314,987,000","319,418,000","322,553,000","384,859,000","425,177,000","432,511,000","386,687,000","354,206,000","347,914,000","353,717,000","332,671,000","310,599,000","319,808,000","328,425,000","316,396,000","365,059,000","267,196,000","268,994,000","226,159,000","281,895,000","185,341,000","184,984,000","154,727,000","131,746,000","126,953,000","134,954,000","131,307,000","82,688,000","84,867,000","86,128,000","62,173,000","74,548,000","71,482,000","102,985,000","86,285,000","88,602,000","87,000,000","94,300,000","46,100,000","44,200,000","40,300,000","48,600,000","40,200,000","32,300,000","33,400,000","33,800,000","28,400,000","30,300,000","30,400,000"
ReconciledDepreciation,"397,858,000","98,302,000","101,617,000","99,737,000","98,202,000","92,736,000","67,852,000","64,891,000","64,726,000","63,124,000","64,247,000","67,646,000","71,438,000","67,426,000","58,226,000","44,534,000","44,725,000","45,601,000","24,946,000","51,690,000","52,780,000","52,048,000","47,432,000","43,737,000","30,978,000","30,727,000","33,664,000","33,651,000","34,671,000","33,910,000","35,923,000","36,755,000","37,597,000","37,356,000","33,058,000","34,080,000","33,408,000","32,047,000","32,241,000","31,734,000","31,548,000","31,136,000","30,505,000","30,180,000","30,995,000","30,922,000","32,504,000","30,755,000","30,673,000","29,074,000","27,349,000","27,405,000","27,333,000","25,581,000","22,899,000","24,114,000","23,118,000","21,829,000","20,660,000","17,616,000","16,343,000","13,902,000","13,280,000","11,206,000","10,560,000","9,589,000","8,427,000","8,445,000","8,311,000","8,371,000","5,824,000","5,843,000","7,293,000","11,443,000","-31,000","5,567,000","10,268,000","6,800,000","6,892,000","6,500,000","7,200,000","4,600,000","4,600,000","4,000,000","4,900,000","3,800,000","2,500,000","2,600,000","2,700,000","1,700,000","2,000,000","1,800,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"335,133,000","75,760,000","76,543,000","82,641,000","100,189,000","65,103,000","76,728,000","86,713,000","80,396,000","48,157,000","120,192,000","98,774,000","-75,037,000","14,059,000","46,387,000","51,069,000","44,281,000","15,322,000","15,560,000","43,021,000","64,116,000","14,045,000","43,167,000","41,548,000","37,268,000","5,935,000","-27,022,000","43,960,000","26,559,000","18,860,000","36,103,000","53,833,000","34,055,000","30,185,000","41,707,000","19,341,000","26,249,000","14,923,000","35,583,000","25,379,000","17,076,000","26,554,000","-27,159,000","16,994,000","17,983,000","3,111,000","14,800,000","26,500,000","19,284,000","19,094,000","-30,857,000","28,503,000","26,301,000","20,863,000","35,736,000","38,945,000","34,936,000","22,077,000","35,945,000","68,421,000","29,054,000","16,822,000","24,236,000","23,187,000","19,636,000","10,636,000","14,576,000","12,873,000","11,039,000","7,586,000","5,038,000","7,832,000","4,986,000","4,468,000","3,999,000","4,984,000","2,674,000","3,036,000","3,251,000","3,400,000","2,200,000","2,400,000","3,300,000","2,700,000","700,000","1,200,000","2,500,000","2,100,000","700,000","100,000","700,000","500,000"
TotalUnusualItemsExcludingGoodwill,"67,988,000","21,330,000","15,327,000","15,704,000","15,544,000","15,179,000","5,738,000","6,387,000","4,290,000","11,238,000","141,662,000","70,080,000","-119,879,000","913,000","10,469,000","9,117,000","2,306,000","-7,347,000","13,473,000","-6,103,000","14,268,000","-8,065,000","1,123,000","4,803,000","-8,652,000","-4,965,000","-74,690,000","12,098,000","-10,576,000","2,101,000","3,888,000","3,333,000","930,000",,,,,,"1,411,000","5,022,000","1,098,000","684,000","-39,627,000","-797,000","-1,457,000","-271,000",,,"-477,000","-1,051,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalUnusualItems,"67,988,000","21,330,000","15,327,000","15,704,000","15,544,000","15,179,000","5,738,000","6,387,000","4,290,000","11,238,000","141,662,000","70,080,000","-119,879,000","913,000","10,469,000","9,117,000","2,306,000","-7,347,000","13,473,000","-6,103,000","14,268,000","-8,065,000","1,123,000","4,803,000","-8,652,000","-4,965,000","-74,690,000","12,098,000","-10,576,000","2,101,000","3,888,000","3,333,000","930,000",,,,,,"1,411,000","5,022,000","1,098,000","684,000","-39,627,000","-797,000","-1,457,000","-271,000",,,"-477,000","-1,051,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NormalizedEBITDA,"847,103,000","195,947,000","207,774,000","214,014,000","229,451,000","182,119,000","178,596,000","183,257,000","180,776,000","127,138,000","-11,734,000","126,038,000","143,445,000","94,336,000","120,521,000","109,602,000","111,138,000","81,812,000","49,840,000","134,383,000","136,814,000","93,473,000","124,101,000","108,642,000","104,995,000","49,903,000","73,273,000","88,026,000","91,891,000","67,508,000","86,355,000","116,622,000","105,884,000","92,214,000","90,057,000","93,522,000","85,412,000","64,226,000","89,139,000","72,275,000","62,512,000","70,113,000","54,376,000","64,471,000","67,899,000","45,344,000","62,215,000","81,386,000","67,374,000","57,930,000","-1,463,708,000","92,484,000","91,602,000","78,269,000","-1,283,108,000","91,265,000","86,290,000","71,994,000","56,202,000","70,778,000","68,477,000","49,038,000","10,047,000","51,284,000","45,538,000","33,295,000","-523,964,000","32,491,000","30,768,000","25,957,000","18,004,000","24,386,000","26,192,000","26,837,000","15,734,000","17,261,000","14,157,000","16,741,000","17,766,000","17,400,000","14,200,000","9,400,000","10,200,000","8,600,000","8,100,000","6,500,000","6,400,000","5,800,000","5,500,000","2,500,000","3,300,000","2,900,000"
TaxRateForCalcs,"0.237","0.236","0.249","0.253","0.215","0.241","0.257","0.22","0.242","0.217","0.265","0.133","0.265","0.265","0.237","0.222","0.269","0.053","0.354","0.296","0.23","0.226","0.303","0.287","0.329","0.01","0.25","0.214","0.269","0.253","0.266","0.238","0.307","0.242","0.207","0.301","0.282","0.225","0.25","0.293","0.27","0.15","0.29","0.327","0.318","0.27","0.198","0.309","0.227","0.295","0.38","0.024","0.082","0.38","0.4","0.056","0.4","0.022","0.002","0.076","0.101","0.08","0.044","0.112","0.094","0.076","0.076","0.094","0.106","0.075","0.4","0.306","0.382","0.384","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.314","0.233","0.182","0.222","0.143","0.074","0.087","0.125","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"16,138,693.021","5,033,880","3,819,422.009","3,973,112","3,341,960","3,658,139","1,476,942.307","1,405,140","1,038,180","2,438,646","37,540,430","9,320,640","-31,767,935","241,945","2,486,071.277","2,023,974","620,314","-389,391","4,765,578.501","-1,806,488","3,281,640","-1,822,690","340,135.412","1,378,461","-2,846,508","-49,650","-18,672,500","2,588,972","-2,844,944","531,553","1,034,170.374","792,607.399","285,110.871","0","0","0","0","0","352,839.213","1,470,877.49","296,638.8","102,395.21","-11,491,830","-260,489.087","-463,475.391","-73,232.935","0","0","-108,116.939","-310,045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
