name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
MarketCap,"4,565,967,684","4,013,077,649","9,436,209,076","9,062,184,526","13,029,982,772","13,047,494,655","12,314,788,671","13,715,449,522","14,488,619,194","14,774,954,289","15,126,922,881","12,216,643,195","9,988,591,059","12,602,450,841","11,518,139,015","10,368,174,378","7,584,484,355","4,394,412,286","2,237,300,268","2,745,416,380","5,761,548,878","7,917,788,941","7,901,812,336","10,962,651,319","13,170,781,727","12,451,225,405","14,977,832,851","15,478,266,770","12,452,621,153","16,406,488,688","21,161,301,722","17,346,234,467","17,881,542,108","20,947,234,578","20,796,234,965","17,613,664,814","29,904,918,908","31,238,814,435","36,489,344,050","24,181,582,611","17,622,435,067","25,579,830,499","20,723,290,214","16,512,883,664","7,760,628,100","2,702,100,750","2,395,375,800","13,083,256,804","21,214,328,042","18,113,283,932","15,807,088,493","21,077,985,633","17,823,499,040","14,896,773,081","16,262,528,432","13,175,415,471","12,866,328,000","13,161,877,748","11,030,964,285","9,127,351,721","6,831,494,722","7,460,592,102","6,257,133,753","4,346,913,576","3,474,336,970","3,583,546,898","3,178,000,986","1,965,380,700","1,541,025,900","1,367,545,140","1,387,714,442","1,220,524,800","1,625,517,120","1,711,955,840","1,494,264,777","1,175,773,200","902,275,310","932,906,324","991,366,040","720,376,830","743,954,640","777,490,650","805,681,361"
EnterpriseValue,"9,010,314,264","7,341,244,801","12,662,961,340","12,257,526,427","16,241,768,176","15,864,670,720","15,069,506,455","17,539,251,076","18,481,990,228","18,977,355,328","19,290,976,901","16,669,831,256","14,869,569,161","17,803,480,848","17,148,383,761","16,249,891,994","13,434,019,592","10,362,622,916","8,144,222,110","8,514,512,497","11,915,526,406","12,975,380,968","13,308,149,017","15,994,975,738","18,464,653,470","16,930,248,361","19,879,360,880","20,140,061,284","16,645,245,226","20,272,189,060","25,109,726,925","20,791,470,001","20,868,903,865","23,585,386,467","23,722,090,437","20,492,146,070","33,464,978,916","30,227,405,995","40,604,685,595","28,800,694,842","22,289,941,631","30,503,319,731","27,098,039,521","23,446,179,575","16,786,864,394","11,814,610,304","12,266,463,032","13,358,786,311","21,585,294,551","18,593,004,480","15,922,419,138","18,265,316,271","14,722,971,685","11,713,636,930","13,963,188,399","11,499,543,836","11,187,448,158","11,968,705,678","10,536,649,761","8,631,931,776","6,264,982,609","7,027,427,571","6,055,826,086","4,773,493,805","4,030,160,894","4,242,476,731","3,954,548,779","2,886,120,190","2,227,003,377","2,102,667,930","1,939,068,148","1,846,844,071","2,474,293,747","2,512,315,343","2,296,412,548","1,600,318,777","1,288,328,478","1,505,044,949","1,453,149,730","1,078,122,632","1,106,915,362","1,115,657,362","1,138,271,079"
PeRatio,"7.119",,"7.797","4.817","5.875","5.832","4.939","6.646","7.287","7.776","7.887","7.389","8.702","16.408",,,,,,"10.74","19.526","27.63","19.793","18.826","19.803","14.436","23.875","24.502","15.031","20.742","26.204","8.809","7.82","7.9","8.914","7.516","15.357","21.382","19.694","13.189","8.427","10.255","11.198","24.155","16.377","5.889","4.019","8.732","13.126","15.072","9.233","9.277","8.575","7.263","9.307","5.022","4.794","10.271","12.246","10.13","10.761","13.396","12.971","12.729","14.425","20.888","29.077","49.564","51.124","54.381","78.925","80.573",,,,"7.841","11.081","17.938","6.524","4.967","5.027","5.497","7.335"
ForwardPeRatio,"17.301","5.9","7.968","6.27","7.645","8.285","6.935","7.837","7.189","7.616","9.843","8.197","5.4","5.875","4.805","11.737","55.866","37.175","26.81","9.533","11.099","9.833","14.025","13.038","13.736","11.669","13.245","12.837","8.718","9.132","12.771","8.446","7.429","8.19","7.669","5.149","8.651","8.795","12.376",,,,,,,,,,,"26.178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,"81.949","116.843","108.682","114.497","97.192","110.43","106.94","72.681","76.128","106.424","70.363","61.914","0.89","1.198","0.094","0.38","0.386","0.544",,,,,,,,,,,"2.616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.598","0.503","1.035","0.975","1.392","1.443","1.357","1.473","1.608","1.62","1.561","1.335","1.262","1.835","1.988","1.78","1.238","0.689","0.369","0.436","0.831","1.168","1.046","1.351","1.538","1.477","1.657","1.673","1.298","1.626","2.055","1.489","1.618","1.831","1.878","1.583","2.8","3.113","3.911","2.897","2.206","3.153","2.811","2.238","1.266","0.46","0.394","2.025","3.146","2.79","2.41","3.083","2.923","2.662","3.282","2.834","2.706","3.427","3.251","2.689","2.209","2.522","2.249","1.672","1.679","1.923","1.798","1.2","0.993","0.942","1.083","0.952","1.114","0.724","0.631","0.532","0.856","1.284","2.095","1.372","1.389","1.11","1.316"
PbRatio,"0.303","0.267","0.531","0.515","0.73","0.769","0.749","0.85","0.938","0.985","0.993","0.821","0.722","0.967","0.936","0.835","0.599","0.347","0.183","0.198","0.378","0.539","0.489","0.655","0.748","0.743","0.862","0.875","0.705","0.936","1.183","0.943","1.04","1.176","1.201","1.02","1.737","1.877","2.275","1.557","1.184","1.701","1.489","1.236","0.767","0.303","0.267","1.525","2.56","2.284","2.028","3.24","2.744","2.62","3.274","2.783","2.713","3.17","3.255","2.687","2.317","2.621","2.335","1.943","1.684","1.789","1.645","1.097","0.861","0.812","0.867","0.766","0.97","1.066","0.929","1.083","0.79","0.868","0.911","0.668","0.68","0.698","0.723"
EnterprisesValueRevenueRatio,"0.804","3.088","4.769","4.039","5.176","5.108","4.641","5.466","6.128","6.138","6.015","5.328","5.277","6.152","4.821","7.05","7.721","6.103","3.815","4.053","5.961","6.411","5.899","7.109","9.191","8.124","8.367","7.979","7.735","8.701","9.198","8.3","8.149","9.26","7.982","6.063","11.969","12.776","14.455","11.429","10.564","16.054","12.505","11.002","9.834","6.917","7.375","7.421","11.546","11.836","10.349","9.455","9.431","8.742","6.687","7.047","7.236","9.402","7.846","7.506","6.303","7.573","6.781","4.881","4.827","5.876","5.156","4.892","4.436","3.663","3.103","3.42","4.749","5.015","4.358","2.676","2.214","2.24","2.029","6.104","7.335","6.613","6.676"
EnterprisesValueEBITDARatio,"-63.903","1,835.311","-6.514","12.307","20.226","11.463","13.371","8.606","13.432","12.428","12.478","12.221","11.527","13.622","11.193","21.049","30.812","21.02","-26.968","-3.361","20.651","24.528","23.554","25.349","34.068","30.951","26.123","24.988","24.807","22.752","62.462","27.037","24.933","28.246","17.43","11.97","22.104","27.859","37.458","30.869","25.562","19.794","23.441","18.147","15.33","13.108","-29.473","17.745","21.934","25.637","21.023","20","17.694","16.902","10.141","12.938","12.231","18.556","14.594","15.064","14.11","18.942","14.953","12.562","14.982","19.197","21.035","27.487","37.746","28.804","149.159","21.228","36.93","44.076","46.866","13.011","11.301","7.167","7.255","34.421","34.918","27.961","32.522"
