name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
MarketCap,"3,447,423,292","4,270,918,215","4,227,946,084","3,806,444,743","3,306,544,207","2,822,392,784","4,262,589,334","3,405,104,688"
EnterpriseValue,"6,072,423,292","6,993,918,215","6,751,946,084","6,400,444,743","5,958,544,207","5,492,392,784","6,908,589,334","3,709,104,688"
PeRatio,"36.81","53.959","58.044","53.205","26.944","11.797","17.621","14.079"
PsRatio,"0.774","0.962","0.987","0.951","0.908","0.87","1.3","1.039"
PbRatio,"1.563","1.975","1.962","1.759","1.501","1.281","1.925","1.248"
EnterprisesValueRevenueRatio,"1.35","6.211","5.761","5.782","5.447","5.109","6.469","4.677"
EnterprisesValueEBITDARatio,"7.876","37.602","36.896","32.163","29.352","30.013","41.618","27.475"
