name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001
TotalRevenue,"794,470,700,000","212,366,300,000","208,421,800,000","190,117,800,000","182,645,000,000","179,607,000,000","174,977,600,000","169,492,500,000","146,316,300,000","148,862,900,000","141,835,100,000","139,235,200,000","128,874,000,000","132,778,200,000","114,517,600,000","108,945,400,000","105,880,500,000","108,955,000,000","99,407,000,000","92,326,600,000","88,506,800,000","87,846,700,000","82,348,400,000","75,580,900,000","70,221,800,000","68,924,400,000","67,830,400,000","63,208,800,000","63,443,000,000","65,373,000,000","55,977,400,000","53,536,900,000","50,135,400,000","52,385,800,000","45,359,900,000","43,241,100,000","39,679,900,000","47,573,900,000","39,045,100,000","37,483,700,000","33,410,200,000","51,890,200,000","26,292,000,000","32,239,000,000","28,992,300,000","36,390,500,000","23,868,500,000","23,057,000,000","23,168,900,000",,,"16,147,590,690",,,,"11,252,725,096.5",,,,"8,199,639,220.5",,,,"5,488,532,154",,,,"4,453,089,207",,,,"2,753,623,260",,,,,
	OperatingRevenue,"794,470,700,000","212,366,300,000","208,421,800,000","190,117,800,000","182,645,000,000","179,607,000,000","174,977,600,000","169,492,500,000","146,316,300,000","148,862,900,000","141,835,100,000","139,235,200,000","128,874,000,000","132,778,200,000","114,517,600,000","108,945,400,000","105,880,500,000","108,955,000,000","99,407,000,000","92,326,600,000","88,506,800,000","87,846,700,000","82,348,400,000","75,580,900,000","70,221,800,000","68,924,400,000","67,830,400,000","63,208,800,000","63,443,000,000","65,373,000,000","55,977,400,000","53,536,900,000","50,135,400,000","52,385,800,000","45,359,900,000","43,241,100,000","39,679,900,000","47,573,900,000","39,045,100,000","37,483,700,000","33,410,200,000","51,890,200,000","26,292,000,000","32,239,000,000","28,992,300,000","36,390,500,000","23,868,500,000","23,057,000,000","23,168,900,000",,,"16,147,590,690",,,,"11,252,725,096.5",,,,"8,199,639,220.5",,,,"5,488,532,154",,,,"4,453,089,207",,,,"2,753,623,260",,,,,
PretaxIncome,"366,071,600,000","91,743,300,000","99,018,500,000","87,514,300,000","85,335,800,000","89,543,800,000","85,668,900,000","82,579,900,000","70,183,800,000","72,945,600,000","70,998,500,000","64,844,000,000","59,611,800,000","58,750,600,000","58,934,700,000","52,755,600,000","49,524,600,000","49,932,000,000","50,819,800,000","43,616,000,000","41,219,000,000","42,190,400,000","42,181,300,000","36,043,000,000","33,609,900,000","28,961,800,000","34,991,300,000","30,007,400,000","27,789,900,000","21,090,400,000","27,163,900,000","22,784,200,000","20,936,300,000","19,854,300,000","20,487,900,000","14,362,500,000","15,897,000,000","21,694,300,000","16,068,200,000","16,273,300,000","11,936,900,000","6,879,500,000","11,759,800,000","5,848,100,000","8,598,300,000","3,838,200,000","9,262,900,000","3,003,600,000","6,830,400,000",,,"3,822,654,454.5",,,,"2,976,040,641",,,,"3,026,240,473.5",,,,"2,415,137,634",,,,"1,720,823,784",,,,"1,210,144,959",,,,,
TaxProvision,"103,498,400,000","22,466,400,000","24,853,700,000","26,085,500,000","29,654,200,000","30,692,600,000","29,810,400,000","28,408,900,000","24,169,400,000","24,952,800,000","24,572,500,000","24,184,400,000","20,673,400,000","23,605,700,000","20,281,400,000","18,202,300,000","17,135,500,000","21,102,200,000","17,251,400,000","14,921,500,000","14,261,800,000","16,775,800,000","14,236,200,000","12,228,400,000","11,279,500,000","11,034,400,000","11,734,300,000","10,184,200,000","9,351,300,000","7,320,100,000","8,573,200,000","7,184,400,000","6,762,400,000","6,986,200,000","6,191,300,000","5,121,400,000","5,047,200,000","8,283,800,000","5,189,900,000","5,930,000,000","3,819,800,000","3,112,400,000","3,574,800,000","2,285,100,000","2,537,200,000","1,387,900,000","3,045,500,000","1,117,100,000","2,186,900,000",,,"1,287,443,041.5",,,,"884,583,508.5",,,,"931,827,132",,,,"825,688,080",,,,"537,757,432.5",,,,"400,966,194",,,,,
NetIncomeCommonStockholders,"262,573,200,000","69,276,900,000","74,164,800,000","61,292,600,000","55,681,600,000","58,851,200,000","55,858,500,000","53,224,100,000","46,014,400,000","47,992,800,000","46,426,000,000","40,528,400,000","38,938,400,000","34,934,100,000","38,653,300,000","34,553,300,000","32,389,100,000","28,695,200,000","33,568,400,000","28,694,500,000","26,957,200,000","25,147,600,000","27,945,100,000","23,814,600,000","22,330,400,000","17,800,900,000","23,257,000,000","19,823,200,000","18,438,600,000","13,455,000,000","18,590,700,000","15,599,800,000","14,173,900,000","12,643,500,000","14,296,600,000","9,159,000,000","10,849,800,000","13,080,100,000","10,878,300,000","10,185,400,000","8,117,100,000","3,450,000,000","8,185,000,000","3,404,600,000","6,061,100,000","2,396,600,000","6,217,400,000","1,846,800,000","4,643,500,000","1,273,074,224","3,958,308,592","2,535,211,413","2,597,877,504","3,424,829,580.4","3,429,221,290.06","2,091,457,132.5","1,051,555,451.75","4,194,518,467","2,503,489,524","2,094,413,341.5","2,071,739,089","1,815,720,276","1,786,956,486","1,589,449,554","1,593,103,396.5","1,072,232,555","1,321,917,795","1,183,066,351.5","1,077,767,490.36","781,323,790.95","991,175,045.58","809,178,765","817,400,167.5","889,820,707.84","752,674,681.86","692,426,455.72","620,510,519.2"
	NetIncome,"262,573,200,000","69,276,900,000","74,164,800,000","61,292,600,000","55,681,600,000","58,851,200,000","55,858,500,000","54,171,000,000","46,014,400,000","47,992,800,000","46,426,000,000","40,528,400,000","38,938,400,000","34,934,100,000","38,653,300,000","34,553,300,000","32,389,100,000","28,695,200,000","33,568,400,000","28,694,500,000","26,957,200,000","25,147,600,000","27,945,100,000","23,814,600,000","22,330,400,000","17,800,900,000","23,257,000,000","19,823,200,000","18,438,600,000","13,455,000,000","18,590,700,000","15,599,800,000","14,173,900,000","12,643,500,000","14,296,600,000","9,159,000,000","10,849,800,000","13,080,100,000","10,878,300,000","10,185,400,000","8,117,100,000","3,450,000,000","8,185,000,000","3,404,600,000","6,061,100,000","2,396,600,000","6,217,400,000","1,846,800,000","4,643,500,000","1,273,074,224","3,958,308,592","2,535,211,413","2,597,877,504","3,424,829,580.4","3,429,221,290.06","2,091,457,132.5","1,051,555,451.75","4,194,518,467","2,503,489,524","2,094,413,341.5","2,071,739,089","1,815,720,276","1,786,956,486","1,589,449,554","1,593,103,396.5","1,072,232,555","1,321,917,795","1,183,066,351.5","1,077,767,490.36","781,323,790.95","991,175,045.58","809,178,765","817,400,167.5","889,820,707.84","752,674,681.86","692,426,455.72","620,510,519.2"
		NetIncomeIncludingNoncontrollingInterests,"262,573,200,000","69,276,900,000","74,164,800,000","61,428,800,000","55,681,600,000","58,851,200,000","55,858,500,000","54,171,000,000","46,014,400,000","47,992,800,000","46,426,000,000","40,659,600,000","38,938,400,000","35,144,900,000","38,653,300,000","34,553,300,000","32,389,100,000","28,829,800,000","33,568,400,000","28,694,500,000","26,957,200,000","25,414,600,000","27,945,100,000","23,814,600,000","22,330,400,000","17,927,400,000","23,257,000,000","19,823,200,000","18,438,600,000","13,770,300,000","18,590,700,000","15,599,800,000","14,173,900,000","12,868,100,000","14,296,600,000","9,241,100,000","10,849,800,000","13,410,500,000","10,878,300,000","10,343,300,000","8,117,100,000","3,767,100,000","8,185,000,000","3,563,000,000","6,061,100,000","2,450,300,000","6,217,400,000","1,886,500,000","4,643,500,000","1,365,074,224","3,958,308,592","2,551,081,281","2,597,877,504","3,480,992,362.4","3,429,221,290.06","2,102,885,860","1,051,555,451.75","4,216,798,122","2,503,489,524","2,094,413,341.5","2,071,739,089","1,815,720,276","1,786,956,486","1,589,449,554","1,593,103,396.5","1,072,232,555","1,321,917,795","1,183,066,351.5","1,077,767,490.36","781,323,790.95","991,175,045.58","809,178,765","817,400,167.5","889,820,707.84","752,674,681.86","692,426,455.72","620,510,519.2"
			NetIncomeContinuousOperations,"262,573,200,000","69,276,900,000","74,164,800,000","61,428,800,000","55,681,600,000","58,851,200,000","55,858,500,000","54,171,000,000","46,014,400,000","47,992,800,000","46,426,000,000","40,659,600,000","38,938,400,000","35,144,900,000","38,653,300,000","34,553,300,000","32,389,100,000","28,829,800,000","33,568,400,000","28,694,500,000","26,957,200,000","25,414,600,000","27,945,100,000","23,814,600,000","22,330,400,000","17,927,400,000","23,257,000,000","19,823,200,000","18,438,600,000","13,770,300,000","18,590,700,000","15,599,800,000","14,173,900,000","12,868,100,000","14,296,600,000","9,241,100,000","10,849,800,000","13,410,500,000","10,878,300,000","10,343,300,000","8,117,100,000","3,767,100,000","8,185,000,000","3,563,000,000","6,061,100,000","2,450,300,000","6,217,400,000","1,886,500,000","4,643,500,000","1,273,074,224","3,958,308,592","2,535,211,413","2,597,877,504","3,424,829,580.4","3,429,221,290.06","2,091,457,132.5","1,051,555,451.75","4,194,518,467","2,503,489,524","2,094,413,341.5","2,071,739,089","1,815,720,276","1,786,956,486","1,589,449,554","1,593,103,396.5","1,072,232,555","1,321,917,795","1,183,066,351.5","1,077,767,490.36","781,323,790.95","991,175,045.58","809,178,765","817,400,167.5","889,820,707.84","752,674,681.86","692,426,455.72","620,510,519.2"
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,869,868",,,,"-11,428,727.5",,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,"107,700,000",,,,"946,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
