name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
			OtherGandA,"57,232,000","21,673,000","10,904,000","10,386,000","14,271,000","21,623,000","27,298,000","31,080,000","11,473,000","11,336,000","26,518,000","23,876,000","22,200,000","7,848,000","21,834,000","22,716,000","9,014,000","17,786,000","19,338,000","23,382,000","11,658,000","16,444,000","23,000,000","23,507,000","21,300,000","15,843,000","25,392,000","27,377,000","23,300,000","32,100,000",,,"11,933,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"3,911,000","617,000","951,000","970,000","1,373,000","989,000",,,"899,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"2,642,000","1,433,000","405,000","403,000","401,000","1,662,000",,,"25,000","31,000",,,,"29,000",,,"2,142,000","151,000",,,"63,000","4,892,000",,,,"77,000",,,,,,,"1,545,000",,,,,,,,,,,,,,,"1,671,000","659,000",,,"589,000","558,000","371,000",,"17,000","705,000","1,080,000","17,300,000","282,000","289,000","-44,630,000","15,900,000","14,800,000","14,800,000","-44,336,000","15,100,000","15,400,000","14,800,000","-45,595,000","15,200,000","15,400,000","15,700,000","-47,506,000","16,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"2,642,000","1,433,000","405,000","403,000","401,000","1,662,000",,,"25,000","31,000",,,,"29,000",,,"2,142,000","151,000",,,"63,000","4,892,000",,,,"77,000",,,,,,,"1,545,000",,,,,,,,,,,,,,,"1,671,000","659,000",,,"589,000","558,000","371,000",,"17,000","705,000","1,080,000","17,300,000","282,000","289,000","-44,630,000","15,900,000","14,800,000","14,800,000","-44,336,000","15,100,000","15,400,000","14,800,000","-45,595,000","15,200,000","15,400,000","15,700,000","-47,506,000","16,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,"2,637,000","1,431,000","403,000","402,000","401,000","8,000",,,"22,000","23,000",,,,"28,000",,,"28,000","150,000",,,"63,000","4,892,000",,,,"77,000",,,,,,,"1,545,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,"5,000","2,000","2,000","1,000","0","1,654,000",,,"3,000",,,,,"1,000",,,"2,114,000","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,671,000","659,000",,,"589,000","558,000","371,000",,"17,000","705,000","1,080,000",,"282,000","289,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"5,000","2,000","2,000","1,000","0","1,654,000",,,"3,000",,,,,"1,000",,,"2,114,000","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,671,000","659,000",,,"589,000","558,000","371,000",,"17,000","705,000","1,080,000",,"282,000","289,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,"-6,000",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"156,000","-46,000","-363,000","399,000","214,000","202,000",,,"468,000","259,000",,,,"597,000",,,"410,000","-4,359,000",,,"8,839,000","5,097,000",,,,"-5,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"-1,385,000","1,396,000","-1,414,000","997,000","-3,648,000","-19,259,000","10,454,000","6,111,000","486,000","22,342,000","7,117,000","3,069,000",,"36,024,000","34,509,000","1,961,000","-1,170,000","7,205,000","63,728,000","4,421,000","-1,081,000","8,778,000","10,373,000","11,113,000",,"20,430,000","-66,953,000","6,153,000",,"14,207,000","8,001,000",,"2,944,000",,"13,179,000","9,857,000",,,,,,,,,,,,"-1,671,000","-659,000",,,"-589,000","-558,000","-371,000",,"17,000","-705,000","-1,080,000","-17,300,000","-282,000","-289,000","44,630,000","-15,800,000","-14,800,000","-14,900,000","44,236,000","-15,200,000","-15,400,000","-14,800,000","45,595,000","-15,200,000","-15,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"435,180,000","98,903,000","106,941,000","112,605,000","117,966,000","179,724,000","125,937,000","187,189,000","165,126,000","166,667,000","154,902,000","152,962,000","155,700,000","139,399,000","89,373,000","122,255,000","93,108,000","86,373,000","46,447,000","136,747,000","99,690,000","92,331,000","109,056,000","110,728,000","133,500,000","101,782,000","190,041,000","154,316,000","215,600,000","188,184,000","228,286,000","270,400,000","208,789,000","225,536,000","204,949,000","177,138,000","167,037,000","148,267,000","131,782,000","153,411,000","113,724,000","99,942,000","112,903,000","151,100,000","119,500,000","150,772,000","239,060,000","156,102,000","86,222,000","60,080,000","67,152,000","73,460,000","58,797,000","49,384,000","57,523,000","64,429,000","48,552,000","43,063,000","66,500,000","51,003,000","37,897,000","-14,833,000","55,400,000","44,600,000","38,900,000","-24,948,000","41,700,000","37,200,000","33,600,000","-24,417,000","39,300,000","35,000,000","17,100,000","20,920,000","21,700,000","121,400,000","121,400,000","-308,922,000","125,448,000","125,448,000","125,448,000","-290,584,000","123,427,000","123,427,000","123,427,000","-305,200,000","126,400,000","126,400,000","126,400,000","-312,000,000","128,300,000","128,300,000","128,300,000","-278,600,000","118,400,000","118,400,000","118,400,000","-261,200,000","102,400,000","102,400,000","102,400,000","-205,400,000","78,500,000","78,500,000","78,500,000"
NetNonOperatingInterestIncomeExpense,"-50,650,000","-11,050,000","-13,453,000","-13,742,000","-12,405,000","-11,816,000","-7,897,000","-9,620,000","-8,048,000","-7,623,000","-9,172,000","-9,563,000","-10,200,000","-9,724,000","-11,420,000","-12,681,000","-13,123,000","-14,857,000","-14,466,000","-15,376,000","-13,586,000","-13,213,000","-9,867,000","-11,418,000","-12,700,000","-11,579,000","-14,296,000","-11,276,000","-8,700,000","-3,742,000","-7,611,000","-7,200,000","-6,525,000","-3,212,000","-1,787,000","-6,156,000","-4,970,000","-2,079,000","-4,979,000","-9,537,000","-5,518,000",,"-5,158,000","-3,900,000","-3,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"26,289,000","6,989,000","6,882,000","6,493,000","5,925,000","6,015,000","5,825,000","6,024,000","4,669,000","4,690,000","3,093,000","3,345,000","2,400,000","2,571,000","1,362,000","2,309,000","4,308,000","2,951,000","2,606,000","2,662,000","3,350,000","4,487,000","4,949,000","3,714,000","3,000,000","2,947,000","2,355,000","3,023,000","4,400,000","8,833,000","7,451,000","7,200,000","5,537,000","5,834,000","5,884,000","5,835,000","5,657,000","6,429,000","3,647,000","585,000","2,268,000",,"2,233,000","3,900,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
