name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
			NetIncomeContinuousOperations,"337,100,000","324,500,000","333,300,000","114,800,000","182,400,000","312,200,000","190,700,000","490,100,000","109,500,000","-578,000,000","654,000,000","650,700,000","775,200,000","633,000,000","499,700,000","314,400,000","437,500,000","390,900,000","379,900,000","216,700,000","264,500,000","232,900,000","-97,600,000","113,700,000","222,600,000","21,000,000","852,000,000"
			NetIncomeDiscontinuousOperations,"2,800,000","1,700,000","1,300,000","-1,500,000","4,200,000","39,400,000","-3,900,000","800,000","15,900,000","448,000,000","144,000,000","-7,000,000","19,500,000","109,100,000","81,400,000","51,600,000","-5,200,000","13,000,000",,"60,000,000",,,"1,630,100,000",,,"944,000,000",
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,"-6,500,000",,,,,,,,"-5,600,000",,,"-11,000,000"
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,"-307,000,000",
		MinorityInterests,"-1,300,000","-1,100,000","-900,000","200,000","-500,000","200,000","-2,300,000","-2,400,000",,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"338,600,000","325,100,000","333,700,000","113,500,000","186,100,000","351,800,000","184,500,000","488,500,000","125,400,000","-130,000,000","798,000,000","643,700,000","794,700,000","742,100,000","581,100,000","359,500,000","432,300,000","403,900,000","379,900,000","276,700,000","264,500,000","232,900,000","1,532,500,000","108,100,000","222,600,000","658,000,000","1,022,000,000"
BasicEPS,,,"3.81","1.29","2.09","3.92","2.02","5.37","1.35","-1.4","8.68","7.06","8.8","8.22","6.3","3.9","4.68","4.38","4.17","3.14","3.01","2.61","13.55","0.91","1.85","6.16","8.57"
DilutedEPS,,,"3.76","1.28","2.07","3.88","1.99","5.29","1.33","-1.4","8.6","7","8.66","8.06","6.2","3.82","4.58","4.29","4.06","3.05","2.94","2.53","13.55","0.89","1.85","5.93","8.02"
BasicAverageShares,,,"87,700,000","88,300,000","89,200,000","89,800,000","91,500,000","91,000,000","93,000,000","92,800,000","91,950,000","91,250,000","90,350,000","90,300,000","92,150,000","92,300,000","92,300,000","92,100,000","91,000,000","88,100,000","87,900,000","89,200,000","113,100,000","118,400,000","120,400,000","112,000,000","115,000,000"
DilutedAverageShares,,,"88,700,000","89,000,000","89,900,000","90,700,000","92,800,000","92,300,000","94,100,000","92,800,000","92,650,000","91,950,000","91,700,000","92,000,000","93,700,000","94,250,000","94,400,000","94,100,000","93,600,000","90,600,000","90,000,000","92,000,000","113,100,000","121,000,000","120,400,000","118,000,000","125,000,000"
