name,ttm,12/31/2019,09/30/2019
MarketCap,"3,303,852,870","2,176,117,703","2,103,994,440"
EnterpriseValue,"3,055,498,073","2,176,117,703","2,103,994,440"
PeRatio,"9.859","20.758","17.558"
PsRatio,"7.406","16.356","13.401"
PbRatio,"2.735","4.092","4.84"
EnterprisesValueRevenueRatio,"2.537","13.419","4.963"
EnterprisesValueEBITDARatio,"3.004","18.174","5.576"
