name,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,01/31/2006
			GrossPPE,"4,103,405,000","2,762,936,000","2,719,504,000","2,685,051,000","2,375,136,000",,,,"2,148,661,000",,,,"1,803,117,000",,,,"1,501,955,000",,,,"1,243,249,000",,,,"1,022,656,000",,,,"838,390,000",,,,"673,354,000",,,,"579,799,000",,,,"516,507,000",,,,"469,623,000","432,869,000","419,127,000","395,872,000","377,138,000","343,943,000","314,329,000","292,326,000","279,490,000","227,149,000"
				Properties,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0"
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149,022,000",,,,"119,750,000","100,447,000"
				MachineryFurnitureEquipment,"1,670,087,000",,,,"1,539,286,000",,,,"1,320,299,000",,,,"1,146,016,000",,,,"910,439,000",,,,"720,719,000",,,,"609,629,000",,,,"493,066,000",,,,"383,269,000",,,,"329,471,000",,,,"284,922,000",,,,"252,535,000",,,,"197,800,000",,,,"152,734,000","120,490,000"
				OtherProperties,"1,537,565,000","2,762,936,000","2,719,504,000","2,685,051,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"92,355,000",,,,"50,574,000",,,,"122,419,000",,,,"49,411,000",,,,"75,804,000",,,,"90,531,000",,,,"36,231,000",,,,"37,700,000",,,,"33,598,000",,,,"16,331,000",,,,"12,268,000",,,,"18,081,000",,,,"30,316,000",,,,"7,006,000","6,212,000"
				Leases,"803,398,000",,,,"785,276,000",,,,"705,943,000",,,,"607,690,000",,,,"515,712,000",,,,"431,999,000",,,,"376,796,000",,,,"307,624,000",,,,"256,487,000",,,,"233,997,000",,,,"219,317,000",,,,"199,007,000",,,,,,,,,
			AccumulatedDepreciation,"-1,360,316,000",,,,"-1,149,107,000",,,,"-959,208,000",,,,"-798,759,000",,,,"-654,355,000",,,,"-526,090,000",,,,"-426,920,000",,,,"-355,331,000",,,,"-296,369,000",,,,"-253,700,000",,,,"-225,646,000",,,,"-177,399,000","-140,749,000","-140,749,000","-140,749,000","-140,749,000","-117,410,000","-117,410,000","-117,410,000","-117,410,000","-94,146,000"
		GoodwillAndOtherIntangibleAssets,"14,261,000","14,492,000","14,724,000","14,955,000","15,187,000","16,069,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Goodwill,"10,870,000","10,870,000","10,870,000","10,870,000","10,870,000","9,084,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
