name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalRevenue,"2,338,311,000","2,410,706,000","2,151,369,000","1,646,186,000","1,129,167,000","837,591,000","584,106,000","361,224,000","193,408,000","139,848,000"
	OperatingRevenue,"2,338,311,000","2,410,706,000","2,151,369,000","1,646,186,000","1,129,167,000","837,591,000","584,106,000","361,224,000","193,408,000","139,848,000"
CostOfRevenue,"836,292,000","866,368,000","777,992,000","584,417,000","406,051,000","294,031,000","192,015,000","122,686,000","61,252,000","43,366,000"
GrossProfit,"1,502,019,000","1,544,338,000","1,373,377,000","1,061,769,000","723,116,000","543,560,000","392,091,000","238,538,000","132,156,000","96,482,000"
OperatingExpense,"740,925,000","738,564,000","695,030,000","591,497,000","479,707,000","394,252,000","266,578,000","172,390,000","92,259,000","52,082,000"
	SellingGeneralAndAdministration,"284,681,000","275,805,000","252,562,000","241,903,000","206,126,000","184,804,000","117,669,000","73,803,000","37,104,000","25,674,000"
		GeneralAndAdministrativeExpense,"64,741,000","61,898,000","65,420,000","86,798,000","75,239,000","75,720,000","32,331,000","18,688,000","8,501,000","6,224,000"
			OtherGandA,"64,741,000","61,898,000","65,420,000","86,798,000","75,239,000","75,720,000","32,331,000","18,688,000","8,501,000","6,224,000"
		SellingAndMarketingExpense,"219,940,000","213,907,000","187,142,000","155,105,000","130,887,000","109,084,000","85,338,000","55,115,000","28,603,000","19,450,000"
	ResearchAndDevelopment,"456,244,000","462,759,000","442,468,000","349,594,000","273,581,000","209,448,000","148,909,000","98,587,000","55,155,000","26,408,000"
OperatingIncome,"761,094,000","805,774,000","678,347,000","470,272,000","243,409,000","149,308,000","125,513,000","66,148,000","39,897,000","44,400,000"
NetNonOperatingInterestIncomeExpense,"50,908,000","51,144,000","28,965,000","-2,780,000","-3,136,000","-3,152,000","-6,280,000","-7,119,000","-7,057,000","-6,417,000"
	InterestIncomeNonOperating,"50,908,000","51,144,000","31,666,000",,,,,,,
	InterestExpenseNonOperating,,,"2,701,000","2,780,000","3,136,000","3,152,000","6,280,000","7,119,000","7,057,000","6,417,000"
OtherIncomeExpense,"5,412,000","5,352,000","-418,511,000","7,268,000","1,952,000","-147,000","2,275,000","-754,000","135,000","-357,000"
	GainOnSaleOfSecurity,,"5,427,000","-13,800,000",,,,,,,
	SpecialIncomeCharges,,"0","-405,000,000",,,,,,,
		OtherSpecialCharges,,,"405,000,000",,,,,,,
	OtherNonOperatingIncomeExpenses,"1,135,000","-75,000","289,000","7,268,000","1,952,000","-147,000","2,275,000","-754,000","135,000","-357,000"
PretaxIncome,"817,414,000","862,270,000","288,801,000","474,760,000","242,225,000","146,009,000","121,508,000","58,275,000","32,975,000","37,626,000"
TaxProvision,"20,145,000","2,403,000","-39,314,000","51,559,000","58,036,000","24,907,000","34,658,000","15,815,000","11,626,000","3,591,000"
NetIncomeCommonStockholders,"796,964,000","859,444,000","327,926,000","422,400,000","182,965,000","119,115,000","68,889,000","39,363,000","9,622,000","34,035,000"
	NetIncome,"797,269,000","859,867,000","328,115,000","423,201,000","184,189,000","121,102,000","86,850,000","42,460,000","21,349,000","34,035,000"
		NetIncomeIncludingNoncontrollingInterests,"797,269,000","859,867,000","328,115,000","423,201,000","184,189,000","121,102,000","86,850,000","42,460,000","21,349,000","34,035,000"
			NetIncomeContinuousOperations,"797,269,000","859,867,000","328,115,000","423,201,000","184,189,000","121,102,000","86,850,000","42,460,000","21,349,000","34,035,000"
	OtherunderPreferredStockDividend,,"423,000","189,000","801,000","1,224,000","1,987,000","17,961,000","3,097,000","11,727,000",
AverageDilutionEarnings,"17,000","24,000","15,000","68,000","74,000","149,000","1,635,000","145,000","40,000",
DilutedNIAvailtoComStockholders,"796,981,000","859,468,000","327,941,000","422,468,000","183,039,000","119,264,000","70,524,000","39,508,000","9,662,000","34,035,000"
BasicEPS,,,"4.39","5.85","2.66","1.81","1.42","0.77","0.181","0.663"
DilutedEPS,,,"4.06","5.35","2.5","1.67","1.29","0.73","0.167","0.63"
BasicAverageShares,,,"74,750,000","72,258,000","68,771,000","65,964,000","48,427,000","51,320,294","53,124,310","51,320,294"
