name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,12/31/2011
TotalAssets,"52,209,483,000","50,565,922,000","49,549,737,000","39,921,809,000","25,768,045,000","23,655,855,000","22,836,975,000","18,337,074,000","14,458,719,000","13,196,034,000","8,814,365,000","10,726,410,000","9,785,792,000","8,797,249,000","8,145,686,000","7,503,479,000","7,328,038,000","7,741,838,000","6,508,335,000","6,192,906,000","6,862,794,000","6,033,729,000","5,644,637,000","5,249,826,000","2,597,947,000","2,233,398,000","2,015,919,000","1,808,709,000","1,696,189,000","1,028,712,000","903,152,000","745,426,000"
	CurrentAssets,"28,799,969,000","27,575,251,000","27,186,497,000","18,133,234,000","16,489,629,000","15,780,521,000","15,315,496,000","13,899,592,000","10,129,474,000","9,093,481,000","4,704,970,000","6,494,431,000","5,970,385,000","4,845,645,000","4,272,029,000","3,765,371,000","3,629,880,000","4,248,554,000","4,734,935,000","4,490,441,000","5,425,133,000","5,333,331,000","5,304,357,000","4,967,207,000","2,397,089,000","2,084,178,000","1,883,406,000","1,694,106,000","1,577,787,000","908,906,000","798,118,000","672,797,000"
		CashCashEquivalentsAndShortTermInvestments,"26,286,612,000","24,910,196,000","24,520,341,000","15,246,028,000","14,310,280,000","14,472,990,000","13,752,687,000","12,954,518,000","8,742,086,000","7,692,300,000","3,253,211,000","3,257,384,000","5,331,262,000","4,377,723,000","3,813,850,000","3,309,731,000","2,823,880,000","2,451,413,000","3,021,976,000","3,884,551,000","4,689,604,000","4,922,144,000","4,950,490,000","4,735,407,000","2,162,461,000","1,865,478,000","1,678,219,000","1,505,203,000","1,402,400,000","777,108,000","694,994,000","128,891,000"
			CashAndCashEquivalents,"3,893,538,000","3,979,081,000","11,010,997,000","8,936,229,000","6,004,231,000","4,921,114,000","3,562,329,000","4,086,517,000","2,617,432,000","1,129,024,000","1,349,141,000","2,043,177,000","1,579,743,000","746,454,000","679,139,000","592,980,000","928,934,000","573,794,000","670,893,000","676,232,000","475,028,000","802,365,000","920,426,000","3,691,727,000","729,598,000","882,697,000","506,838,000","294,287,000","504,702,000","777,108,000","694,994,000","128,891,000"
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"777,108,000","694,994,000",
			OtherShortTermInvestments,"22,393,074,000","20,931,115,000","13,509,344,000","6,309,799,000","8,306,049,000","9,551,876,000","10,190,358,000","8,868,001,000","6,124,654,000","6,563,276,000","1,904,070,000","1,214,207,000","3,751,519,000","3,631,269,000","3,134,711,000","2,716,751,000","1,894,946,000","1,877,619,000","2,351,083,000","3,208,319,000","4,214,576,000","4,119,779,000","4,030,064,000","1,043,680,000","1,432,863,000","982,781,000","1,171,381,000","1,210,916,000","897,698,000",,,
		Receivables,"1,481,331,000","1,057,183,000","1,137,694,000","1,655,287,000","1,903,677,000","276,947,000","208,816,000","174,694,000","251,394,000","220,427,000","309,032,000","233,897,000","417,032,000","181,541,000","183,396,000","199,403,000","180,208,000","247,489,000","275,785,000","202,322,000","451,366,000","119,935,000","129,149,000","92,147,000","100,174,000","104,912,000","110,812,000","120,755,000","118,689,000","84,572,000","66,404,000","49,022,000"
			AccountsReceivable,"836,788,000","820,933,000","629,508,000","697,082,000","310,489,000","206,060,000","188,389,000","161,339,000","153,944,000","167,551,000","218,558,000","170,542,000","169,571,000","145,919,000","160,160,000","170,704,000","132,353,000","185,875,000","160,709,000","139,421,000","257,436,000","116,799,000","129,076,000","92,074,000","100,101,000","104,839,000","110,548,000","119,647,000","117,616,000","80,424,000","64,431,000","47,022,000"
				GrossAccountsReceivable,"837,774,000",,,,"318,833,000",,,,"161,300,000",,,,"224,791,000",,,,"191,144,000",,,,"314,778,000",,,,"131,315,000","121,169,000",,,"123,332,000","82,588,000","65,762,000","47,022,000"
				AllowanceForDoubtfulAccountsReceivable,"-986,000",,,,"-8,344,000",,,,"-7,356,000",,,,"-55,220,000",,,,"-58,791,000",,,,"-57,342,000",,,,"-31,214,000","-16,330,000",,,"-5,716,000","-2,164,000","-1,331,000","0"
