name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalRevenue,"43,761,000,000","44,675,000,000","39,815,000,000","38,524,000,000","36,534,000,000","35,653,000,000","35,239,000,000","34,507,000,000","33,315,000,000","32,654,000,000","31,400,000,000","32,013,000,000","29,394,000,000","36,769,000,000","35,796,000,000","35,383,000,000","33,936,000,000","32,149,000,000","29,579,000,000","28,865,000,000","29,134,000,000","26,959,000,000","25,879,000,000","24,949,000,000","24,299,000,000","23,008,000,000","21,464,000,000","20,946,000,000","20,228,000,000"
	TotalPremiumsEarned,"38,999,000,000","38,577,000,000","36,513,000,000","34,678,000,000","33,582,000,000","32,467,000,000","31,086,000,000","29,970,000,000","28,978,000,000","28,180,000,000","25,957,000,000","28,152,000,000","28,862,000,000","29,099,000,000","29,333,000,000","29,088,000,000","28,061,000,000","26,981,000,000","25,654,000,000","24,427,000,000","24,076,000,000","21,735,000,000","20,826,000,000","20,106,000,000","19,702,000,000","18,908,000,000","17,861,000,000","17,402,000,000","16,866,000,000"
		NetPremiumsWritten,,"38,577,000,000","36,513,000,000","34,678,000,000","33,582,000,000","32,467,000,000","31,086,000,000","29,970,000,000","28,978,000,000",,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,,"39,984,000,000","37,819,000,000","35,952,000,000","34,878,000,000","33,805,000,000","32,532,000,000","31,678,000,000","30,742,000,000",,,,,,,,,,,,,,,,,,,,
			CededPremiums,,"-1,407,000,000","-1,306,000,000","-1,274,000,000","-1,296,000,000","-1,338,000,000","-1,446,000,000","-1,708,000,000","-1,764,000,000",,,,,,,,,,,,,,,,,,,,
		IncreaseDecreaseInNetUnearnedPremiumReserves,,,,,,,"-723,000,000",,"-322,000,000",,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"2,885,000,000","3,112,000,000","3,226,000,000","3,251,000,000","2,739,000,000","2,740,000,000","3,214,000,000","3,728,000,000","3,777,000,000","3,971,000,000","4,102,000,000","4,444,000,000","5,622,000,000","6,435,000,000","6,177,000,000","5,746,000,000","5,284,000,000","4,972,000,000","4,854,000,000","4,796,000,000","4,633,000,000","4,112,000,000","3,890,000,000","3,861,000,000","3,813,000,000",,,,
	NetRealizedGainLossOnInvestments,"808,000,000","1,932,000,000","-863,000,000","595,000,000","213,000,000","446,000,000","939,000,000","809,000,000","560,000,000","503,000,000","-827,000,000","-583,000,000","-5,090,000,000","1,235,000,000","286,000,000","549,000,000","591,000,000","196,000,000","-929,000,000","-358,000,000","425,000,000","1,112,000,000","1,163,000,000","982,000,000","784,000,000",,,,
	FeeRevenueAndOtherIncome,"1,069,000,000","1,054,000,000","939,000,000",,,,,,,,"2,168,000,000",,"23,772,000,000",,,,,,,,,,,,,"4,100,000,000","3,603,000,000","3,544,000,000","3,362,000,000"
		OtherIncomeExpense,"1,069,000,000","1,054,000,000","939,000,000",,,,,,,,"2,168,000,000",,"23,772,000,000",,,,,,,,,,,,,"4,100,000,000","3,603,000,000","3,544,000,000","3,362,000,000"
TotalExpenses,"38,631,000,000","38,586,000,000","37,071,000,000","34,533,000,000","33,780,000,000","32,371,000,000","31,003,000,000","31,111,000,000","30,009,000,000","31,694,000,000","30,274,000,000","30,765,000,000","32,419,000,000","30,116,000,000","28,618,000,000","33,295,000,000","29,350,000,000","28,578,000,000","28,039,000,000","27,580,000,000","26,087,000,000","23,052,000,000","21,134,000,000","20,515,000,000","21,630,000,000","2,215,000,000","3,257,000,000","3,361,000,000","3,154,000,000"
	LossAdjustmentExpense,"25,540,000,000","26,015,000,000","24,812,000,000","23,852,000,000","24,078,000,000","22,837,000,000","21,193,000,000","19,828,000,000","20,302,000,000","1,761,000,000","1,815,000,000","1,617,000,000","1,612,000,000","1,589,000,000","1,570,000,000","1,615,000,000","1,618,000,000","1,851,000,000","1,770,000,000","1,671,000,000","1,605,000,000","2,578,000,000","2,415,000,000","2,415,000,000","2,313,000,000",,,,
		NetPolicyholderBenefitsAndClaims,"25,540,000,000","26,015,000,000","24,812,000,000","23,852,000,000","24,078,000,000","22,837,000,000","21,193,000,000","19,828,000,000","20,302,000,000","1,761,000,000","1,815,000,000","1,617,000,000","1,612,000,000","1,589,000,000","1,570,000,000","1,615,000,000","1,618,000,000","1,851,000,000","1,770,000,000","1,671,000,000","1,605,000,000","2,578,000,000","2,415,000,000","2,415,000,000","2,313,000,000",,,,
			PolicyholderBenefitsGross,"26,229,000,000","26,704,000,000","26,430,000,000","25,838,000,000","25,402,000,000","23,658,000,000","22,942,000,000","21,900,000,000","23,018,000,000","1,761,000,000","1,815,000,000","1,617,000,000","1,612,000,000","1,589,000,000","1,570,000,000","1,615,000,000","1,618,000,000","1,851,000,000","1,770,000,000","1,671,000,000","1,605,000,000",,,,,,,,
			PolicyholderBenefitsCeded,,"689,000,000","1,618,000,000","1,986,000,000","1,324,000,000","821,000,000","1,749,000,000","2,072,000,000","2,716,000,000",,,,,,,,,,,,,,,,,,,,
	PolicyholderInterest,"610,000,000","640,000,000","654,000,000","690,000,000","726,000,000","761,000,000","919,000,000","1,278,000,000","1,316,000,000","1,645,000,000","1,807,000,000","2,126,000,000","2,411,000,000","2,681,000,000","2,609,000,000","2,403,000,000","2,001,000,000","1,846,000,000","1,764,000,000","1,733,000,000","1,585,000,000",,,,,,,,
	PolicyAcquisitionExpense,"5,570,000,000","5,533,000,000","5,222,000,000","4,784,000,000","4,550,000,000","4,364,000,000","4,135,000,000","4,002,000,000","3,884,000,000",,,,,,,,,,,,,,,,,"2,143,000,000","3,198,000,000","3,279,000,000","3,154,000,000"
	SellingGeneralAndAdministration,"6,126,000,000","5,804,000,000","5,869,000,000","4,658,000,000","4,106,000,000","4,081,000,000","4,341,000,000","4,387,000,000","4,118,000,000","3,468,000,000",,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"6,126,000,000","5,804,000,000","5,869,000,000","4,658,000,000","4,106,000,000","4,081,000,000","4,341,000,000","4,387,000,000","4,118,000,000",,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"417,000,000","114,000,000","468,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"5,709,000,000","5,690,000,000","5,869,000,000","4,658,000,000","4,106,000,000","4,081,000,000","4,341,000,000","4,387,000,000","4,118,000,000",,,,,,,,,,,,,,,,,,,,
