name,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,10/31/2014
TotalAssets,"52,244,000,000","51,803,000,000","50,760,000,000","51,140,000,000","51,758,000,000","55,493,000,000","57,513,000,000","59,876,000,000","61,619,000,000","61,406,000,000","70,931,000,000","67,470,000,000","76,662,000,000","79,679,000,000","78,821,000,000","78,064,000,000","77,352,000,000","81,270,000,000","68,308,000,000","65,300,000,000","65,071,000,000"
	CurrentAssets,"14,751,000,000","15,143,000,000","15,117,000,000","15,000,000,000","15,432,000,000","17,272,000,000","17,467,000,000","19,792,000,000","20,499,000,000","21,444,000,000","23,143,000,000","20,273,000,000","25,525,000,000","28,917,000,000","28,470,000,000","31,147,000,000","27,756,000,000","31,173,000,000","22,793,000,000","22,311,000,000","22,031,000,000"
		CashCashEquivalentsAndShortTermInvestments,"3,171,000,000","3,753,000,000","3,693,000,000","3,585,000,000","3,781,000,000","4,880,000,000","5,193,000,000","6,986,000,000","7,673,000,000","9,579,000,000","7,757,000,000","8,101,000,000","9,858,000,000","12,987,000,000","10,743,000,000","9,010,000,000","8,505,000,000","9,842,000,000","2,774,000,000","2,719,000,000","2,319,000,000"
			CashAndCashEquivalents,"3,171,000,000","3,753,000,000","3,693,000,000","3,585,000,000","3,781,000,000","4,880,000,000","5,193,000,000","6,986,000,000","7,673,000,000","9,579,000,000","7,757,000,000","8,101,000,000","9,858,000,000","12,987,000,000","10,743,000,000","9,010,000,000","8,505,000,000","9,842,000,000","2,774,000,000","2,719,000,000","2,319,000,000"
		Receivables,"6,455,000,000","7,911,000,000","8,006,000,000","6,596,000,000","6,670,000,000","8,611,000,000","6,341,000,000","6,602,000,000","6,613,000,000","8,455,000,000","9,245,000,000","8,767,000,000","9,404,000,000","11,949,000,000","9,981,000,000","10,724,000,000","10,846,000,000","14,986,000,000","10,761,000,000","10,777,000,000","13,339,000,000"
			AccountsReceivable,"6,275,000,000","6,323,000,000","6,353,000,000","6,445,000,000","6,510,000,000","6,513,000,000","6,341,000,000","6,602,000,000","6,613,000,000","6,270,000,000","6,919,000,000","6,814,000,000","8,333,000,000","8,830,000,000","9,981,000,000","10,724,000,000","10,846,000,000","11,456,000,000","10,761,000,000","10,777,000,000","11,397,000,000"
				GrossAccountsReceivable,,"6,354,000,000",,,,,"6,383,000,000","6,641,000,000","6,648,000,000",,,,,,"10,072,000,000","10,831,000,000","10,955,000,000","11,565,000,000","10,874,000,000","10,890,000,000","11,523,000,000"
				AllowanceForDoubtfulAccountsReceivable,,"-31,000,000",,,,,"-42,000,000","-39,000,000","-35,000,000",,,,,,"-91,000,000","-107,000,000","-109,000,000","-109,000,000","-113,000,000","-113,000,000","-126,000,000"
			TaxesReceivable,,"850,000,000","855,000,000",,,"811,000,000",,,,"819,000,000","761,000,000","673,000,000",,"1,060,000,000",,,,"1,538,000,000",,,"1,165,000,000"
			OtherReceivables,"218,000,000","738,000,000","829,000,000","184,000,000","197,000,000","1,326,000,000",,,,"1,408,000,000","1,611,000,000","1,322,000,000","1,140,000,000","2,143,000,000",,,,"1,992,000,000",,,"777,000,000"
			ReceivablesAdjustmentsAllowances,"-38,000,000",,"-31,000,000","-33,000,000","-37,000,000","-39,000,000",,,,"-42,000,000","-46,000,000","-42,000,000","-69,000,000","-84,000,000",,,,,,,
		Inventory,"2,560,000,000","2,387,000,000","2,216,000,000","2,182,000,000","2,300,000,000","2,447,000,000","2,771,000,000","2,848,000,000","2,431,000,000","2,315,000,000","2,144,000,000","2,041,000,000","1,988,000,000","1,774,000,000","1,848,000,000","2,099,000,000","2,345,000,000","2,198,000,000","2,299,000,000","2,046,000,000","1,884,000,000"
			RawMaterials,"1,315,000,000","1,189,000,000","991,000,000","960,000,000","1,017,000,000","1,173,000,000","1,389,000,000","1,527,000,000","1,120,000,000","1,079,000,000","911,000,000","823,000,000","743,000,000","572,000,000","666,000,000","761,000,000","828,000,000","680,000,000","748,000,000","683,000,000","597,000,000"
			FinishedGoods,"1,245,000,000","1,198,000,000","1,225,000,000","1,222,000,000","1,283,000,000","1,274,000,000","1,382,000,000","1,321,000,000","1,311,000,000","1,236,000,000","1,233,000,000","1,218,000,000","1,245,000,000","1,202,000,000","1,182,000,000","1,338,000,000","1,517,000,000","1,518,000,000","1,551,000,000","1,363,000,000","1,287,000,000"
		PrepaidAssets,,"723,000,000","832,000,000",,,"1,328,000,000",,,,"1,081,000,000","1,365,000,000","1,364,000,000",,"2,207,000,000",,,,"2,937,000,000",,,"2,967,000,000"
		RestrictedCash,,"323,000,000","318,000,000",,,,,,,,"2,632,000,000",,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,"1,210,000,000",,,"1,522,000,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,"1,210,000,000",,,"1,522,000,000"
		AssetsHeldForSaleCurrent,"12,000,000","46,000,000","52,000,000","1,000,000","14,000,000","6,000,000","6,000,000","31,000,000","34,000,000","14,000,000","0","0",,,"906,000,000","4,077,000,000",,,,,
		OtherCurrentAssets,"2,553,000,000","2,428,000,000","2,624,000,000","2,636,000,000","2,667,000,000","3,280,000,000","3,156,000,000","3,325,000,000","3,748,000,000","3,085,000,000","6,102,000,000","3,092,000,000","4,275,000,000","4,324,000,000","4,992,000,000","5,237,000,000","6,060,000,000",,"6,959,000,000","6,769,000,000",
