name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"1,339,541,000","1,339,541,000","1,322,265,000","1,273,627,000","1,189,992,000","1,014,205,000","836,133,000","680,354,000","586,045,000","501,825,000","387,506,000","298,349,000","239,459,000","21,062,000","143,376,000","117,820,000","89,914,000","37,381,000","8,340,000","2,599,000"
	NetInterestIncome,"1,311,593,000","1,311,593,000","1,298,987,000","1,237,586,000","1,147,242,000","977,101,000","801,151,000","648,343,000","549,806,000","459,787,000","344,858,000","262,395,000","195,271,000","146,790,000","122,048,000","99,142,000","66,984,000","37,381,000","20,903,000","4,660,000"
		InterestIncome,"1,911,676,000","1,911,676,000","1,708,920,000","1,470,169,000","1,317,151,000","1,106,948,000","924,273,000","755,150,000","660,556,000","580,516,000","466,530,000","386,135,000","323,464,000","301,605,000","239,657,000","157,536,000","87,206,000","48,344,000","27,394,000","6,344,000"
			InterestIncomeFromLoansAndLease,"1,584,246,000","1,584,246,000","1,400,298,000","1,195,528,000","1,047,289,000","843,667,000","655,623,000","519,274,000","421,345,000","337,167,000","268,918,000","216,143,000","165,743,000",,"97,865,000","50,788,000","23,648,000",,,
				InterestIncomeFromLoans,"1,584,246,000","1,584,246,000","1,400,298,000","1,195,528,000","1,047,289,000","843,667,000","655,623,000","519,274,000","421,345,000","337,167,000","268,918,000","216,143,000","165,743,000",,"97,865,000","50,788,000","23,648,000",,,
			InterestIncomeFromSecurities,"327,430,000","327,430,000","308,622,000","274,641,000","269,862,000","263,281,000","268,650,000","235,876,000","239,211,000","241,532,000","195,797,000","169,992,000","157,721,000","2,767,000","141,792,000","106,748,000","63,319,000",,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,"239,000",,,
			OtherInterestIncome,,,,,,,,,,"1,817,000","1,815,000",,,"298,838,000",,,,,,
		InterestExpense,"600,083,000","600,083,000","409,933,000","232,583,000","169,909,000","129,847,000","123,122,000","106,807,000","110,750,000","120,729,000","121,672,000","123,740,000","128,193,000","154,815,000","117,609,000","58,394,000","20,222,000","10,963,000","6,491,000","1,684,000"
			InterestExpenseForDeposit,"440,730,000","440,730,000","289,248,000","171,829,000","123,285,000","102,905,000","93,494,000","80,209,000","84,163,000","91,100,000","87,963,000","85,398,000","87,750,000",,"80,070,000","42,523,000","15,941,000",,,
			InterestExpenseForShortTermDebt,,,,,,,,,"0","0","1,000","1,000","192,000",,"2,552,000","766,000",,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,"145,183,000","145,183,000","107,201,000","51,059,000","34,767,000","13,057,000","12,663,000","7,381,000","4,455,000","7,305,000","9,698,000","10,420,000","11,384,000",,"12,678,000","6,695,000","3,235,000",,,
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"14,170,000","14,170,000","13,484,000","9,695,000","11,857,000","13,885,000","16,965,000","19,217,000","22,132,000","22,324,000","24,010,000","27,921,000","28,867,000",,"22,309,000","8,410,000","1,046,000",,,
			OtherInterestExpense,,,,,,,,,,,,,"233,618,000",,,,,,,
	NonInterestIncome,"27,948,000","27,948,000","23,278,000","36,041,000","42,750,000","37,104,000","34,982,000","32,011,000","36,239,000","42,038,000","42,648,000","35,954,000","44,188,000","-125,728,000","21,328,000","18,678,000","22,930,000","0","-12,563,000","-2,061,000"
		FeesAndCommissions,"47,430,000","47,430,000","41,673,000","35,856,000","33,320,000","32,933,000","29,899,000","26,666,000","23,713,000","24,080,000","23,182,000","22,852,000","33,690,000",,"9,285,000","7,767,000","6,128,000",,,
			FeesandCommissionIncome,"47,430,000","47,430,000","41,673,000","35,856,000","33,320,000","32,933,000","29,899,000","26,666,000","23,713,000","24,080,000","23,182,000","22,852,000","33,690,000",,"9,285,000","7,767,000","6,128,000",,,
				ServiceChargeOnDepositorAccounts,"32,926,000","32,926,000","28,553,000","23,557,000","21,846,000","21,515,000","19,250,000","17,299,000","15,503,000",,,,,,,,,,,
				OtherCustomerServices,"14,504,000","14,504,000","13,120,000","12,299,000","11,474,000","11,418,000","10,649,000","9,367,000","8,210,000","24,080,000","23,182,000",,,,,,,,,
		TradingGainLoss,,,,,,,,"1,638,000","759,000","319,000","124,000",,,,,,,,,
		GainLossonSaleofAssets,"11,870,000","11,870,000","7,711,000","185,000","9,430,000","4,171,000","5,083,000","6,366,000","13,087,000","16,352,000","17,245,000","12,331,000","8,315,000",,"1,765,000","2,373,000","11,291,000",,,
			GainOnSaleOfSecurity,"1,034,000","1,034,000","973,000","3,330,000","7,284,000","246,000","3,548,000","79,000","3,814,000","12,298,000","11,191,000","8,683,000","8,315,000",,"1,765,000","2,373,000","11,291,000",,,
			GainonSaleofLoans,"10,836,000","10,836,000","6,738,000","9,218,000","6,750,000","7,107,000","5,377,000","6,287,000","9,273,000","4,054,000","6,054,000","3,648,000",,,,,,,,
			GainonSaleofInvestmentProperty,,,,"-12,363,000","-4,604,000","-3,182,000","-3,842,000",,,,,,,,,,,,,
		OtherNonInterestIncome,"-31,352,000","-31,352,000","-26,106,000",,,,,"-2,659,000","-1,320,000","1,287,000","2,097,000","771,000","2,183,000","-125,728,000","10,278,000","8,538,000","5,511,000",,"-12,563,000","-2,061,000"
CreditLossesProvision,"-22,636,000","-22,636,000","-162,524,000","-263,297,000","-155,774,000","-44,914,000","-31,110,000","-41,643,000","-41,427,000","-51,876,000","-46,372,000","-42,715,000","-26,888,000","-12,316,000","-4,145,000","-3,310,000","-3,355,000","-2,030,000","-1,656,000","-783,000"
NonInterestExpense,"529,269,000","529,269,000","486,278,000","435,066,000","376,771,000","341,214,000","293,244,000","247,177,000","218,243,000","182,724,000","164,896,000","149,885,000","123,820,000","99,062,000","81,242,000","81,757,000","58,485,000","43,697,000","37,947,000","28,454,000"
	OccupancyAndEquipment,"42,833,000","42,833,000","34,311,000","32,141,000","29,140,000","26,024,000","22,490,000","19,681,000","17,294,000","16,303,000","14,861,000","14,042,000","13,304,000",,"8,987,000","7,270,000","5,378,000",,,
	ProfessionalExpenseAndContractServicesExpense,"14,689,000","14,689,000","13,698,000","12,021,000","9,671,000","9,460,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"471,747,000","471,747,000","438,269,000","390,904,000","337,960,000","305,730,000","270,754,000","227,496,000","200,949,000","166,421,000","150,035,000","135,843,000","110,516,000","59,464,000","49,231,000","52,127,000","35,636,000",,,
		GeneralAndAdministrativeExpense,"471,747,000","471,747,000","438,269,000","390,904,000","337,960,000","305,730,000","270,754,000","227,496,000","200,949,000","166,421,000","150,035,000","135,843,000","110,516,000","59,464,000","49,231,000","52,127,000","34,597,000",,,
			SalariesAndWages,"335,054,000","335,054,000","302,095,000","273,240,000","246,406,000","230,081,000","196,679,000","163,554,000","146,696,000","114,537,000","99,728,000","86,836,000","73,888,000","59,464,000","49,231,000","52,127,000","34,597,000",,,
			InsuranceAndClaims,"12,432,000","12,432,000","25,256,000","26,996,000","21,265,000","15,885,000",,,,,,,,,,,,,,
			OtherGandA,"124,261,000","124,261,000","110,918,000","90,668,000","70,289,000","59,764,000","74,075,000","63,942,000","54,253,000","51,884,000","50,307,000","49,007,000","36,628,000",,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,"1,039,000",,,
	OtherNonInterestExpense,,,,,,,,,,,,,,"39,598,000","23,024,000","22,360,000","17,471,000",,,
SpecialIncomeCharges,,,,,,,,,,,,"-1,322,000","-16,543,000",,,,,,,
	ImpairmentOfCapitalAssets,,,,,,,,,,,,"1,322,000","16,543,000",,,,,,,
OtherNonOperatingIncomeExpenses,,,,,,,,,,,,"1,322,000","16,543,000",,,,,,,
PretaxIncome,"787,636,000","787,636,000","673,463,000","575,264,000","657,447,000","628,077,000","511,779,000","391,534,000","326,375,000","267,225,000","176,238,000","104,427,000","72,208,000","44,158,000","57,989,000","32,753,000","28,074,000","2,949,000","-12,016,000","-22,761,000"
TaxProvision,"198,710,000","198,710,000","168,121,000","188,055,000","261,123,000","255,012,000","215,075,000","162,790,000","140,892,000","117,699,000","74,187,000","41,701,000","28,849,000","16,879,000","24,629,000","16,884,000","-1,724,000","-412,000","-101,000",
