name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,12/31/2017,09/30/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"17,515,724,000","4,968,839,000","4,574,054,000","4,315,418,000","3,657,411,000","3,679,136,000","3,739,932,000","3,532,434,000","3,442,793,000","3,069,496,000","3,033,630,000","2,763,762,000","2,853,826,000","2,726,232,000","2,763,741,000","1,775,449,000","2,159,305,000","2,140,729,000","1,742,281,000","1,333,705,000","1,369,297,000","1,410,824,000","1,432,326,000","1,340,796,000","1,318,727,000","1,266,003,000","1,302,311,000","1,214,392,000","1,260,374,000","1,223,467,000","1,246,434,000","1,255,878,000","1,228,887,000","1,210,912,000","1,243,056,000","1,570,670,000","935,921,000","923,192,000","943,886,000","832,339,000","791,211,000","749,836,000","892,854,000"
	OperatingRevenue,"17,515,724,000","4,968,839,000","4,574,054,000","4,315,418,000","3,657,411,000","3,679,136,000","3,739,932,000","3,532,434,000","3,442,793,000","3,069,496,000","3,033,630,000","2,763,762,000","2,853,826,000","2,726,232,000","2,763,741,000","1,775,449,000","2,159,305,000","2,140,729,000","1,742,281,000","1,567,207,000","1,291,463,000","1,332,990,000","1,354,492,000","1,696,787,000","1,200,063,000","1,147,339,000","1,183,647,000","1,214,392,000","1,260,374,000","1,223,467,000","1,246,434,000","1,255,878,000","1,228,887,000","1,210,912,000","1,243,056,000","1,570,670,000","935,921,000","923,192,000","943,886,000","832,339,000","791,211,000","749,836,000","892,854,000"
CostOfRevenue,"7,305,905,000","2,041,830,000","2,102,980,000","1,907,589,000","1,253,506,000","1,163,727,000","1,537,279,000","1,413,665,000","1,312,536,000","1,300,435,000","1,198,048,000","1,076,213,000","1,263,137,000","1,248,388,000","1,219,057,000","689,713,000","970,331,000","972,468,000","776,648,000","2,368,682,000","0","0","0","2,452,914,000","0","0","0","2,457,465,000","0","0","0","1,285,703,000","255,072,000","248,759,000","231,572,000","247,062,000","254,340,000","235,129,000","227,342,000","223,737,000","194,590,000","237,036,000","213,952,000"
GrossProfit,"10,209,819,000","2,927,009,000","2,471,074,000","2,407,829,000","2,403,905,000","2,515,409,000","2,202,653,000","2,118,769,000","2,130,257,000","1,769,061,000","1,835,582,000","1,687,549,000","1,590,689,000","1,477,844,000","1,544,684,000","1,085,736,000","1,188,974,000","1,168,261,000","965,633,000","-1,034,977,000","1,369,297,000","1,410,824,000","1,432,326,000","-1,112,118,000","1,318,727,000","1,266,003,000","1,302,311,000","-1,243,073,000","1,260,374,000","1,223,467,000","1,246,434,000","-29,825,000","973,815,000","962,153,000","1,011,484,000","1,323,608,000","681,581,000","688,063,000","716,544,000","608,602,000","596,621,000","512,800,000","678,902,000"
OperatingExpense,"1,929,099,000","585,051,000","537,045,000","405,498,000","401,506,000","436,933,000","341,340,000","339,189,000","371,883,000","326,408,000","310,643,000","267,653,000","273,498,000","258,143,000","268,410,000","369,883,000","10,958,000","144,409,000","106,611,000","-1,702,843,000","716,513,000","721,307,000","677,403,000","-1,732,685,000","729,034,000","709,810,000","695,586,000","-1,759,518,000","716,019,000","696,592,000","720,608,000","-483,075,000","586,408,000","588,462,000","582,292,000","1,846,115,000","48,104,000","311,398,000","294,581,000","278,589,000","278,294,000","266,974,000","279,206,000"
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,"716,513,000","721,307,000","682,768,000",,"729,034,000","709,810,000","695,558,000",,"715,513,000","696,395,000","720,671,000","37,423,000","32,486,000","31,947,000","34,335,000","31,052,000","31,749,000","32,105,000","33,478,000","28,359,000","27,862,000","23,776,000","31,724,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,"716,513,000","721,307,000","682,768,000",,"729,034,000","709,810,000","695,558,000",,,,,,"32,486,000","31,947,000","34,335,000",,"31,749,000","32,105,000","33,478,000",,"27,862,000","23,776,000","31,724,000"
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,486,000","31,947,000","34,335,000",,"31,749,000","32,105,000","33,478,000",,"27,862,000","23,776,000","31,724,000"
			OtherGandA,,,,,,,,,,,,,,,,,,,,,"716,513,000","721,307,000","682,768,000",,"729,034,000","709,810,000","695,558,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"257,793,000","229,823,000","233,309,000","223,170,000","217,798,000","214,691,000","233,327,000","214,125,000","208,798,000","211,057,000","205,923,000","203,057,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"257,793,000","229,823,000","233,309,000","223,170,000","217,798,000","214,691,000","233,327,000","214,125,000","208,798,000","211,057,000","205,923,000","203,057,000"
	OtherTaxes,"1,436,659,000","443,706,000","402,758,000","297,308,000","292,887,000","325,267,000","274,274,000","265,674,000","275,287,000","247,468,000","222,596,000","180,198,000","196,060,000","191,930,000","196,161,000","129,412,000","118,958,000","117,351,000","74,123,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"492,440,000","141,345,000","134,287,000","108,190,000","108,619,000","111,666,000","67,066,000","73,515,000","96,596,000","78,940,000","88,047,000","87,455,000","77,438,000","66,213,000","72,249,000","240,471,000","-108,000,000","27,058,000","32,488,000",,,,"-5,365,000",,,,"28,000","373,061,000","506,000","197,000","-63,000","-778,291,000","324,099,000","323,206,000","324,787,000","1,597,265,000","-198,336,000","45,966,000","46,978,000","41,432,000","39,375,000","37,275,000","44,425,000"
OperatingIncome,"8,280,720,000","2,341,958,000","1,934,029,000","2,002,331,000","2,002,399,000","2,078,476,000","1,861,313,000","1,779,580,000","1,758,374,000","1,442,653,000","1,524,939,000","1,419,896,000","1,317,191,000","1,219,701,000","1,276,274,000","715,853,000","1,178,016,000","1,023,852,000","859,022,000","667,866,000","652,784,000","689,517,000","754,923,000","620,567,000","589,693,000","556,193,000","606,725,000","516,445,000","544,355,000","526,875,000","525,826,000","453,250,000","387,407,000","373,691,000","429,192,000","-522,507,000","633,477,000","376,665,000","421,963,000","330,013,000","318,327,000","245,826,000","399,696,000"
NetNonOperatingInterestIncomeExpense,"-603,621,000","-15,094,000","-183,924,000","-168,861,000","-235,742,000","-82,605,000","-443,772,000","-126,259,000","-31,188,000","-365,305,000","-110,317,000","264,959,000","-101,817,000","-283,479,000","-50,062,000","351,822,000","-408,720,000","-84,133,000","-8,138,000","-3,341,000","-7,432,000","-6,005,000","8,913,000","7,088,000","-3,919,000","-54,663,000","-13,764,000","12,933,000","-18,930,000","3,802,000","1,337,000","1,898,000","38,046,000","6,688,000","-126,000","33,662,000","13,259,000","12,179,000","-1,493,000","78,296,000","18,535,000","-45,253,000","58,201,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,"-6,786,000","9,909,000","10,830,000","41,938,000","34,811,000","33,895,000","26,494,000","29,023,000","27,132,000","34,618,000","31,254,000","29,075,000",,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,,,,,,,,,,"-1,474,000","17,341,000","16,835,000","33,025,000","27,723,000","37,814,000","70,821,000","42,787,000","34,295,000","31,833,000","27,452,000","27,738,000",,,,,,,,,,,,
	TotalOtherFinanceCost,"603,621,000","15,094,000","183,924,000","168,861,000","235,742,000","82,605,000","-13,160,000","126,259,000","31,188,000","127,722,000","110,317,000","-423,420,000","101,817,000","283,479,000","50,062,000","-465,435,000","408,720,000","84,133,000","8,138,000",,,,,,,"10,336,000",,,"21,715,000",,,,,,,,,,,,,,
