name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,10/31/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996
TotalRevenue,"10,178,000,000","2,709,000,000","3,007,000,000","2,170,000,000","2,292,000,000","2,261,000,000","2,383,000,000","1,819,000,000","1,543,000,000","2,242,000,000","1,746,000,000","1,403,000,000","1,241,000,000","1,211,000,000","571,586,000","465,673,000","176,827,000","69,081,000","68,432,000","66,059,000","68,025,000","68,369,000","65,952,000","66,807,000","67,645,000","67,550,000","66,420,000","67,710,000","67,177,000","65,906,000","67,421,000","65,998,000","62,328,000","70,474,000","72,590,000","65,813,000","72,810,000","79,231,000","75,473,000","68,248,000","68,275,000","79,517,000","85,601,000","56,332,000","37,959,000","1,235,000","653,000","4,100,000","1,207,000","1,477,000","638,000","394,000","2,719,000","832,000","799,000","737,000","413,000","422,000","851,000","729,000","689,000","737,000","865,760","465,249","334,646","332,345","290,802","135,245","121,300","110,120","17,498","21,998","37,955","161,604","230,604","395,540","774,832","971,656","241,030","1,571,386","2,104,411","1,403,605","1,200,000","400,000","100,000","100,000","0","100,000","100,000","100,000","100,000","0","100,000","100,000","100,000"
	OperatingRevenue,"9,938,000,000","2,635,000,000","2,938,000,000","2,125,000,000","2,240,000,000","2,209,000,000","2,310,000,000","1,785,000,000","1,507,000,000","2,231,000,000","1,736,000,000","1,397,000,000","1,236,000,000","1,211,000,000","571,402,000","465,524,000","176,357,000","68,255,000","68,250,000","65,655,000","67,199,000","68,243,000","65,595,000","66,484,000","67,165,000","67,076,000","65,985,000","67,325,000","66,841,000","65,906,000","67,415,000","65,998,000","62,328,000","70,474,000","72,590,000","65,813,000","72,810,000","79,231,000","75,473,000","68,248,000","68,275,000","79,517,000","85,601,000","56,332,000","37,959,000","1,235,000","653,000","4,100,000","1,207,000","1,477,000","638,000","394,000","2,719,000","832,000","799,000","737,000","413,000","422,000","851,000","729,000","689,000","737,000","865,760","465,249","334,646","332,345","290,802","135,245","121,300","110,120","17,498","21,998","37,955","161,604","230,604","395,540","774,832","971,656","241,030","1,571,386","2,104,411","1,403,605","1,200,000","400,000","100,000","100,000","0","100,000","100,000","100,000","100,000","0","100,000","100,000","100,000"
CostOfRevenue,"5,472,000,000","957,000,000","1,554,000,000","1,480,000,000","1,481,000,000","1,358,000,000","1,635,000,000","1,140,000,000","984,000,000","1,287,000,000","1,084,000,000","916,000,000","782,000,000","694,000,000","297,318,000","301,555,000","118,490,000","38,596,000","23,119,000","21,638,000","20,154,000","17,769,000","15,296,000","16,189,000","17,298,000","15,475,000","15,676,000","15,246,000","15,173,000","15,113,000","-24,828,000","25,777,000","32,081,000","33,376,000","17,945,000","22,119,000","21,346,000","18,769,000","16,251,000","14,071,000","11,063,000","13,630,000","11,106,000","8,252,000","9,419,000","8,774,000","9,801,000","5,805,000","138,000","163,000","8,491,000","10,812,000","1,962,000","2,514,000","-5,610,000","3,645,000","645,000","9,202,000","7,189,000","4,205,000","5,384,000","5,480,000",,,,,,,,,"0",,"24,702","65,336","144,236","68,943","86,553","120,510","72,410","120,494","114,008","81,725",,,,,,,,,,,,,
GrossProfit,"4,706,000,000","1,752,000,000","1,453,000,000","690,000,000","811,000,000","903,000,000","748,000,000","679,000,000","559,000,000","955,000,000","662,000,000","487,000,000","459,000,000","517,000,000","274,268,000","164,118,000","58,337,000","30,485,000","45,313,000","44,421,000","47,871,000","50,600,000","50,656,000","50,618,000","50,347,000","52,075,000","50,744,000","52,464,000","52,004,000","50,793,000","92,249,000","40,221,000","30,247,000","37,098,000","54,645,000","43,694,000","51,464,000","60,462,000","59,222,000","54,177,000","57,212,000","65,887,000","74,495,000","48,080,000","28,540,000","-7,539,000","-9,148,000","-1,705,000","1,069,000","1,314,000","-7,853,000","-10,418,000","757,000","-1,682,000","6,409,000","-2,908,000","-232,000","-8,780,000","-6,338,000","-3,476,000","-4,695,000","-4,743,000",,,,,,,,,"17,498",,"13,253","96,268","86,368","326,597","688,279","851,146","168,620","1,450,892","1,990,403","1,321,880",,,,,,,,,,,,,
OperatingExpense,"1,579,000,000","401,000,000","421,000,000","382,000,000","375,000,000","295,000,000","232,000,000","246,000,000","223,000,000","208,000,000","217,000,000","181,000,000","185,000,000","135,000,000","139,208,000","122,601,000","134,862,000","110,878,000","195,117,000","96,495,000","143,451,000","111,598,000","153,119,000","111,976,000","112,482,000","99,687,000","130,122,000","98,340,000","188,282,000","118,247,000","108,164,000","94,738,000","36,368,000","36,377,000","46,879,000","33,339,000","35,003,000","36,896,000","32,719,000","31,794,000","32,522,000","34,841,000","32,157,000","29,826,000","28,217,000","29,859,000","54,236,000","26,437,000","25,972,000","39,679,000","38,815,000","36,856,000","40,981,000","28,090,000","-9,666,000","12,940,000","8,679,000","13,787,000","35,039,000","7,205,000","5,486,000","5,518,000","12,283,639","5,970,381","7,661,997","7,549,983","4,335,913","3,059,791","1,307,049","972,864","-481,053","1,500,000","1,649,921","1,414,769","-4,589,069","4,882,425","1,729,270","1,353,520","503,670","1,536,928","1,636,478","1,632,966","1,800,000","800,000","400,000","300,000","500,000","500,000","400,000",,"300,000","1,000,000","400,000","200,000","100,000"
	SellingGeneralAndAdministration,"330,000,000","85,000,000","97,000,000","72,000,000","77,000,000","73,000,000","75,000,000","74,000,000","73,000,000","67,000,000","77,000,000","64,000,000","61,000,000","54,000,000","62,693,000","59,418,000","87,634,000","72,902,000","160,657,000","97,332,000","107,856,000","58,017,000","107,926,000","74,255,000","67,720,000","73,808,000","106,541,000","57,096,000","135,076,000","85,798,000","31,845,000","79,427,000","20,816,000","19,993,000","31,311,000","16,227,000","19,378,000","21,510,000","17,353,000","15,145,000","16,910,000","19,217,000","17,054,000","15,557,000","15,422,000","17,797,000","42,702,000","29,933,000","19,780,000","30,679,000","36,945,000","34,904,000","28,936,000","21,261,000","32,442,000","12,044,000","12,444,000","13,181,000","12,031,000","6,523,000","5,600,000","4,990,000","9,120,779","5,689,824","7,494,217","7,337,180","4,158,239","2,958,788","1,215,738","914,172","-774,946","1,366,090","1,584,140","1,300,078","812,231","1,157,574","1,296,536","1,025,622","29,718","635,844","566,088","707,009","700,000","500,000","400,000","300,000","500,000","500,000","400,000",,"300,000","1,000,000","400,000","200,000","100,000"
		GeneralAndAdministrativeExpense,"330,000,000","85,000,000","97,000,000","72,000,000","77,000,000","73,000,000","75,000,000","74,000,000","73,000,000","67,000,000","77,000,000","64,000,000","61,000,000","54,000,000","62,693,000","59,418,000","61,409,000","47,924,000","160,657,000","97,332,000","107,856,000","58,017,000","107,926,000","74,255,000","67,720,000","73,808,000","106,541,000","57,096,000","135,076,000","85,798,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"330,000,000","85,000,000","97,000,000","72,000,000","77,000,000","73,000,000","75,000,000","74,000,000","73,000,000","67,000,000","77,000,000","64,000,000","61,000,000","54,000,000","62,693,000","59,418,000","61,409,000","47,924,000","160,657,000","97,332,000","107,856,000","58,017,000","107,926,000","74,255,000","67,720,000","73,808,000","106,541,000","57,096,000","135,076,000","85,798,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,"26,225,000","24,978,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,566,000","6,716,000",,,"10,532,000","5,754,000",,,,,,,,,,,,,,,,,,,,,,"2,966,603",,,,,,,,,,,,,,,,,,,
