name,ttm,12/31/2019,12/31/2018
MarketCap,"17,496,668,866","19,694,237,055","21,588,170,671"
EnterpriseValue,"14,359,036,392","19,694,237,055","21,588,170,671"
PeRatio,"30.955","65.075","45.861"
ForwardPeRatio,"27.027","24.331",
PegRatio,"1.175","1.058",
PsRatio,"4.848","5.854","8.66"
PbRatio,"2.835","3.317","4.358"
EnterprisesValueRevenueRatio,"0.565","0.774","1.137"
EnterprisesValueEBITDARatio,"2.768","3.797","5.794"
