name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
	NetPPE,"535,519,000","330,033,000","317,335,000","325,849,000","306,490,000","273,833,000","277,849,000","265,920,000","262,735,000","265,465,000","280,260,000","277,458,000","258,786,000","188,041,000","179,627,000","172,643,000","175,901,000","151,715,000","141,425,000","132,066,000","119,200,000","82,000,000","65,500,000","47,500,000","47,700,000","43,200,000","31,300,000","27,200,000","20,700,000"
		GrossPPE,"779,050,000","645,017,000","755,824,000","733,160,000","674,870,000","617,707,000","594,698,000","565,343,000","530,622,000","501,912,000","487,813,000","484,614,000",,,,,,,,,,,,,,,,,
			LandAndImprovements,"69,960,000","70,575,000","71,348,000","70,552,000","72,612,000","71,371,000","75,859,000","73,616,000","73,638,000","72,643,000","76,900,000","71,306,000",,,,,,,,,,,,,,,,,
			BuildingsAndImprovements,"421,952,000","266,733,000","249,139,000","250,311,000","225,181,000","225,008,000","221,326,000","244,524,000","232,440,000","226,234,000","226,724,000","221,035,000",,,,,,,,,,,,,,,,,
			MachineryFurnitureEquipment,"233,640,000","280,195,000","411,989,000","375,554,000","337,191,000","299,523,000","266,486,000","247,203,000","224,544,000","203,035,000","122,842,000","136,785,000",,,,,,,,,,,,,,,,,
			ConstructionInProgress,"53,498,000","27,514,000","23,348,000","36,743,000","39,886,000","21,805,000","31,027,000",,,,,,,,,,,,,,,,,,,,,,
			OtherProperties,,,,,,,,,,,"61,347,000","55,488,000",,,,,,,,,,,,,,,,,
		AccumulatedDepreciation,"-243,531,000","-314,984,000","-438,489,000","-407,311,000","-368,380,000","-343,874,000","-316,849,000","-299,423,000","-267,887,000","-236,447,000","-207,553,000","-207,156,000",,,,,,,,,,,,,,,,,
	GoodwillAndOtherIntangibleAssets,"1,375,248,000","1,443,366,000","728,955,000","742,903,000","647,975,000","584,132,000","537,656,000","490,983,000","432,603,000","465,127,000","428,063,000","403,961,000","438,362,000","324,006,000","317,119,000","288,272,000","299,236,000","197,868,000","152,076,000","109,045,000","125,000,000","95,900,000","67,800,000","28,300,000","37,100,000","43,800,000","33,400,000","23,700,000",
		Goodwill,"1,048,091,000","1,049,263,000","447,430,000","448,899,000","385,461,000","377,780,000","359,759,000","361,979,000","335,601,000","335,601,000",,,,,,,,,,,,,,,,,,,
		OtherIntangibleAssets,"327,157,000","394,103,000","281,525,000","294,004,000","262,514,000","206,352,000","177,897,000","129,004,000","97,002,000","129,526,000","428,063,000","403,961,000",,,,,,,,,,,,,,,,,
	OtherAssets,"547,995,000","446,891,000","359,092,000","353,017,000","249,112,000","195,252,000","359,894,000","388,355,000","503,763,000","241,334,000","385,267,000","385,815,000","1,112,725,000","878,433,000","802,529,000","590,767,000","286,938,000","208,790,000","222,180,000","209,250,000","251,700,000","157,900,000","146,700,000","117,900,000","74,400,000","64,900,000","44,700,000","27,700,000","37,100,000"
TotalLiabilitiesNetMinorityInterest,"37,308,102,000","33,577,459,000","28,753,826,000","29,465,924,000","28,208,489,000","25,753,492,000","23,960,459,000","25,154,950,000","22,707,294,000","21,397,725,000","21,291,457,000","20,888,391,000","18,904,480,000","16,338,602,000","14,713,753,000","12,996,920,000","12,353,113,000","11,151,488,000","10,301,905,000","9,044,758,000","7,816,800,000","6,304,200,000","4,964,100,000","4,260,800,000","3,920,300,000","3,661,400,000","2,724,300,000","2,496,500,000","1,986,800,000"
