name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005
			NotesReceivable,"173,179,000","87,745,000","85,090,000","49,554,000","52,980,000","58,994,000","40,845,000","37,715,000","35,353,000","22,497,000","12,198,000","20,840,000","32,691,000","23,359,000","116,899,000","126,173,000","122,215,000","116,197,000","111,721,000","105,527,000","17,089,000","135,154,000","145,981,000","172,830,000","76,701,000","75,788,000","78,243,000","78,338,000","77,840,000","78,163,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"184,686,000","355,502,000","275,498,000","215,654,000","147,038,000","220,289,000","220,883,000","166,029,000","196,821,000","351,925,000","225,783,000","177,792,000","157,627,000","188,759,000","156,852,000","124,577,000","125,824,000","174,841,000","185,057,000","129,575,000","86,762,000","75,819,000","131,947,000","125,901,000",,"27,223,000","16,143,000","14,694,000","16,104,000","17,327,000",,,,,,,,,,,,,,,,,,,,,,,,,"158,303,000","196,620,000"
		Inventory,"0","3,157,000","6,431,000","57,220,000","20,256,000","30,971,000","54,995,000","37,120,000","37,034,000","38,972,000","42,267,000","46,892,000","59,386,000","52,673,000","61,424,000","146,689,000","200,186,000","260,269,000","304,079,000","292,358,000","311,174,000","315,532,000","273,901,000","270,744,000",,,"0","0","0","0","6,506,000","7,167,000","8,864,000","13,953,000","16,470,000","132,796,000","124,985,000","121,085,000","119,097,000","125,057,000","97,988,000","102,538,000","108,444,000",,"94,148,000","102,879,000","89,746,000","88,627,000","83,469,000","90,726,000","75,861,000","83,064,000","72,115,000","82,811,000","85,475,000",
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,953,000",,,,"119,440,000",,,,"98,060,000",,,,,,,,,,,,,,
			WorkInProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"1,645,000",,,,"2,323,000",,,,"13,218,000",,,,"6,718,000",,,,"3,971,000",,
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,155,000",,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,661,000",,,,"84,008,000",,,,"78,840,000",,
		PrepaidAssets,"3,108,703,000","2,954,478,000","2,930,971,000","2,961,367,000","2,984,323,000","3,024,520,000","3,316,091,000","3,162,686,000","3,366,727,000","2,930,303,000","3,331,830,000","3,407,280,000","3,215,459,000","3,265,979,000","3,281,197,000","3,320,032,000","3,304,803,000","3,300,426,000","3,436,012,000","3,416,378,000","3,368,191,000","3,486,514,000","3,428,345,000","3,424,994,000","248,201,000","229,872,000","191,579,000","170,219,000","71,015,000","58,284,000",,,,,,,,,,,,"7,532,000",,,,,"385,257,000","328,172,000","284,368,000","247,839,000","225,232,000","186,179,000","150,621,000","166,630,000","129,496,000","115,657,000"
		RestrictedCash,"188,671,000","178,951,000","159,694,000","187,401,000","226,099,000","211,017,000","232,800,000","259,971,000","299,965,000","364,456,000","331,964,000","309,264,000","359,221,000","329,180,000","424,998,000","422,774,000","398,222,000","419,447,000","384,657,000","379,509,000","333,985,000","717,388,000","673,307,000","798,909,000","266,993,000","272,787,000","275,244,000","247,374,000","288,293,000","279,843,000","310,309,000","290,835,000","303,652,000","237,325,000","210,631,000","191,026,000","210,134,000","222,464,000","233,954,000","246,462,000","214,485,000","140,746,000","121,067,000","128,184,000","144,954,000","113,397,000","167,843,000","183,808,000","127,150,000","95,072,000","60,814,000","178,116,000","99,459,000","112,277,000","125,065,000","157,730,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,560,000",,,,,,,,,,,,,,,,,,
