name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
MarketCap,"1,885,319,771","2,539,369,794","2,247,662,899","2,825,306,976","2,569,759,521","3,460,555,614","1,199,416,039","364,618,346","275,236,209"
EnterpriseValue,"5,485,319,771","6,155,369,794","5,027,662,899","6,937,306,976","6,967,634,521","5,869,991,614","1,462,374,039","531,448,346","453,339,209"
PeRatio,"8.053","30.909","9.96",,"19.207","22.506","28.298","20.183","59.905"
ForwardPeRatio,"11.173","11.696","11.186","14.706","19.724","14.793",,,
PsRatio,"0.114","0.156","0.151","0.164","0.171","0.466","0.224","0.166","0.129"
PbRatio,"2.487","3.333","2.378","1.326","0.94","1.421","1.962","9.072","7.027"
EnterprisesValueRevenueRatio,"0.331","0.371","0.296","0.592","0.444","0.347","0.272","0.118","0.106"
EnterprisesValueEBITDARatio,"8.478","9.514","12.115","18.066","99.538","11.321","14.054","10.734","14.828"
