name,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013
		OtherCurrentLiabilities,"182,900,000","108,300,000","140,800,000","100,700,000","86,600,000","78,300,000","79,200,000","118,100,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,472,700,000","1,721,600,000","1,352,100,000","1,246,700,000","1,528,000,000","1,436,600,000","1,221,500,000","1,407,300,000"
		LongTermProvisions,"112,800,000","111,600,000","96,800,000","85,500,000","89,400,000","69,100,000","66,400,000","69,900,000"
		LongTermDebtAndCapitalLeaseObligation,"1,836,800,000","1,197,100,000","970,800,000","901,000,000","1,131,800,000","1,024,200,000","883,500,000","1,042,400,000"
			LongTermDebt,"1,627,500,000","1,197,100,000","970,800,000","901,000,000","1,131,800,000","1,024,200,000","883,500,000","1,042,400,000"
			LongTermCapitalLeaseObligation,"209,300,000",,,,,,,
		NonCurrentDeferredLiabilities,"154,600,000","130,600,000","6,000,000","16,800,000","28,800,000","17,700,000","14,000,000","3,800,000"
			NonCurrentDeferredTaxesLiabilities,"14,300,000","900,000","6,000,000","16,800,000","28,800,000","17,700,000","14,000,000","3,800,000"
			NonCurrentDeferredRevenue,"140,300,000","129,700,000",,,,,,
		EmployeeBenefits,"301,200,000","237,100,000","224,800,000","194,100,000","224,100,000","267,500,000","203,000,000","235,900,000"
		OtherNonCurrentLiabilities,"67,300,000","45,200,000","53,700,000","49,300,000","53,900,000","58,100,000","54,600,000","55,300,000"
TotalEquityGrossMinorityInterest,"-589,700,000","-322,800,000","-57,400,000","165,500,000","-14,100,000","-26,900,000","-40,800,000","20,600,000"
	StockholdersEquity,"-593,800,000","-328,000,000","-62,600,000","160,900,000","-19,300,000","-29,600,000","-43,100,000","18,300,000"
		CapitalStock,"190,600,000","217,800,000","234,800,000","303,000,000","331,300,000","361,900,000","360,400,000","52,200,000"
			CommonStock,"190,600,000","217,800,000","234,800,000","303,000,000","331,300,000","361,900,000","360,400,000","52,200,000"
		AdditionalPaidInCapital,"-32,600,000","38,300,000","-7,800,000","26,900,000","21,500,000","16,400,000","11,300,000","19,000,000"
		RetainedEarnings,"-757,000,000","-596,300,000","-312,000,000","-169,100,000","-393,600,000","-418,800,000","-428,700,000","-28,000,000"
