name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
MarketCap,"20,837,123,171","24,554,645,124","15,943,197,287","17,271,360,103","13,131,886,903","13,203,349,418","13,631,062,414","9,663,217,290","4,347,679,686","2,428,963,761","2,462,939,185"
EnterpriseValue,"24,602,414,171","27,968,577,124","19,491,681,287","20,973,087,103","16,662,571,903","15,869,247,418","14,681,718,414","10,451,500,290","5,009,421,686","2,588,403,761","2,673,548,185"
PeRatio,"25.024","27.041","21.747","32.782","32.835","31.692","38.929","35.942","21.29","19.523","23.075"
ForwardPeRatio,"18.797","21.186","15.456","19.802","17.637","20.79","22.523","23.202","16.502","12.166",
PegRatio,"1.043","1.176","0.859","1.101","0.979","1.154","1.601","1.651","1.175","1.014",
PsRatio,"8.458","9.999","7.17","8.418","7.694","8.084","11.805","11.798","6.501","5.094","5.755"
PbRatio,"5.614","6.296","4.476","5.038","4.089","4.457","8.745","8.232","4.758","3.21","3.935"
EnterprisesValueRevenueRatio,"9.288","10.559","8.01","9.323","9.098","9.319","12.241","11.675","7.08","4.982","6.163"
EnterprisesValueEBITDARatio,"16.341","18.577","12.845","15.868","17.458","18.486","21.638","21.21","13.328","9.939","13.006"
