name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalAssets,"8,270,692,652","7,086,734,967","8,320,039,681","7,954,009,456","7,107,189,550"
	CurrentAssets,"8,255,490,485","7,071,518,360","8,304,801,676","7,938,736,540","7,091,887,174"
		CashCashEquivalentsAndShortTermInvestments,"2,339,128,187","2,419,993,448","2,211,001,049","2,151,220,275","2,079,933,827"
			CashAndCashEquivalents,"766,430,471","669,130,849","285,365,662","129,113,343","126,855,518"
				CashFinancial,"766,430,471","669,130,849","285,365,662","129,113,343","126,855,518"
			OtherShortTermInvestments,"1,572,697,716","1,750,862,599","1,925,635,387","2,022,106,932","1,953,078,309"
		Receivables,"4,470,101,966","3,512,417,936","5,249,086,320","4,637,309,911","4,368,709,134"
			AccountsReceivable,"346,379,574","170,601,380","463,374,203","155,891,904","158,518,003"
			LoansReceivable,"1,200,980,200","1,376,205,180","1,535,679,600","1,590,806,560","1,538,254,651"
			TaxesReceivable,,"0",,,"0"
			DuefromRelatedPartiesCurrent,"2,921,838,772","1,955,619,999","3,250,032,517","2,890,611,447","2,666,345,634"
			OtherReceivables,"903,420","9,991,377",,,"5,590,846"
		PrepaidAssets,"35,537,552","43,520,476","55,268,095","45,494,003","27,753,013"
		RestrictedCash,,"287,968,500","594,978,693","1,104,712,351","615,491,200"
		HedgingAssetsCurrent,"1,165,220,000","807,618,000","194,467,519",,
		OtherCurrentAssets,"245,502,780",,,,
	TotalNonCurrentAssets,"15,202,167","15,216,607","15,238,005","15,272,916","15,302,376"
		NetPPE,"30,997","45,437","66,835","101,746","131,206"
			GrossPPE,"4,084,724","4,084,724",,,"4,071,014"
				MachineryFurnitureEquipment,"4,084,724","4,084,724",,,"4,071,014"
			AccumulatedDepreciation,"-4,053,727","-4,039,287",,,"-3,939,808"
		GoodwillAndOtherIntangibleAssets,"15,171,170","15,171,170","15,171,170","15,171,170","15,171,170"
			OtherIntangibleAssets,"15,171,170","15,171,170","15,171,170","15,171,170","15,171,170"
TotalLiabilitiesNetMinorityInterest,"1,442,197,708","1,130,195,325","4,178,176,855","4,545,398,024","3,912,787,450"
	CurrentLiabilities,"1,082,474,631","887,281,748","3,982,732,537","4,363,477,687","3,749,430,273"
		PayablesAndAccruedExpenses,"652,778,030","149,574,084","3,083,997,522","2,943,419,286","2,785,427,651"
			Payables,"586,734,599","82,801,344","3,083,997,522","2,943,419,286","2,760,415,781"
				AccountsPayable,"492,039,336","6,725,012","225,637,280","70,206,150","15,310,871"
				TotalTaxPayable,"94,695,263","76,076,332","59,059,713","48,778,333","25,109,794"
				DuetoRelatedPartiesCurrent,"0","0","2,705,668,793","2,719,749,017","2,719,995,116"
				OtherPayable,,"182,275,576","93,631,736","104,685,786",
			CurrentAccruedExpenses,"66,043,431","66,772,740",,,"25,011,870"
		CurrentDebtAndCapitalLeaseObligation,"317,722,438","321,775,552","321,997,236","323,844,879","321,999,549"
			CurrentDebt,"317,722,438","321,775,552","321,997,236","323,844,879","321,999,549"
				OtherCurrentBorrowings,"317,722,438","321,775,552","321,997,236","323,844,879","321,999,549"
		CurrentDeferredLiabilities,"111,974,163","115,502,836",,,"55,111,818"
			CurrentDeferredRevenue,"111,974,163","115,502,836",,,"55,111,818"
		OtherCurrentLiabilities,,"300,429,276","576,737,779","1,096,213,522","586,891,255"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"359,723,077","242,913,577","195,444,318","181,920,337","163,357,177"
		LongTermDebtAndCapitalLeaseObligation,"95,995,690",,,,
			LongTermDebt,"95,995,690",,,,
		NonCurrentDeferredLiabilities,"242,913,577","242,913,577","195,444,318","181,920,337","163,357,177"
			NonCurrentDeferredTaxesLiabilities,"242,913,577","242,913,577","195,444,318","181,920,337","163,357,177"
		DerivativeProductLiabilities,"20,813,810",,,,
TotalEquityGrossMinorityInterest,"6,828,494,944","5,956,539,642","4,141,862,826","3,408,611,432","3,194,402,100"
	StockholdersEquity,"6,828,494,944","5,956,539,642","4,141,862,826","3,408,611,432","2,651,801,803"
		CapitalStock,"192,702","183,438","164,757","156,998","156,998"
			CommonStock,"192,702","183,438","164,757","156,998","156,998"
		RetainedEarnings,"2,277,115,014","2,187,553,203","1,880,091,528","1,660,419,883","1,338,842,129"
		GainsLossesNotAffectingRetainedEarnings,"4,551,187,228","3,768,803,001","2,261,606,541","1,748,034,551","1,312,802,676"
			OtherEquityAdjustments,"4,551,187,228","3,768,803,001","2,261,606,541","1,748,034,551","1,312,802,676"
	MinorityInterest,"0","0","0","0","542,600,297"
TotalCapitalization,"6,924,490,634","5,956,539,642","4,141,862,826","3,408,611,432","2,651,801,803"
CommonStockEquity,"6,828,494,944","5,956,539,642","4,141,862,826","3,408,611,432","2,651,801,803"
NetTangibleAssets,"6,813,323,774","5,941,368,472","4,126,691,656","3,393,440,262","2,636,630,633"
WorkingCapital,"7,173,015,854","6,184,236,612","4,322,069,139","3,575,258,853","3,342,456,901"
InvestedCapital,"7,242,213,072","6,278,315,194","4,463,860,062","3,732,456,311","2,973,801,352"
TangibleBookValue,"6,813,323,774","5,941,368,472","4,126,691,656","3,393,440,262","2,636,630,633"
TotalDebt,"413,718,128","321,775,552","321,997,236","323,844,879","321,999,549"
NetDebt,,,"36,631,574","194,731,536","195,144,031"
ShareIssued,"245,611,479","233,777,160","230,663,205","230,663,205","230,663,205"
OrdinarySharesNumber,"245,611,479","233,777,160","230,663,205","230,663,205","230,663,205"
