name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"14,424,000,000","16,059,000,000","15,663,000,000","16,519,000,000","16,676,000,000","14,102,000,000","16,431,000,000","17,442,000,000","18,750,000,000","19,521,000,000","20,280,000,000","21,034,000,000","20,567,000,000","21,193,000,000","36,381,000,000","34,888,000,000","33,969,000,000","33,854,000,000","34,928,000,000","36,687,000,000","38,393,000,000","41,042,000,000","45,833,000,000","48,986,000,000","47,478,000,000","49,747,000,000","53,051,000,000","52,547,000,000","54,291,000,000","55,360,000,000","53,490,000,000","52,543,000,000","56,121,000,000","54,039,000,000","55,999,344,000","58,872,861,000","22,280,714,000","19,927,895,000","21,045,746,000","20,943,344,000","15,031,891,000","14,732,541,000"
	CurrentAssets,"2,736,000,000","2,499,000,000","2,553,000,000","3,332,000,000","3,454,000,000","3,110,000,000","4,749,000,000","4,819,000,000","3,406,000,000","4,408,000,000","4,744,000,000","5,021,000,000","3,873,000,000","4,550,000,000","21,937,000,000","21,235,000,000","20,557,000,000","20,520,000,000","20,867,000,000","7,286,000,000","9,593,000,000","9,632,000,000","9,597,000,000","9,719,000,000","8,696,000,000","8,636,000,000","9,734,000,000","9,412,000,000","10,365,000,000","9,540,000,000","8,537,000,000","7,937,000,000","8,964,000,000","7,871,000,000","10,666,282,000","10,551,379,000","3,897,591,000","2,289,474,000","3,781,102,000","3,710,961,000","2,884,877,000","2,966,608,000"
		CashCashEquivalentsAndShortTermInvestments,"1,847,000,000","1,332,000,000","1,387,000,000","2,093,000,000","1,994,000,000","1,896,000,000","3,442,000,000","1,424,000,000","1,502,000,000","2,434,000,000","2,810,000,000","3,114,000,000","2,426,000,000","3,132,000,000","3,865,000,000","3,829,000,000","3,215,000,000","4,009,000,000","4,273,000,000","4,428,000,000","6,800,000,000","6,608,000,000","6,012,000,000","5,803,000,000","5,000,000,000","4,894,000,000","5,353,000,000","4,938,000,000","5,964,000,000","5,219,000,000","4,102,000,000","2,883,000,000","4,364,000,000","2,325,000,000","3,561,075,000","3,253,357,000","2,450,026,000","885,125,000","2,467,002,000","2,352,548,000","1,529,605,000","1,446,949,000"
			CashAndCashEquivalents,"1,486,000,000","1,250,000,000","1,317,000,000","1,331,000,000","1,265,000,000","1,808,000,000","3,370,000,000","1,343,000,000","1,393,000,000","1,304,000,000","2,565,000,000","2,873,000,000","2,172,000,000","2,942,000,000","3,684,000,000","3,635,000,000","2,928,000,000","3,614,000,000","3,930,000,000","4,220,000,000","6,499,000,000","6,342,000,000","5,852,000,000","5,505,000,000","4,540,000,000","4,454,000,000","4,890,000,000","4,551,000,000","5,564,000,000","4,949,000,000","3,241,000,000","2,883,000,000","4,033,000,000","2,325,000,000","3,442,697,000","3,190,214,000","1,857,617,000","885,125,000","2,467,002,000","2,352,548,000","1,529,605,000","1,446,949,000"
				CashFinancial,"858,000,000","932,000,000","859,000,000","757,000,000","843,000,000","756,000,000","936,000,000","867,000,000","895,000,000","840,000,000","1,250,000,000","1,704,000,000","1,468,000,000","1,707,000,000","2,371,000,000",,,"1,644,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"628,000,000","318,000,000","458,000,000","574,000,000","422,000,000","1,052,000,000","2,434,000,000","476,000,000","498,000,000","464,000,000","1,315,000,000","1,169,000,000","704,000,000","1,235,000,000","1,313,000,000",,,"1,970,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"361,000,000","82,000,000","70,000,000","762,000,000","729,000,000","88,000,000","72,000,000","81,000,000","109,000,000","1,130,000,000","245,000,000","241,000,000","254,000,000","190,000,000","181,000,000","194,000,000","287,000,000","395,000,000","343,000,000","208,000,000","301,000,000","266,000,000","160,000,000","298,000,000","460,000,000","440,000,000","463,000,000","387,000,000","400,000,000","270,000,000","861,000,000","0","331,000,000",,"118,378,000","63,143,000","592,409,000",,,,,
		Receivables,"443,000,000","802,000,000","661,000,000","706,000,000","959,000,000","838,000,000","743,000,000","814,000,000","891,000,000","1,156,000,000","906,000,000","893,000,000","896,000,000","1,033,000,000","1,058,000,000","1,044,000,000","983,000,000","1,065,000,000","920,000,000","2,092,000,000","2,026,000,000","2,266,000,000","2,450,000,000","2,652,000,000","2,561,000,000","2,709,000,000","2,747,000,000","2,719,000,000","2,686,000,000","2,913,000,000","3,032,000,000","2,773,000,000","2,882,000,000","3,166,000,000","2,829,127,000","2,982,746,000","819,862,000","731,431,000","638,665,000","662,755,000","636,859,000","738,990,000"
			AccountsReceivable,"422,000,000","610,000,000","621,000,000","654,000,000","845,000,000","545,000,000","628,000,000","643,000,000","676,000,000","619,000,000","745,000,000","689,000,000","710,000,000","609,000,000","875,000,000","790,000,000","700,000,000","542,000,000","712,000,000","1,850,000,000","1,778,000,000","1,847,000,000","2,286,000,000","2,364,000,000","2,302,000,000","2,283,000,000","2,467,000,000","2,480,000,000","2,466,000,000","2,495,000,000","2,732,000,000","2,551,000,000","2,649,000,000","2,665,000,000","2,608,432,000","2,725,943,000","549,112,000","506,322,000","525,659,000","516,272,000","449,599,000","392,365,000"
				GrossAccountsReceivable,,"786,000,000",,,,"716,000,000",,,,"788,000,000",,,,"769,000,000",,,,"724,000,000",,,,"2,429,000,000",,,,"3,017,000,000",,,,"3,147,000,000",,,,"3,445,000,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-176,000,000",,,,"-171,000,000",,,,"-169,000,000",,,,"-160,000,000",,,,"-182,000,000",,,,"-582,000,000",,,,"-734,000,000",,,,"-652,000,000",,,,"-780,000,000",,,,,,,,
