name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
MarketCap,"16,969,044,061","16,890,036,178","38,104,761,546","30,861,711,268","33,679,843,705","38,979,436,423","33,130,132,111","39,380,872,906","40,271,907,584","43,530,492,883","44,700,475,149","42,895,736,568","38,194,642,922","35,770,899,903","32,622,874,997","27,472,566,648","26,925,899,931","37,204,891,599","52,009,776,826","55,124,474,914","35,759,973,105","32,294,095,972","39,078,161,983","37,801,110,994","34,722,676,022","32,309,234,716","34,583,524,147","35,990,153,987","25,535,176,937","25,419,117,600","31,834,599,886","25,251,936,902","20,456,446,330","26,318,807,027","18,864,249,285","21,114,894,789","36,868,342,704","38,603,760,663","36,010,208,609","42,984,451,207","35,070,506,779","38,374,670,227","47,826,314,506","35,989,513,037","29,927,379,701","52,947,038,464","67,562,193,458","77,214,890,563"
PeRatio,"5.032","4.245","14.84","9.08","17.859","18.571","35.527","43.056","24.305","41.714",,,,,,,,,,,,"681.389",,,,,,,,,,,,,,,,,,,,,,,,"6.796","7.973","6.126"
ForwardPeRatio,"18.248","5.263","10.695","8.651","7.949","11.249","7.937","8.811","10.02","10.526","11.779","11.198","15.291","13.812","15.385","9.794","10.395","7.686","16.234","23.923","30.395","21.142","26.882","25.84","28.902","28.329","26.455","22.422","16.863","14.881","19.455","15.361","13.158",,,,,,,,,,,,,,,
PegRatio,"0.44",,"0.664","0.537","0.239","0.338","0.238","0.245","0.278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.132","1.11","2.282","1.823","2.07","2.258","2.044","2.402","2.435","2.467","2.544","2.367","2.318","2.246","2.213","1.782","1.623","1.968","2.67","2.689","2.929","2.658","2.479","2.28","1.966","1.811","2.228","2.271","1.758","1.753","2.1","1.118","0.878","0.547","0.707","0.782","1.426","1.451","1.343","1.142","0.982","0.802","0.732","0.388","0.962","0.774","0.908","1.396"
PbRatio,"0.31","0.305","0.673","0.543","0.587","0.66","0.554","0.63","0.641","0.652","0.698","0.655","0.613","0.593","0.496","0.399","0.388","0.483","0.605","0.648","0.401","0.382","0.399","0.385","0.341","0.331","0.315","0.321","0.236","0.247","0.297","0.21","0.176","0.22","0.158","0.175","0.307","0.32","0.311","0.36","0.303","0.328","0.527","0.393","0.347","0.481","0.551","0.734"
