name,ttm,03/31/2017,03/31/2016,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2011,06/30/2011,03/31/2011,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalRevenue,"99,281,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"15,820,901,860.6","14,921,923,632","9,114,249,459.6","13,152,569,675.7","14,931,327,273","11,724,789,099.9","5,489,200,896","12,458,806,822.5","11,724,586,030.5","11,110,669,078.11","5,521,770,030","11,061,250,447.5","9,315,641,034","8,764,093,903.04","4,734,844,745","9,823,360,794.06","6,994,656,441.81","8,153,884,292.67","3,081,249,105.84","7,615,387,967.88","8,337,446,584.8","7,916,689,318.29","1,569,158,240.64","3,908,013,258.52","6,191,518,438.6","5,508,779,251.2","2,778,571,218.5","5,696,356,640","5,654,765,676.3","5,072,275,738.45"
	OperatingRevenue,"99,281,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"15,820,901,860.6","14,921,923,632","9,114,249,459.6","13,152,569,675.7","14,931,327,273","11,724,789,099.9","5,489,200,896","12,458,806,822.5","11,724,586,030.5","11,110,669,078.11","5,521,770,030","11,061,250,447.5","9,315,641,034","8,764,093,903.04","4,734,844,745","9,823,360,794.06","6,994,656,441.81","8,153,884,292.67","3,081,249,105.84","7,615,387,967.88","8,337,446,584.8","7,916,689,318.29","1,569,158,240.64","3,908,013,258.52","6,191,518,438.6","5,508,779,251.2","2,778,571,218.5","5,696,356,640","5,654,765,676.3","5,072,275,738.45"
PretaxIncome,"13,381,078,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,136,309,773.38","2,892,069,403","3,445,140,576.3","1,997,701,687.8","3,372,928,540","2,456,483,907.9","4,357,957,956","-237,026,569.5","2,113,791,885.03","2,480,782,982.64","2,780,564,400","2,243,063,542.5","2,107,872,018","1,579,714,021.34","1,689,824,703.9","1,127,278,973.9","362,227,185.84","785,185,190.04","760,141,532.72","655,602,780.56","811,674,876","457,961,097.93","576,545,799.4","198,238,519.58","528,478,219.2","568,003,277.6","1,068,379,738","537,649,569.5","734,982,960.6","484,427,192.29"
TaxProvision,"-7,792,129,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,135,394,535.82","793,293,483","1,336,410,801.7","193,231,754.8","1,071,670,947.8","754,048,518.9","1,284,986,295","-457,303,322","502,401,380.25","937,825,847.97","535,803,135","809,119,327.5","702,568,062","373,162,390.16","367,637,393.5","275,338,482.74","-235,875,250.41","178,146,614.03","44,744,122.36","108,463,929.28","231,303,577.44","-53,140,429.32","-281,778,426.4","132,822,314.2","66,078,989.6","159,390,234.4","316,470,120.5","34,028,421","136,606,221.9","63,513,724.89"
NetIncomeCommonStockholders,"21,023,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,915,237.56","2,098,775,920","2,108,729,774.6","1,804,469,933","2,301,257,592.2","1,702,435,389","3,072,971,661","220,276,752.5","1,611,390,504.78","1,542,957,134.67","2,244,761,265","1,433,944,215","1,405,303,956","1,206,551,631.18","1,322,187,310.4","851,940,491.16","598,102,436.25","607,038,576.01","715,397,410.36","547,138,851.28","580,371,298.56","511,101,527.25","886,642,785.8","65,416,205.38","462,399,229.6","408,613,043.2","751,909,617.5","503,621,148.5","598,376,738.7","420,913,467.4"
	NetIncome,"21,023,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,915,237.56","2,098,775,920","2,108,729,774.6","1,804,469,933","2,301,257,592.2","1,702,435,389","3,072,971,661","220,276,752.5","1,611,390,504.78","1,542,957,134.67","2,244,761,265","1,433,944,215","1,405,303,956","1,206,551,631.18","1,322,187,310.4","851,940,491.16","598,102,436.25","607,038,576.01","715,397,410.36","547,138,851.28","580,371,298.56","511,101,527.25","886,642,785.8","65,416,205.38","462,399,229.6","408,613,043.2","751,909,617.5","503,621,148.5","598,376,738.7","420,913,467.4"
		NetIncomeIncludingNoncontrollingInterests,"21,173,207,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,004,627,487.04","2,102,360,764","2,138,608,007.6","1,807,478,327.2","2,302,707,899.4","1,705,496,353.8","3,080,422,105","222,684,728","1,611,144,448.41","1,548,279,008.28","2,252,424,487.5","1,436,245,222.5","1,407,273,651","1,206,273,964.7","1,330,091,481.2","854,588,471.5","600,653,722.98","607,406,318.48","717,555,961.08","548,706,683.84","582,161,622.24","514,711,281.66","904,672,017.82","47,922,261.04","472,979,662.6","405,446,970.4","753,704,183.5","523,065,960.5","592,605,051.9","423,894,631.09"
			NetIncomeContinuousOperations,"21,173,207,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,915,237.56","2,098,775,920","2,108,729,774.6","1,804,469,933","2,301,257,592.2","1,702,435,389","3,072,971,661","220,276,752.5","1,611,390,504.78","1,542,957,134.67","2,244,761,265","1,433,944,215","1,405,303,956","1,206,551,631.18","1,322,187,310.4","851,940,491.16","598,102,436.25","607,038,576.01","715,397,410.36","547,138,851.28","580,371,298.56","511,101,527.25","858,324,225.8","65,416,205.38","462,399,229.6","408,613,043.2","751,909,617.5","503,621,148.5","598,376,738.7","420,913,467.4"
		MinorityInterests,"-150,184,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,712,249.48","-3,584,844","-29,878,233","-3,008,394.2","-1,450,307.2","-3,060,964.8","-7,450,444","-2,407,975.5","246,056.37","-5,321,873.61","-7,663,222.5","-2,301,007.5","-1,969,695","277,666.48","-7,904,170.8","-2,647,980.34","-2,551,286.73","-367,742.47","-2,158,550.72","-1,567,832.56","-1,790,323.68","-3,609,754.41","-18,029,232.02","17,493,944.34","-10,580,433","3,166,072.8","-1,794,566","-19,444,812","5,771,686.8","-2,981,163.69"
	OtherunderPreferredStockDividend,"10,987,300,000"
DilutedNIAvailtoComStockholders,"21,023,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,915,237.56","2,098,775,920","2,108,729,774.6","1,804,469,933","2,301,257,592.2","1,702,435,389","3,072,971,661","220,276,752.5","1,611,390,504.78","1,542,957,134.67","2,244,761,265","1,433,944,215","1,405,303,956","1,206,551,631.18","1,322,187,310.4","851,940,491.16","598,102,436.25","607,038,576.01","715,397,410.36","547,138,851.28","580,371,298.56","511,101,527.25","886,642,785.8","65,416,205.38","462,399,229.6","408,613,043.2","751,909,617.5","503,621,148.5","598,376,738.7","420,913,467.4"
BasicEPS,,"0.669","0.645","0.733","0.695","0.682","0.647","0.627","2.087","2.004","0.503","0.489","0.482","0.473","0.467","0.463","0.457","0.47","0.463","0.451","0.419","0.37","0.359","0.305","0.388","0.29","0.322","0.231","0.221",,"0.218","0.273","0.202",,"0.027","0.196","0.187",,"0.174","0.17","0.146",,"0.102","0.075","0.076",,"0.067","0.071","0.066",,"0.01","0.063","0.057",,"0.069","0.082","0.057"
