name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005
TotalAssets,"26,677,544,000","26,698,766,000","26,725,163,000","27,064,116,000","26,545,640,000","26,229,008,000","25,518,495,000","25,364,892,000","25,225,677,000","25,129,244,000","24,782,003,000","24,316,096,000","23,888,673,000","23,174,675,000","22,535,977,000","21,718,298,000","21,189,970,000","20,888,684,000","20,331,326,000","20,037,416,000","19,365,407,000","18,773,639,000","17,833,298,000","17,456,810,000","16,426,309,000","15,623,070,000","13,807,387,000","13,346,378,000","12,840,724,000","12,722,574,000","11,480,129,000","11,481,572,000","11,262,646,000","10,701,585,000","10,511,363,000","10,206,203,000","9,824,841,000","9,602,131,000","8,951,286,000","8,866,139,000","8,748,765,000","8,215,688,000","8,136,432,000","7,366,833,000","7,183,786,000","7,037,019,000","6,419,142,000","5,919,030,000","5,873,469,000","5,828,129,000","5,601,088,000","5,484,316,000","5,447,019,000","5,626,707,000","5,497,246,000","5,232,861,000","5,126,280,000","5,719,455,000","4,992,753,000"
TotalLiabilitiesNetMinorityInterest,"24,082,786,000","24,076,816,000","23,793,796,000","24,137,241,000","23,589,810,000","23,223,678,000","22,483,274,000","22,273,909,000","22,133,596,000","22,003,793,000","21,626,871,000","21,161,177,000","20,730,181,000","20,051,430,000","19,420,888,000","18,586,046,000","17,974,243,000","17,577,037,000","16,969,142,000","16,628,962,000","15,807,387,000","15,195,784,000","14,285,144,000","13,937,857,000","15,030,552,000","14,288,743,000","12,680,739,000","12,250,245,000","11,754,016,000","11,655,757,000","10,431,515,000","10,456,667,000","10,266,320,000","9,734,145,000","9,559,711,000","9,266,549,000","8,905,747,000","8,700,852,000","8,054,808,000","7,976,423,000","7,880,536,000","7,382,269,000","7,317,149,000","6,599,974,000","6,429,987,000","6,200,548,000","5,590,604,000","5,099,145,000","5,055,649,000","4,995,746,000","4,757,723,000","4,620,082,000","4,545,724,000","4,711,617,000","4,597,059,000","4,339,885,000","4,238,894,000","5,309,115,000","4,584,926,000"
TotalEquityGrossMinorityInterest,"2,594,758,000","2,621,950,000","2,931,367,000","2,926,875,000","2,955,830,000","3,005,330,000","3,035,221,000","3,090,983,000","3,092,081,000","3,125,451,000","3,155,132,000","3,154,919,000","3,158,492,000","3,123,245,000","3,115,089,000","3,132,252,000","3,215,727,000","3,311,647,000","3,362,184,000","3,408,454,000","3,558,020,000","3,577,855,000","3,548,154,000","3,518,953,000","1,395,757,000","1,334,327,000","1,126,648,000","1,096,133,000","1,086,708,000","1,066,817,000","1,048,614,000","1,024,905,000","996,326,000","967,440,000","951,652,000","939,654,000","919,094,000","901,279,000","896,478,000","889,716,000","868,229,000","833,419,000","819,283,000","766,859,000","753,799,000","836,471,000","828,538,000","819,885,000","817,820,000","832,383,000","843,365,000","864,234,000","901,295,000","915,090,000","900,187,000","892,976,000","887,386,000","410,340,000","407,827,000"
	StockholdersEquity,"2,594,758,000","2,621,950,000","2,931,367,000","2,926,875,000","2,955,830,000","3,005,330,000","3,035,221,000","3,090,983,000","3,092,081,000","3,125,451,000","3,155,132,000","3,154,919,000","3,158,492,000","3,123,245,000","3,115,089,000","3,132,252,000","3,215,727,000","3,311,647,000","3,362,184,000","3,408,454,000","3,558,020,000","3,577,855,000","3,548,154,000","3,518,953,000","1,395,757,000","1,334,327,000","1,126,648,000","1,096,133,000","1,086,708,000","1,066,817,000","1,048,614,000","1,024,905,000","996,326,000","967,440,000","951,652,000","939,654,000","919,094,000","901,279,000","896,478,000","889,716,000","868,229,000","833,419,000","819,283,000","766,859,000","753,799,000","836,471,000","828,538,000","819,885,000","817,820,000","832,383,000","843,365,000","864,234,000","901,295,000","915,090,000","900,187,000","892,976,000","887,386,000","410,340,000","407,827,000"
		CapitalStock,,"3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,589,000","3,582,000","603,000","596,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000",,
			PreferredStock,,"0","0","0","0","0","0",,"0",,"0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
			CommonStock,,"3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,591,000","3,589,000","3,582,000","603,000","596,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000","532,000",,
		AdditionalPaidInCapital,,"2,822,364,000","2,817,668,000","2,809,851,000","2,810,832,000","2,805,423,000","2,800,352,000","2,794,507,000","2,789,102,000","2,784,390,000","2,776,971,000","2,770,881,000","2,763,217,000","2,765,732,000","2,780,312,000","2,788,796,000","2,785,702,000","2,785,503,000","2,779,175,000","2,775,479,000","2,862,440,000","2,863,108,000","2,861,597,000","2,856,902,000","749,042,000","721,689,000","538,164,000","536,507,000","535,256,000","533,858,000","532,886,000","531,747,000","530,519,000","536,408,000","534,700,000","532,294,000","529,826,000","533,720,000","531,416,000","528,874,000","526,275,000","526,778,000","524,463,000","522,126,000","518,457,000","517,372,000","514,613,000","511,850,000","511,026,000","508,501,000","506,016,000","503,511,000","500,962,000","525,105,000","524,962,000","524,751,000","524,751,000","25,000","25,000"
		RetainedEarnings,,"1,245,793,000","1,227,294,000","1,206,873,000","1,191,020,000","1,173,897,000","1,172,615,000","1,145,129,000","1,115,153,000","1,084,177,000","1,111,856,000","1,090,467,000","1,075,909,000","1,053,750,000","1,009,727,000","984,958,000","959,790,000","936,040,000","908,740,000","877,211,000","842,772,000","836,639,000","807,879,000","783,123,000","762,266,000","734,563,000","712,671,000","688,985,000","666,507,000","644,923,000","623,498,000","604,604,000","580,631,000","561,596,000","540,514,000","520,547,000","500,924,000","483,269,000","466,394,000","449,836,000","434,560,000","410,122,000","399,672,000","415,612,000","408,534,000","491,735,000","486,244,000","465,575,000","460,860,000","456,903,000","453,751,000","450,850,000","447,856,000","436,148,000","426,233,000","419,953,000","412,241,000","417,180,000","411,219,000"
		TreasuryStock,,"1,352,910,000","1,017,276,000","995,265,000","958,425,000","884,750,000","818,209,000","729,944,000","692,516,000","633,110,000","632,394,000","602,846,000","576,973,000","587,974,000","575,187,000","542,407,000","425,991,000","295,412,000","223,040,000","136,872,000","43,491,000","11,131,000","11,592,000","11,592,000","64,370,000","67,046,000","70,676,000","74,057,000","75,026,000","73,692,000","73,817,000","73,817,000","73,787,000","87,375,000","80,309,000","63,628,000","57,340,000","62,033,000","51,523,000","38,183,000","38,183,000","44,274,000","42,447,000","128,121,000","128,121,000","128,977,000","128,977,000","116,774,000","113,349,000","89,236,000","70,973,000","48,349,000","4,769,000",,,,,,
