name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"1,317,200,000","1,329,700,000","1,009,000,000","882,600,000","1,308,600,000","1,212,301,000","812,934,000","779,325,000","732,383,000","696,854,000","585,345,000","439,701,000","430,566,000","410,735,000","376,671,000","408,801,000","463,113,000","424,233,000","439,191,000","427,038,000","362,016,000","258,400,000","147,300,000","118,900,000","107,900,000","92,400,000","65,900,000","55,300,000"
	OperatingRevenue,"1,242,600,000","1,257,100,000","975,700,000","863,400,000","1,291,700,000","1,195,665,000","794,651,000","756,283,000","708,479,000","696,854,000","585,345,000","439,701,000","430,566,000","410,735,000","376,671,000","408,801,000","463,113,000","424,233,000","439,191,000","427,038,000","362,016,000","258,400,000","147,300,000","118,900,000","107,900,000","92,400,000","65,900,000","55,300,000"
CostOfRevenue,"1,000,300,000","986,700,000","719,400,000","629,800,000","993,000,000","922,901,000","634,032,000","606,154,000","568,808,000","551,315,000","491,345,000","354,014,000","344,278,000","326,404,000","301,607,000","342,229,000","383,463,000","345,933,000","353,696,000","345,638,000","270,320,000","196,100,000","113,300,000","90,800,000","82,000,000","69,300,000","32,900,000","27,900,000"
GrossProfit,"316,900,000","343,000,000","289,600,000","252,800,000","315,600,000","289,400,000","178,902,000","173,171,000","163,575,000","145,539,000","94,000,000","85,687,000","86,288,000","84,331,000","75,064,000","66,572,000","79,650,000","78,300,000","85,495,000","81,400,000","91,696,000","62,300,000","34,000,000","28,100,000","25,900,000","23,100,000","33,000,000","27,400,000"
OperatingExpense,"121,200,000","122,000,000","90,500,000","83,900,000","141,700,000","144,040,000","85,114,000","83,446,000","73,829,000","64,529,000","62,434,000","50,954,000","33,509,000","50,695,000","25,482,000","45,685,000","48,961,000","34,021,000","39,973,000","32,063,000","45,118,000","29,800,000","16,800,000","13,700,000","13,500,000","12,900,000","23,600,000","19,000,000"
	SellingGeneralAndAdministration,"121,200,000","122,000,000","90,500,000","83,100,000","100,200,000","90,787,000","85,114,000","83,446,000","73,829,000","64,529,000","62,434,000","50,954,000","50,709,000","51,479,000","44,713,000","45,685,000","48,961,000","34,021,000","35,473,000","32,063,000","27,832,000","18,500,000","11,100,000","9,100,000","8,700,000","8,400,000","20,300,000","16,600,000"
		GeneralAndAdministrativeExpense,,,,,,,"85,114,000","83,446,000","73,829,000",,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,"85,114,000","83,446,000","73,829,000",,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,"39,000,000","39,399,000",,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"17,286,000","11,300,000","5,700,000","4,600,000","4,800,000","4,500,000","3,300,000","2,400,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"17,286,000","11,300,000","5,700,000","4,600,000","4,800,000","4,500,000","3,300,000","2,400,000"
	OtherOperatingExpenses,,,,"800,000","2,500,000","13,854,000",,,,,,,"-17,200,000","-784,000","-19,231,000",,,,"4,500,000",,,,,,,,,
OperatingIncome,"195,700,000","221,000,000","199,100,000","168,900,000","173,900,000","145,360,000","93,788,000","89,725,000","89,746,000","81,010,000","31,566,000","34,733,000","52,779,000","33,636,000","49,582,000","20,887,000","30,689,000","44,279,000","45,522,000","49,337,000","46,578,000","32,500,000","17,200,000","14,400,000","12,400,000","10,200,000","9,400,000","8,400,000"
NetNonOperatingInterestIncomeExpense,"-76,500,000","-70,900,000","-40,100,000","-49,300,000","-43,700,000","-28,553,000","-20,822,000","-6,119,000","-4,441,000","-8,456,000","-5,994,000","-761,000",,,,,,,,,,,,,,,,
