name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalAssets,"7,710,000,000","7,222,000,000","6,860,000,000","6,474,000,000","4,657,000,000","4,864,000,000","4,896,000,000","4,679,000,000","4,393,000,000","3,735,000,000","2,535,000,000"
	CurrentAssets,"2,450,000,000","2,094,000,000","2,071,000,000","1,839,000,000","2,005,000,000","2,102,000,000","2,009,000,000","1,874,000,000","1,642,000,000","1,336,000,000","1,088,000,000"
		CashCashEquivalentsAndShortTermInvestments,"724,000,000","296,000,000","414,000,000","308,000,000","680,000,000","663,000,000","533,000,000","504,000,000","318,000,000","131,000,000","81,000,000"
			CashAndCashEquivalents,"724,000,000","296,000,000","414,000,000","308,000,000","680,000,000","663,000,000","533,000,000","504,000,000","318,000,000","131,000,000","81,000,000"
		Receivables,"1,036,000,000","1,031,000,000","956,000,000","843,000,000","749,000,000","771,000,000","817,000,000","776,000,000","756,000,000","690,000,000","599,000,000"
			AccountsReceivable,"1,036,000,000","1,031,000,000","956,000,000","843,000,000","749,000,000","771,000,000","817,000,000","776,000,000","793,000,000","671,000,000","573,000,000"
				GrossAccountsReceivable,"1,071,000,000","1,066,000,000","991,000,000","873,000,000","782,000,000","805,000,000","848,000,000","810,000,000",,"703,000,000","603,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-35,000,000","-35,000,000","-35,000,000","-30,000,000","-33,000,000","-34,000,000","-31,000,000","-34,000,000",,"-32,000,000","-30,000,000"
			OtherReceivables,,,,,,,,,,"19,000,000","26,000,000"
			ReceivablesAdjustmentsAllowances,,,,,,,,,"-37,000,000",,
		Inventory,"539,000,000","595,000,000","524,000,000","522,000,000","433,000,000","486,000,000","475,000,000","443,000,000","426,000,000","389,000,000","301,000,000"
			RawMaterials,"280,000,000","302,000,000","259,000,000","260,000,000","188,000,000","250,000,000","255,000,000","231,000,000","227,000,000","191,000,000","153,000,000"
			WorkInProcess,"47,000,000","45,000,000","42,000,000","42,000,000","32,000,000","42,000,000","31,000,000","30,000,000","31,000,000","32,000,000","20,000,000"
			FinishedGoods,"212,000,000","248,000,000","223,000,000","220,000,000","213,000,000","194,000,000","189,000,000","182,000,000","168,000,000","166,000,000","128,000,000"
		PrepaidAssets,"151,000,000","172,000,000","177,000,000","166,000,000","143,000,000","144,000,000","143,000,000","110,000,000","97,000,000","79,000,000","53,000,000"
		CurrentDeferredAssets,,,,,,"38,000,000","41,000,000","41,000,000","45,000,000",,
			CurrentDeferredTaxesAssets,,,,,,"38,000,000","41,000,000","41,000,000","45,000,000",,
		OtherCurrentAssets,,,,,,,,,,"47,000,000","54,000,000"
	TotalNonCurrentAssets,"5,260,000,000","5,128,000,000","4,789,000,000","4,635,000,000","2,652,000,000","2,762,000,000","2,887,000,000","2,805,000,000","2,751,000,000","2,399,000,000","1,447,000,000"
		NetPPE,"658,000,000","656,000,000","643,000,000","616,000,000","439,000,000","461,000,000","488,000,000","487,000,000","463,000,000","454,000,000","334,000,000"
			GrossPPE,"1,702,000,000","1,632,000,000","1,576,000,000","1,438,000,000","1,239,000,000","1,265,000,000","1,304,000,000","1,240,000,000","1,147,000,000","1,063,000,000","915,000,000"
				Properties,"339,000,000","326,000,000","329,000,000","299,000,000","240,000,000","252,000,000","263,000,000","255,000,000","0","0","0"
				LandAndImprovements,,,,,,,,,"237,000,000","20,000,000","20,000,000"
				BuildingsAndImprovements,,,,,,,,,,"200,000,000","185,000,000"
				MachineryFurnitureEquipment,"1,235,000,000","1,177,000,000","1,141,000,000","1,044,000,000","934,000,000","949,000,000","970,000,000","926,000,000","836,000,000","777,000,000","669,000,000"
				OtherProperties,"24,000,000","22,000,000","21,000,000","19,000,000","19,000,000","23,000,000","22,000,000","19,000,000","21,000,000","15,000,000","11,000,000"
				ConstructionInProgress,"104,000,000","107,000,000","85,000,000","76,000,000","46,000,000","41,000,000","49,000,000","40,000,000","53,000,000","51,000,000","30,000,000"
			AccumulatedDepreciation,"-1,044,000,000","-976,000,000","-933,000,000","-822,000,000","-800,000,000","-804,000,000","-816,000,000","-753,000,000","-684,000,000","-609,000,000","-581,000,000"
		GoodwillAndOtherIntangibleAssets,"4,013,000,000","4,208,000,000","3,936,000,000","3,833,000,000","2,019,000,000","2,066,000,000","2,206,000,000","2,131,000,000","2,115,000,000","1,853,000,000","1,061,000,000"
