name,12/31/2019,12/31/2018,12/31/2017,12/31/2016
TotalAssets,"9,203,619,000","5,951,042,000","2,443,547,000","1,180,824,000"
	CashCashEquivalentsAndFederalFundsSold,"317,159,000","127,603,000","20,071,000","209,353,000"
		CashAndCashEquivalents,"317,159,000","127,603,000","17,433,000","209,353,000"
			CashFinancial,"317,159,000","127,603,000","17,433,000",
		RestrictedCashAndInvestments,,,"2,638,000",
	Receivables,"69,357,000","37,780,000","32,387,000","3,349,000"
	PrepaidAssets,"17,878,000","1,590,000","1,333,000","723,000"
TotalLiabilitiesNetMinorityInterest,"3,226,336,000","2,686,197,000","970,968,000","500,299,000"
	LongTermDebtAndCapitalLeaseObligation,"3,038,232,000","2,567,717,000","919,432,000","491,906,000"
TotalEquityGrossMinorityInterest,"5,977,283,000","3,264,845,000","1,472,579,000","680,525,000"
	StockholdersEquity,"5,977,283,000","3,264,845,000","1,472,579,000","680,525,000"
		CapitalStock,"3,921,000","2,162,000","980,000","458,000"
			CommonStock,"3,921,000","2,162,000","980,000","458,000"
		RetainedEarnings,"17,752,000","-8,479,000","1,197,000","7,882,000"
		AdditionalPaidInCapital,"5,955,610,000","3,271,162,000","1,451,886,000","664,554,000"
TotalCapitalization,"9,015,515,000","5,832,562,000","2,392,011,000","1,172,431,000"
CommonStockEquity,"5,977,283,000","3,264,845,000","1,472,579,000","680,525,000"
NetTangibleAssets,"5,977,283,000","3,264,845,000","1,472,579,000","680,525,000"
InvestedCapital,"9,015,515,000","5,832,562,000","2,392,011,000","1,172,431,000"
TangibleBookValue,"5,977,283,000","3,264,845,000","1,472,579,000","680,525,000"
TotalDebt,"3,038,232,000","2,567,717,000","919,432,000","491,906,000"
NetDebt,"2,721,073,000","2,440,114,000","901,999,000","282,553,000"
ShareIssued,"392,129,619","383,693,244","383,693,244","383,693,244"
OrdinarySharesNumber,"392,129,619","383,693,244","383,693,244","383,693,244"
