name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
MarketCap,"4,969,159,294","12,727,839,434","15,112,307,099","19,874,815,644","19,303,285,167","8,570,599,658","14,270,131,056","20,890,312,310","13,640,088,006","12,040,046,746","10,028,549,170","7,289,947,721","3,503,376,229","4,412,416,711"
EnterpriseValue,"10,253,838,294","18,260,992,434","21,054,737,099","26,478,599,644","26,116,127,167","15,664,473,658","19,951,763,056","25,240,627,310","17,144,080,006","12,893,991,746","10,946,624,170","7,799,249,721","3,874,547,229","4,568,655,711"
PeRatio,"6.543","16.411","9.218",,,,"14.287","24.302","18.057","23.996","59.444","102.119","10.958","153.706"
ForwardPeRatio,"6.998","14.124","14.245","52.91","138.889",,"20.161","15.699","17.575","21.692","27.701",,"43.29",
PegRatio,"0.771","1.455","1.497",,,,"0.806","0.628","0.732","2.504","2.41",,"3.614",
PsRatio,"1.095","2.796","3.285","7.489","9.51","2.498","3.268","6.249","5.195","7.201","11.908","11.611","3.652","7.545"
PbRatio,"0.737","1.943","2.545","4.647","4.53","1.786","2.943","5.468","4.311","4.989","8.301","7.076","3.693","7.081"
EnterprisesValueRevenueRatio,"2.214","3.942","4.471","8.484","13.188","5.845","4.155","7.305","6.664","7.816","13.046","12.455","4.034","7.847"
EnterprisesValueEBITDARatio,"3.13","5.574","6.105","12.482","18.685","10.276","6.207","10.457","8.613","11.154","19.716","22.796","5.713","11.302"
