name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004
TotalRevenue,"928,258,000","928,258,000","809,120,000","757,956,000","602,546,000","562,179,000","533,893,000","502,621,000","460,263,000","474,122,000","616,251,000","582,461,000","539,264,000","459,867,000","352,286,000","202,809,000","162,173,000","86,805,000"
	OperatingRevenue,"928,258,000","928,258,000","809,120,000","757,956,000","602,546,000","562,179,000","533,893,000","502,621,000","460,263,000","474,122,000","616,251,000","582,461,000","539,264,000","459,867,000","352,286,000","202,809,000","162,173,000","86,805,000"
CostOfRevenue,"583,920,000","583,920,000","518,236,000","503,130,000","403,324,000","365,360,000","342,715,000","327,680,000","311,006,000","340,951,000","491,847,000","439,248,000","410,316,000","363,322,000","271,174,000","145,730,000","140,254,000",
GrossProfit,"344,338,000","344,338,000","290,884,000","254,826,000","199,222,000","196,819,000","191,178,000","174,941,000","149,257,000","133,171,000","124,404,000","143,213,000","128,948,000","96,545,000","81,112,000","57,079,000","21,919,000",
OperatingExpense,"197,047,000","197,047,000","175,617,000","174,898,000","144,912,000","134,944,000","125,278,000","114,409,000","113,632,000","107,156,000","112,353,000","118,653,000","100,434,000","91,032,000","54,357,000","37,203,000","26,303,000",
	SellingGeneralAndAdministration,"181,394,000","181,394,000","159,834,000","159,393,000","124,373,000","109,746,000","101,086,000","90,620,000","87,282,000","77,680,000","80,543,000","86,231,000","75,522,000","72,699,000","52,461,000","36,347,000","24,887,000",
		GeneralAndAdministrativeExpense,"128,592,000","128,592,000","115,261,000","117,626,000","91,742,000","78,902,000","70,013,000","55,385,000","57,091,000","51,344,000",,,,,,,,
			OtherGandA,"128,592,000","128,592,000","115,261,000","117,626,000","91,742,000","78,902,000","70,013,000","55,385,000","57,091,000","51,344,000",,,,,,,,
		SellingAndMarketingExpense,"52,802,000","52,802,000","44,573,000","41,767,000","32,631,000","30,844,000","31,073,000","35,235,000","30,191,000","26,336,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"15,653,000","15,653,000","15,783,000","15,505,000","20,539,000","25,198,000","24,192,000","23,789,000","26,350,000","29,476,000","31,810,000","32,422,000","24,912,000","2,869,000","1,896,000","856,000","1,416,000",
		DepreciationAndAmortizationInIncomeStatement,"15,653,000","15,653,000","15,783,000","15,505,000","20,539,000","25,198,000","24,192,000","23,789,000","26,350,000","29,476,000","31,810,000","32,422,000","24,912,000","2,869,000","1,896,000","856,000","1,416,000",
			Amortization,"15,653,000","15,653,000","15,783,000","15,505,000","20,539,000","25,198,000","24,192,000","23,789,000","26,350,000","29,476,000","31,810,000","32,422,000","24,912,000","2,869,000","1,896,000","856,000","1,416,000",
				AmortizationOfIntangiblesIncomeStatement,"15,653,000","15,653,000","15,783,000","15,505,000","20,539,000","25,198,000","24,192,000","23,789,000","26,350,000","29,476,000","31,810,000","32,422,000","24,912,000","2,869,000","1,896,000","856,000","1,416,000",
	OtherOperatingExpenses,,,,,,,,,,,,,,"15,464,000",,,,
OperatingIncome,"147,291,000","147,291,000","115,267,000","79,928,000","54,310,000","61,875,000","65,900,000","60,532,000","35,625,000","26,015,000","12,051,000","24,560,000","28,514,000","5,513,000","26,755,000","19,876,000","-4,384,000","86,805,000"
