name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
NormalizedIncome,"582,554,140","288,693,024.12","273,356,138.456","45,995,750","-95,151,000","534,226,698.772","282,080,067.947","3,953,250","-360,027,250","298,703,112.939","-165,344,750","71,752,455.848","162,951,949.83","202,094,651.167","108,014,669.208","173,993,941.822","81,797,164.673","158,470,820.38","195,738,133.495","133,800,858","176,366,790","78,069,476.388","187,535,474","64,460,680","118,029,454.535","156,404,384.947","118,493,825.493","121,207,770.257","109,950,813.585","128,137,616.022","110,192,800.885","111,501,907.888","120,631,145.647","101,678,918.61","99,949,180.545","94,398,527.999","94,200,488.478","68,550,501.12","61,922,429.624","53,241,101.066","50,309,213.199","44,953,343.971","30,777,338.458","20,427,719.032","9,293,828.374","-7,333,151.92","27,278,255.215","23,618,806.106","28,730,292.277","18,205,846.486","28,827,018.778","33,658,170.261","34,155,426.99","21,777,169.829","28,877,645.272","26,952,246.025","27,719,293.306","16,736,308.672","24,179,102.395","15,873,029.106","8,887,807.003","9,882,952.159","24,234,812.361","12,842,151.029","12,996,852.785"
InterestIncome,"175,584,000",,,,,,,,,,,,,,,,,,,,,,,,"21,670,000","20,238,000","19,214,000","18,572,000","17,277,000","16,186,000","15,870,000","15,383,000","14,214,000","11,911,000","11,405,000","11,255,000","7,462,000","5,038,000","4,925,000","4,661,000","4,089,000","3,895,000","3,974,000","3,581,000","3,633,000",,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"175,584,000","49,214,000","48,390,000","45,424,000","32,556,000","34,585,000","29,654,000","26,420,000","23,014,000","20,905,000","21,230,000","19,451,000","15,423,000","13,625,000","12,749,000","13,900,000","18,659,000","23,018,000","24,235,000","23,801,000","22,494,000","22,431,000","22,296,000","-25,180,000","21,670,000","20,238,000","19,214,000","18,572,000","17,277,000","16,186,000","15,870,000","15,383,000","14,214,000","11,911,000","11,405,000","11,255,000","7,462,000","5,038,000","4,925,000","4,661,000","4,089,000","3,895,000","3,974,000","3,581,000","3,633,000",,,,,,,,,,,,,,,,,,,,
EBIT,"1,205,785,000","395,297,000","256,746,000","270,216,000","283,526,000","425,478,000","270,545,000","218,142,000","236,035,000","317,262,000","200,932,000","188,121,000","164,445,000","209,735,000","146,822,000","128,191,000","127,091,000","186,972,000","134,865,000","122,442,000","123,427,000","153,606,000","127,797,000","122,439,000","119,771,000","133,316,000","114,352,000","125,466,000","115,513,000","119,358,000","116,979,000","118,444,000","130,764,000","112,061,000","112,204,000","108,820,000","108,111,000","77,727,000","68,904,000","64,456,000","61,077,000","41,744,000","40,065,000","26,766,000","11,739,000","-29,226,948.48","33,600,560.64","40,720,897.8","50,924,006.96","31,923,576.16","47,179,824","53,779,555.5","52,933,804.8","29,338,173.339","40,775,915.863","38,907,595.402","43,759,780.566","54,296,049.683","29,847,345.575","18,382,377.109","8,081,279.037","15,367,317.594","34,586,251.429","20,213,669.452","108,553,864.395"
EBITDA,"1,341,058,000"
ReconciledCostOfRevenue,"1,221,935,000","378,148,000","306,690,000","287,733,000","249,364,000","329,683,000","259,327,000","244,771,000","204,985,000","230,076,000","196,155,000","178,541,000","158,668,000","200,447,000","167,827,000","155,480,000","139,247,000","169,727,000","147,917,000","135,238,000","117,097,000","149,998,000","123,953,000","115,234,000","106,815,000","129,853,000","111,289,000","101,949,000","99,363,000","111,908,000","98,489,000","94,503,000","100,333,000","101,644,000","89,863,000","88,781,000","90,373,000","98,941,000","81,383,000","79,586,000","85,955,000","79,677,000","78,309,000","73,644,000","74,092,000","88,507,117.12","94,215,752.96","93,815,738.45","99,316,190.96","89,834,738.76","90,694,104","83,980,657.5","84,820,708.8","74,247,080.094","74,783,837.729","72,398,410.572","72,761,334.898","62,447,837.45","68,736,405.648","69,263,107.209","69,018,893.506","58,452,546.952","58,368,896.246","53,882,594.244",
ReconciledDepreciation,"135,273,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"532,318,000","249,549,000","300,161,000","67,424,000","-84,816,000","856,336,000","785,423,000","-56,628,000","-332,812,000","305,357,000","-166,982,000","70,594,000","162,920,000","203,431,000","108,001,000","168,689,000","85,857,000","141,849,000","165,928,000","136,953,000","173,327,000","81,256,000","187,218,000","51,957,000","118,479,000","155,260,000","117,352,000","119,236,000","108,792,000","122,123,000","112,862,000","114,613,000","120,508,000","113,930,000","97,504,000","83,463,000","91,611,000","66,947,000","62,944,000","54,328,000","50,442,000","46,381,000","35,914,000","20,769,000","9,448,000","6,175,375.04","28,520,769.28","19,297,866.55","22,253,391.28","13,817,997.84","26,685,760","30,991,866","32,141,690.4","19,777,563.012","27,058,463.709","26,042,980.217","26,513,099.249","19,349,987.661","17,030,483.074","15,894,850.981","9,177,123.977","9,879,674.012","25,264,822.74","12,996,852.785","12,996,852.785"
TotalUnusualItemsExcludingGoodwill,"-72,806,000","-48,246,000","31,366,000","28,571,000","13,780,000","349,013,000","542,607,000","-80,775,000","36,287,000","7,675,000","-2,183,000","-1,822,000","-40,000","1,564,000","-18,000","-6,577,000","5,269,000","-21,060,000","-35,213,000","3,906,000","-3,490,000","4,525,000","-362,000","-19,537,000","539,000","-1,344,000","-1,387,000","-2,390,000","-1,401,000","-7,251,000","3,218,000","3,734,000","-148,000","13,809,000","-3,024,000","-13,910,000","-3,177,000","-1,936,000","1,218,000","1,411,000","172,000","1,442,000","7,350,000","507,000","255,000","18,011,369.28","1,341,831.68","-6,779,960.93","-10,106,251.76","-6,588,404.28","-3,110,840","-3,877,785","-2,787,208.8","-2,398,553.429","-2,285,715.539","-1,164,482.781","-1,678,900.924","4,040,748.616","-10,469,036.338","31,821.209","421,746.908","-5,463.579","1,479,181.233","246,283.241",
TotalUnusualItems,"-72,806,000","-48,246,000","31,366,000","28,571,000","13,780,000","349,013,000","542,607,000","-80,775,000","36,287,000","7,675,000","-2,183,000","-1,822,000","-40,000","1,564,000","-18,000","-6,577,000","5,269,000","-21,060,000","-35,213,000","3,906,000","-3,490,000","4,525,000","-362,000","-19,537,000","539,000","-1,344,000","-1,387,000","-2,390,000","-1,401,000","-7,251,000","3,218,000","3,734,000","-148,000","13,809,000","-3,024,000","-13,910,000","-3,177,000","-1,936,000","1,218,000","1,411,000","172,000","1,442,000","7,350,000","507,000","255,000","18,011,369.28","1,341,831.68","-6,779,960.93","-10,106,251.76","-6,588,404.28","-3,110,840","-3,877,785","-2,787,208.8","-2,398,553.429","-2,285,715.539","-1,164,482.781","-1,678,900.924","4,040,748.616","-10,469,036.338","31,821.209","421,746.908","-5,463.579","1,479,181.233","246,283.241",
NormalizedEBITDA,"1,413,864,000","443,543,000","225,380,000","241,645,000","269,746,000","76,465,000","-272,062,000","298,917,000","199,748,000","309,587,000","203,115,000","189,943,000","164,485,000","208,171,000","146,840,000","134,768,000","121,822,000","208,032,000","170,078,000","118,536,000","126,917,000","149,081,000","128,159,000","141,976,000","119,232,000","134,660,000","115,739,000","127,856,000","116,914,000","126,609,000","113,761,000","114,710,000","130,912,000","98,252,000","115,228,000","122,730,000","111,288,000","79,663,000","67,686,000","63,045,000","60,905,000","40,302,000","32,715,000","26,259,000","11,484,000","-47,238,317.76","32,258,728.96","47,500,858.73","61,030,258.72","38,511,980.44","50,290,664","57,657,340.5","55,721,013.6","31,736,726.768","43,061,631.402","40,072,078.183","45,438,681.489","50,255,301.067","40,316,381.913","18,350,555.9","7,659,532.129","15,372,781.173","33,107,070.196","19,967,386.211","108,553,864.395"
TaxRateForCalcs,"0.31","0.189","0.145","0.25","0.25","0.077","0.072","0.25","0.25","0.133","0.25","0.364","0.201","0.146","0.241","0.193","0.229","0.211","0.153","0.193","0.129","0.296","0.123","0.36","0.166","0.149","0.177","0.175","0.173","0.171","0.171","0.167","0.168","0.113","0.191","0.214","0.185","0.172","0.161","0.23","0.228","0.01","0.301","0.327","0.395","0.25","0.074","0.363","0.359","0.334","0.312","0.312","0.278","0.166","0.204","0.219","0.282","0.353","0.317","0.314","0.314","0.4","0.304","0.372","0.4"
TaxEffectOfUnusualItems,"-22,569,860","-9,101,975.88","4,561,138.456","7,142,750","3,445,000","26,903,698.772","39,264,067.947","-20,193,750","9,071,750","1,021,112.939","-545,750","-663,544.152","-8,050.17","227,651.167","-4,330.792","-1,272,058.178","1,209,164.673","-4,438,179.62","-5,402,866.505","753,858","-450,210","1,338,476.388","-44,526","-7,033,320","89,454.535","-199,615.053","-245,174.507","-418,229.743","-242,186.415","-1,236,383.978","548,800.885","622,907.888","-24,854.353","1,557,918.61","-578,819.455","-2,974,472.001","-587,511.522","-332,498.88","196,429.624","324,101.066","39,213.199","14,343.971","2,213,338.458","165,719.032","100,828.374","4,502,842.32","99,317.615","-2,459,021.374","-3,629,350.763","-2,200,555.634","-969,581.222","-1,211,480.739","-773,472.21","-398,946.611","-466,533.976","-255,216.973","-472,706.867","1,427,069.627","-3,320,417.017","9,999.335","132,429.934","-2,185.432","449,170.853","91,581.485","0"
