name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,652,000","10,616,000","10,629,000","10,698,000","10,766,000","10,743,000","10,737,000","10,638,000","10,538,000","10,561,000","10,563,000","10,031,000","8,905,000","7,157,000","6,649,000","6,083,000","1,874,000","19,000","19,000","-96,000","67,000","43,000","20,000",,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,652,000","10,616,000","10,629,000","10,698,000","10,766,000","10,743,000","10,737,000","10,638,000","10,538,000","10,561,000","10,563,000","10,031,000","8,905,000","7,157,000","6,649,000",,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,465,000",,,,,,,,,,"73,000","46,000",,,,,,,,,
OperatingIncome,"2,151,000,000","669,000,000","677,000,000","347,000,000","458,000,000","565,000,000","524,000,000","500,000,000","455,000,000","508,000,000","539,000,000","198,000,000","200,000,000","219,000,000","199,407,000","47,898,000","12,594,000","-9,463,000","-18,739,000","35,921,000","-4,024,000","-10,576,000","3,822,000","-2,056,000","-7,726,000","5,086,000","5,428,000","-23,357,000","-20,427,000","14,916,000","19,602,000","772,000","18,275,000","24,891,000","37,044,000","29,523,000","36,932,000","41,127,000","40,709,000","36,374,000","101,977,000","101,737,000","103,874,000","106,367,000","74,282,000","43,396,000","-267,000","-10,026,000","-2,748,000","-4,100,000","-4,588,000","-3,167,000","-2,874,000","-1,886,000",,,,,,,,
NetNonOperatingInterestIncomeExpense,"-932,000,000","-234,000,000","-237,000,000","-231,000,000","-230,000,000","-187,000,000","-181,000,000","-183,000,000","-184,000,000","-185,000,000","-177,000,000","-153,000,000","-154,000,000","-130,000,000","-128,222,000","-113,227,000","-71,999,000","-43,452,000","-42,247,000","-49,360,000","-50,148,000","-42,845,000","-46,089,000","-46,884,000","-43,789,000","-40,270,000","-43,594,000","-52,528,000","-42,016,000","-40,262,000","-41,092,000","-43,626,000","-43,458,000","-43,458,000","-43,475,000","-43,319,000","-43,399,000","-43,336,000","-43,359,000","-43,351,000","-43,563,000","-43,418,000","-42,784,000","-38,024,000","-33,093,000","-32,382,000",,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,000","81,000","100,000","85,000","59,000","47,000","65,000","259,000","560,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"932,000,000","234,000,000","237,000,000","231,000,000","230,000,000","187,000,000","181,000,000","183,000,000","184,000,000","185,000,000","177,000,000","153,000,000","154,000,000","130,000,000","128,222,000","113,227,000","71,999,000","43,452,000","42,247,000","49,360,000",,,,,,,,,,,,,,,,,,"43,397,000","43,440,000","43,451,000","43,648,000","43,477,000","42,831,000","38,089,000","33,352,000","32,942,000",,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,"50,148,000","42,845,000","46,089,000","46,884,000","43,789,000","40,270,000","43,594,000","52,528,000","42,016,000","40,262,000","41,092,000","43,626,000","43,458,000","43,458,000",,"43,319,000","43,399,000",,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,"8,000,000","-6,000,000","4,000,000","7,000,000","8,000,000","-10,000,000","10,000,000","12,000,000","11,000,000","-21,000,000",,"-42,000,000","14,160,000","-16,180,000","-40,720,000","-21,991,000","4,946,000","-10,693,000","-5,871,000","-125,255,000","-28,572,000","5,700,000","-174,709,000","-34,549,000","-23,100,000","-22,224,000","15,433,000","-17,141,000","-42,031,000","432,000","322,000","-765,000","-1,031,000","-683,000","-401,000",,"-1,000",,"-43,000","505,000","782,000","1,158,000","762,000","2,574,000","2,545,000","14,697,000","-11,517,000","-820,000",,"-73,000","-46,000",,,,,,,,,
	GainOnSaleOfSecurity,,,,,,,"1,000,000","2,000,000","3,000,000","8,000,000","6,000,000","1,000,000","-3,000,000",,"31,961,000","9,183,000","-14,792,000","-20,808,000","4,819,000","-10,872,000","1,175,000","-36,384,000","-28,726,000","5,573,000","-60,178,000","-34,681,000","27,742,000","-22,335,000","95,509,000","-17,468,000","346,000","287,000","261,000","-836,000","-1,087,000","-716,000","-448,000",,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-24,000,000","-6,000,000","-1,000,000","-14,000,000","-3,000,000","-2,000,000","0","-20,000,000",,,"0","-25,000,000","0","-42,000,000","-18,298,000","-25,765,000","-26,304,000","-1,457,000","0","0","-7,281,000","-88,992,000","0","0","-114,335,000",,"-51,066,000","0","-80,510,000",,"-42,876,000","145,000","61,000","71,000","56,000","33,000","47,000",,"-462,000","0","-43,000","505,000","782,000","1,158,000","762,000","2,574,000","2,545,000","14,697,000","-11,517,000","-820,000",,"-73,000","-46,000",,,,,,,,,
		ImpairmentOfCapitalAssets,"10,000,000","5,000,000","1,000,000","1,000,000","3,000,000","2,000,000","0","8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"1,000,000","0","13,000,000",,,"0","12,000,000",,,"0","25,000,000",,"42,000,000","18,298,000","25,765,000","26,304,000","1,457,000","0",,"7,281,000","88,992,000","0",,"114,335,000",,"51,066,000",,"80,510,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"30,000,000","6,000,000","9,000,000","8,000,000","7,000,000","9,000,000","7,000,000","8,000,000","7,000,000","4,000,000","5,000,000","3,000,000","3,000,000",,"497,000","402,000","376,000","274,000","127,000","179,000","235,000","121,000","154,000","127,000","-196,000","132,000","224,000","111,000","434,000","327,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,225,000,000","435,000,000","448,000,000","110,000,000","232,000,000","385,000,000","351,000,000","307,000,000","281,000,000","335,000,000","373,000,000","24,000,000","46,000,000","47,000,000","85,345,000","-81,509,000","-100,125,000","-74,906,000","-56,040,000","-24,132,000","-60,043,000","-178,676,000","-70,839,000","-43,240,000","-226,224,000","-69,733,000","-61,266,000","-98,109,000","-47,010,000","-42,487,000","-63,521,000","-42,422,000","-24,861,000","-19,332,000","-7,462,000","-14,479,000","-6,868,000","-2,209,000",,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"1,139,000,000","435,000,000","421,000,000","92,000,000","212,000,000","364,000,000","333,000,000","291,000,000","268,000,000","322,000,000","2,369,000,000","-951,000,000","-750,000,000","-189,000,000","113,328,000","-109,570,000","-98,123,000","-73,408,000","24,604,000","-48,887,000","-58,842,000","-175,101,000","-69,421,000","-42,375,000","-221,699,000","-68,338,000","-60,040,000","-96,386,000","-37,105,000","-41,637,000","-18,481,000","-55,211,000","-37,704,000","-32,175,000","-20,489,000","-27,366,000","-18,176,000","-2,165,000","-2,598,000","-6,837,000","57,204,000","57,648,000","64,373,000","68,111,000","41,951,000","13,588,000","-28,419,000","-10,897,000","-24,513,000","-14,515,000","-12,991,000","-11,112,000","-11,991,000","-12,858,000","-22,901,000","-12,624,000","-12,624,000","-12,624,000","-1,066,000","-1,066,000","-1,066,000","-1,066,000"
	NetIncome,"1,225,000,000","435,000,000","448,000,000","110,000,000","232,000,000","385,000,000","351,000,000","307,000,000","281,000,000","335,000,000","374,000,000","23,000,000","46,000,000","47,000,000","85,345,000","-81,509,000","-100,125,000","-74,906,000","-56,040,000","-24,132,000","-60,043,000","-178,676,000","-70,839,000","-43,240,000","-226,224,000","-69,733,000","-61,266,000","-98,353,000","-37,862,000","-42,487,000","-19,145,000","-59,547,000","-38,473,000","-32,831,000","-20,907,000","-27,924,000","-18,547,000","-2,209,000","-2,651,000","-6,977,000","57,204,000","57,648,000","61,872,000","69,501,000","41,951,000","13,588,000","-28,419,000","-10,897,000","-24,513,000","-14,515,000","-12,991,000","-11,112,000","-11,991,000","-12,858,000","-22,901,000","-12,624,000","-12,624,000","-12,624,000","-1,066,000","-1,066,000","-1,066,000","-1,066,000"
		NetIncomeIncludingNoncontrollingInterests,"1,225,000,000","435,000,000","448,000,000","110,000,000","232,000,000","385,000,000","351,000,000","307,000,000","281,000,000","335,000,000","374,000,000","23,000,000","46,000,000","47,000,000","85,345,000","-81,509,000","-100,125,000","-74,906,000","-56,040,000","-24,132,000","-60,043,000","-178,676,000","-70,839,000","-43,240,000","-226,224,000","-69,733,000","-61,266,000","-98,109,000","-47,010,000","-42,487,000","-63,521,000","-42,422,000","-24,861,000","-19,332,000","-7,462,000","-14,479,000","-6,868,000","-2,209,000","-2,651,000","-6,977,000","58,371,000","58,824,000","61,872,000","69,501,000","41,951,000","13,588,000","-28,419,000","-10,897,000","-24,513,000","-14,515,000","-12,991,000","-11,112,000","-11,991,000","-12,858,000","-22,901,000","-12,624,000","-12,624,000","-12,624,000","-1,066,000","-1,066,000","-1,066,000","-1,066,000"
