name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
TotalRevenue,"2,095,946,000","564,803,000","522,451,000","510,151,000","498,541,000","427,671,000","454,880,000","511,022,000","467,788,000","392,741,000","311,488,000","241,021,000","213,677,000","200,858,000","156,530,000","132,665,000","106,310,000","62,268,000","68,752,000","64,234,000","77,860,000","55,211,000","78,106,000","83,617,000","82,304,000","57,730,000","40,747,000","37,440,000","26,574,000","16,257,000"
CostOfRevenue,"1,287,154,000","399,666,000","301,134,000","307,743,000","278,611,000","250,559,000","238,094,000","236,228,000","215,258,000","180,484,000","152,803,000","139,152,000","124,343,000","97,759,000","86,360,000","90,539,000","76,599,000","67,477,000","67,731,000","64,687,000","68,302,000","58,274,000","50,882,000","36,420,000","35,625,000","28,382,000","21,281,000","12,916,000","10,804,000","6,804,000"
GrossProfit,"808,792,000","165,137,000","221,317,000","202,408,000","219,930,000","177,112,000","216,786,000","274,794,000","252,530,000","212,257,000","158,685,000","101,869,000","89,334,000","103,099,000","70,170,000","42,126,000","29,711,000","-5,209,000","1,021,000","-453,000","9,558,000","-3,063,000","27,224,000","47,197,000","46,679,000","29,348,000","19,466,000","24,524,000","15,770,000","9,453,000"
OperatingExpense,"800,778,000","598,179,000","113,814,000","51,254,000","37,531,000","60,565,000","194,466,000","55,185,000","42,193,000","42,935,000","72,738,000","36,348,000","36,899,000","29,224,000","26,148,000","29,218,000","28,151,000","21,053,000","18,267,000","20,392,000","16,196,000","16,581,000","15,001,000","10,786,000","57,913,000","8,247,000","8,721,000","3,683,000","1,959,000","2,299,000"
	SellingGeneralAndAdministration,"150,627,000","35,964,000","43,038,000","36,718,000","34,907,000","38,037,000","42,414,000","37,555,000","35,991,000","34,995,000","34,879,000","33,573,000","31,761,000","24,042,000","23,290,000","24,695,000","17,307,000","19,299,000","11,351,000","16,148,000","14,437,000","13,113,000","11,707,000","10,641,000","57,796,000","8,155,000","8,649,000","3,635,000","1,923,000","2,274,000"
	OperatingExpense,"800,778,000","598,179,000","113,814,000","51,254,000","37,531,000","60,565,000","194,466,000","55,185,000","42,193,000","42,935,000","72,738,000","36,348,000","36,899,000","29,224,000","26,148,000","29,218,000","28,151,000","21,053,000","18,267,000","20,392,000","16,196,000","16,581,000","15,001,000","10,786,000","57,913,000","8,247,000","8,721,000","3,683,000","1,959,000","2,299,000"
OperatingIncome,"8,014,000","-433,042,000","107,503,000","151,154,000","182,399,000","116,547,000","22,320,000","219,609,000","210,337,000","169,322,000","85,947,000","65,521,000","52,435,000","73,875,000","44,022,000","12,908,000","1,560,000","-26,262,000","-17,246,000","-20,845,000","-6,638,000","-19,644,000","12,223,000","36,411,000","-11,234,000","21,101,000","10,745,000","20,841,000","13,811,000","7,154,000"
InterestExpense,"138,760,000","41,679,000","32,277,000","32,393,000","32,411,000","31,817,000","31,695,000","31,668,000","32,573,000","30,779,000","30,508,000","21,856,000","21,744,000","18,553,000","15,571,000","15,038,000","11,719,000","10,707,000","11,830,000","10,412,000","10,248,000","10,388,000","10,279,000","9,622,000","9,485,000","7,210,000","4,376,000","2,878,000","2,931,000","2,550,000"
OtherIncomeExpense,"-3,865,867,000","-3,832,587,000","-108,755,000","56,761,000","18,714,000","-119,629,000","91,812,000","-21,207,000","-4,064,000","-10,689,000","-31,487,000","-63,896,000","36,161,000","-218,000","-57,621,000","-422,000","-27,941,000","2,292,000","-4,907,000","35,011,000","-19,004,000","1,536,000","89,262,000","9,229,000","-14,555,000","-11,031,000","-1,478,000","-5,665,000","617,000","-3,715,000"
PretaxIncome,"-3,999,411,000","-4,307,059,000","-34,524,000","174,553,000","167,619,000","-35,793,000","81,852,000","166,603,000","174,201,000","128,788,000","25,167,000","-20,241,000","68,010,000","56,692,000","-29,756,000","-2,920,000","-38,406,000","-35,259,000","-34,558,000","3,200,000","-36,396,000","-29,032,000","90,726,000","35,626,000","-35,695,000","2,528,000","4,769,000","12,284,000","11,492,000","871,000"
TaxProvision,"-501,736,000","-570,963,000","1,649,000","34,953,000","32,625,000","-7,790,000","16,453,000","32,454,000","33,243,000","23,325,000","-19,830,000","-5,080,000","12,216,000","18,402,000","4,341,000","-1,279,000","-10,918,000","-9,568,000","-8,622,000","557,000","-10,216,000","-5,474,000","24,757,000","9,372,000","1,794,000","545,000","866,000","358,000","347,000","335,000"
NetIncomeContinuousOperations,"-3,497,675,000","-3,736,096,000","-36,173,000","139,600,000","134,994,000","-28,003,000","65,399,000","134,149,000","140,958,000","105,463,000","44,997,000","-15,161,000","55,794,000","38,290,000","-34,097,000","-1,641,000","-27,488,000","-25,691,000","-25,936,000","2,643,000","-26,180,000","-23,558,000","65,969,000","26,254,000","-37,489,000","1,983,000","3,903,000","11,926,000","11,145,000","536,000"
NetIncome,"-3,167,124,000","-3,366,400,000","-36,369,000","119,710,000","115,935,000","-24,064,000","53,773,000","113,309,000","119,155,000","82,890,000","49,919,000","-13,333,000","40,746,000","29,442,000","-30,745,000","-2,706,000","-21,377,000","-19,354,000","-15,240,000","909,000","-19,129,000","-17,024,000","43,220,000","16,867,000","-38,646,000","1,983,000","3,903,000","11,926,000","11,145,000","536,000"
NetIncomeCommonStockholders,"-3,167,124,000","-3,366,400,000","-36,369,000","119,710,000","115,935,000","-24,064,000","53,773,000","113,309,000","119,155,000","82,890,000","49,919,000","-13,333,000","40,746,000","29,442,000","-30,745,000","-2,706,000","-21,377,000","-19,354,000","-15,240,000","909,000","-19,129,000","-17,024,000","43,220,000","16,867,000","-38,646,000","850,000","-17,678,000","11,926,000","11,145,000","536,000"
BasicEPS,,"-9.2","-0.13","0.43","0.41","-0.09","0.19","0.41","0.44","0.32","0.2","-0.05","0.17","0.13","-0.17","-0.02","-0.13","-0.13","-0.12","0.01","-0.18","-0.17","0.46","0.18","-1.19","0.01",,"0.139","0.13","0.006"
DilutedEPS,,"-9.2","-0.13","0.43","0.41","-0.09","0.19","0.41","0.44","0.32","0.16","-0.05","0.17","0.13","-0.17","-0.02","-0.13","-0.13","-0.14","0.01","-0.18","-0.17","0.46","0.18","-1.19","0.01",,"0.101","0.095","0.005"
BasicAverageShares,,"366,064,000","280,064,000","279,961,000","279,706,000","278,794,000","278,052,000","277,705,000","272,239,000","260,654,000","249,659,000","246,518,000","245,698,000","220,674,000","178,990,000","173,241,000","158,662,000","135,963,000","125,437,000","109,218,000","108,058,000","101,273,000","93,168,000","93,168,000","32,453,000","85,668,000",,"85,668,000","85,668,000","85,668,000"
DilutedAverageShares,,"366,064,000","280,064,000","280,547,000","279,768,000","278,794,000","278,789,000","278,396,000","272,846,000","261,639,000","314,864,000","246,518,000","246,792,000","221,697,000","178,990,000","173,241,000","158,662,000","135,963,000","157,582,000","109,592,000","108,058,000","101,273,000","125,416,000","125,421,000","32,453,000","117,814,000",,"117,814,000","117,814,000","117,814,000"
Ebitda,,"-3,990,700,000","208,470,000","418,683,000","398,593,000","169,747,000","274,301,000","355,623,000","352,326,000","280,766,000","160,818,000","96,434,000","173,069,000","144,215,000","48,468,000","77,859,000","29,301,000","24,832,000","27,680,000","59,697,000","18,259,000","18,737,000","136,094,000","65,618,000","-5,764,000","28,130,000","21,259,000","22,921,000","19,366,000","6,757,000"
