name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995
TotalRevenue,"5,452,000,000","1,374,000,000","1,209,000,000","1,474,000,000","1,395,000,000","1,361,000,000","1,435,000,000","1,331,000,000","1,308,000,000","1,335,000,000","1,179,000,000","922,000,000","873,000,000","853,000,000","809,000,000","782,000,000","789,000,000","796,000,000","770,000,000","779,000,000","752,000,000","757,000,000","775,000,000","763,000,000","722,000,000","772,000,000","716,000,000","724,000,000","695,000,000","646,000,000","623,000,000","640,579,000","660,205,000","665,868,000","1,550,990,000","671,441,000","684,782,000","718,228,000","645,365,000","597,779,000","680,607,000","624,497,000","612,989,000","650,106,000","603,400,000","517,255,000","595,092,000","633,476,000","607,544,000","602,283,000","615,770,000","547,970,000","512,180,000","499,831,000","505,287,000","551,642,000","506,427,000","551,475,000","276,613,000","275,596,000","233,831,000","232,056,000","261,424,000","185,620,000","219,626,000","246,503,000","225,783,000","195,118,000","187,205,000","146,516,000","179,339,000","114,471,000","99,176,000","105,671,000","106,364,000","100,425,000","110,559,000","116,131,000","126,240,000","134,371,000","149,086,000","170,305,000","110,800,000","74,500,000","78,100,000","63,700,000","52,000,000","39,400,000","39,600,000","30,000,000","25,700,000","23,400,000","19,900,000","18,500,000","15,300,000",,,,
	OperatingRevenue,"5,452,000,000","1,374,000,000","1,209,000,000","1,474,000,000","1,395,000,000","1,361,000,000","1,435,000,000","1,331,000,000","1,308,000,000","1,335,000,000","1,179,000,000","922,000,000","873,000,000","853,000,000","809,000,000","782,000,000","789,000,000","796,000,000","770,000,000","779,000,000","752,000,000","757,000,000","775,000,000","763,000,000","722,000,000","772,000,000","716,000,000","724,000,000","695,000,000","646,000,000","623,000,000","640,579,000","660,205,000","665,868,000","1,550,990,000","671,441,000","684,782,000","718,228,000","645,365,000","597,779,000","680,607,000","624,497,000","612,989,000","650,106,000","603,400,000","517,255,000","595,092,000","633,476,000","607,544,000","602,283,000","615,770,000","547,970,000","512,180,000","499,831,000","505,287,000","551,642,000","506,427,000","551,475,000","276,613,000","275,596,000","233,831,000","232,056,000","261,424,000","185,620,000","219,626,000","246,503,000","225,783,000","195,118,000","187,205,000","146,516,000","179,339,000","114,471,000","99,176,000","105,671,000","106,364,000","100,425,000","110,559,000","116,131,000","126,240,000","134,371,000","149,086,000","170,305,000","110,800,000","74,500,000","78,100,000","63,700,000","52,000,000","39,400,000","39,600,000","30,000,000","25,700,000","23,400,000","19,900,000","18,500,000","15,300,000",,,,
PretaxIncome,"2,573,000,000","599,000,000","491,000,000","741,000,000","743,000,000","668,000,000","778,000,000","609,000,000","603,000,000","372,000,000","303,000,000","338,000,000","373,000,000","344,000,000","339,000,000","270,000,000","334,000,000","330,000,000","331,000,000","347,000,000","319,000,000","287,000,000","334,000,000","342,000,000","310,000,000","317,000,000","301,000,000","323,000,000","298,000,000","231,000,000","237,000,000","225,608,000","247,077,000","211,848,000","221,466,000","263,591,000","254,188,000","275,430,000","223,262,000","186,113,000","289,064,000","216,528,000","220,379,000","254,837,000","279,746,000","224,260,000","300,562,000","278,736,000","328,180,000","299,954,000","356,631,000","311,072,000","254,531,000","229,730,000","239,371,000","201,717,000","233,079,000","282,209,000","140,300,000","166,766,000","122,390,000","116,678,000","147,658,000","93,982,000","102,021,000","125,199,000","119,956,000","92,096,000","81,804,000","16,659,000","36,799,000","-47,248,000","10,062,000","3,428,000","15,240,000","-20,879,000","2,469,000","-90,820,000","-37,162,000","285,000","7,593,000","5,551,000","-33,700,000","-14,300,000","13,900,000","12,700,000","5,900,000","9,100,000","9,200,000",,"-17,400,000","8,900,000","7,200,000","5,400,000",,,,,
TaxProvision,"644,000,000","153,000,000","112,000,000","191,000,000","188,000,000","169,000,000","174,000,000","155,000,000","152,000,000","101,000,000","6,000,000","127,000,000","142,000,000","130,000,000","123,000,000","85,000,000","94,000,000","125,000,000","119,000,000","131,000,000","122,000,000","98,000,000","123,000,000","131,000,000","120,000,000","123,000,000","109,000,000","122,000,000","114,000,000","87,000,000","90,000,000","82,096,000","93,248,000","75,150,000","69,506,000","99,940,000","96,793,000","103,762,000","78,223,000","72,154,000","109,625,000","53,976,000","84,142,000","98,097,000","109,209,000","92,230,000","116,164,000","106,737,000","123,818,000","113,238,000","115,792,000","110,641,000","95,833,000","88,591,000","93,738,000","73,607,000","93,262,000","109,374,000","54,303,000","65,250,000","47,718,000","45,664,000","55,107,000","36,787,000","39,763,000","44,241,000","48,019,000","36,983,000","31,933,000","7,042,000","14,757,000","-1,560,000","4,288,000","1,481,000","6,237,000","-6,855,000","2,399,000","-36,629,000","-14,130,000","0","2,995,000","2,351,000","-12,000,000","-5,100,000","5,000,000","4,600,000","2,200,000","3,300,000","3,300,000",,"-6,200,000","3,100,000","2,600,000","1,900,000",,,,,
NetIncomeCommonStockholders,"1,929,000,000","446,000,000","379,000,000","550,000,000","555,000,000","499,000,000","604,000,000","454,000,000","451,000,000","271,000,000","297,000,000","211,000,000","231,000,000","214,000,000","216,000,000","185,000,000","240,000,000","205,000,000","212,000,000","216,000,000","197,000,000","189,000,000","211,000,000","211,000,000","190,000,000","194,000,000","192,000,000","201,000,000","184,000,000","144,000,000","147,000,000","143,512,000","153,829,000","136,698,000","151,960,000","163,651,000","157,395,000","171,668,000","145,039,000","113,959,000","179,439,000","162,552,000","136,237,000","156,740,000","170,537,000","132,030,000","184,398,000","171,999,000","204,362,000","186,716,000","240,839,000","200,431,000","158,698,000","141,139,000","145,633,000","128,110,000","139,817,000","172,835,000","85,997,000","101,516,000","74,672,000","71,014,000","92,551,000","57,195,000","62,258,000","80,958,000","71,937,000","55,113,000","49,871,000","9,617,000","22,042,000","-45,688,000","5,774,000","1,947,000","9,003,000","-14,024,000","70,000","-54,191,000","-23,032,000","285,000","4,598,000","3,200,000","-21,700,000","-9,200,000","8,900,000","8,100,000","3,700,000","5,800,000","5,900,000","-300,000","-11,200,000","5,800,000","4,600,000","3,500,000","-100,000","2,300,000","3,100,000","3,200,000","2,600,000"
	NetIncome,"1,929,000,000","446,000,000","379,000,000","550,000,000","555,000,000","499,000,000","604,000,000","454,000,000","451,000,000","271,000,000","297,000,000","211,000,000","231,000,000","214,000,000","216,000,000","185,000,000","240,000,000","205,000,000","212,000,000","216,000,000","197,000,000","189,000,000","211,000,000","211,000,000","190,000,000","194,000,000","192,000,000","201,000,000","184,000,000","144,000,000","147,000,000","143,512,000","153,829,000","136,698,000","151,960,000","163,651,000","157,395,000","171,668,000","145,039,000","113,959,000","179,439,000","162,552,000","136,237,000","156,740,000","170,537,000","132,030,000","184,398,000","171,999,000","204,362,000","186,716,000","240,839,000","200,431,000","158,698,000","141,139,000","145,633,000","128,110,000","139,817,000","172,835,000","85,997,000","101,516,000","74,672,000","71,014,000","92,551,000","57,195,000","62,258,000","80,958,000","71,937,000","55,113,000","49,871,000","9,617,000","22,042,000","-45,688,000","5,774,000","1,947,000","9,003,000","-14,024,000","70,000","-54,191,000","-23,032,000","285,000","4,598,000","3,200,000","-21,700,000","-9,200,000","8,900,000","8,100,000","3,700,000","5,800,000","5,900,000","-300,000","-11,200,000","5,800,000","4,600,000","3,500,000","-100,000","2,300,000","3,100,000","3,200,000","2,600,000"
		NetIncomeIncludingNoncontrollingInterests,"1,929,000,000","446,000,000","379,000,000","550,000,000","555,000,000","499,000,000","604,000,000","454,000,000","451,000,000","271,000,000","297,000,000","211,000,000","231,000,000","214,000,000","216,000,000","185,000,000","240,000,000","205,000,000","212,000,000","216,000,000","197,000,000","189,000,000","211,000,000","211,000,000","190,000,000","194,000,000","192,000,000","201,000,000","184,000,000","144,000,000","147,000,000","143,512,000","153,829,000","136,698,000","151,960,000","163,651,000","157,395,000","171,668,000","145,039,000","113,959,000","179,439,000","162,552,000","136,237,000","156,740,000","170,537,000","132,030,000","184,398,000","171,999,000","204,362,000","186,716,000","240,839,000","200,431,000","158,698,000","141,139,000","145,633,000","128,110,000","139,817,000","172,835,000","85,997,000","101,516,000","74,672,000","71,014,000","92,551,000","57,195,000","62,258,000","80,958,000","71,937,000","55,113,000","49,871,000","9,617,000","22,042,000","-45,688,000","5,774,000","1,947,000","9,003,000","-14,024,000","70,000","-54,191,000","-23,032,000","285,000","4,598,000","3,200,000","-21,700,000","-9,200,000","8,900,000","8,100,000","3,700,000","5,800,000","5,900,000","-300,000","-11,200,000","5,800,000","4,600,000","3,500,000","-100,000","2,300,000","3,100,000","3,200,000","2,600,000"
			NetIncomeContinuousOperations,"1,929,000,000","446,000,000","379,000,000","550,000,000","555,000,000","499,000,000","604,000,000","454,000,000","451,000,000","271,000,000","297,000,000","211,000,000","231,000,000","214,000,000","216,000,000","185,000,000","240,000,000","205,000,000","212,000,000","216,000,000","197,000,000","189,000,000","211,000,000","211,000,000","190,000,000","194,000,000","192,000,000","201,000,000","184,000,000","144,000,000","147,000,000","143,512,000","153,829,000","136,698,000","151,960,000","163,651,000","157,395,000","171,668,000","145,039,000","113,959,000","179,439,000","162,552,000","136,237,000","156,740,000","170,537,000","132,030,000","184,398,000","171,999,000","204,362,000","186,716,000","240,839,000","200,431,000","158,698,000","141,139,000","145,633,000","128,110,000","139,817,000","172,835,000","85,997,000","101,516,000","74,672,000","71,014,000","92,551,000","57,195,000","62,258,000","80,958,000","71,937,000","55,113,000","49,871,000","9,617,000","22,042,000","-45,688,000","5,774,000","1,947,000","9,003,000","-14,024,000","70,000","-54,191,000","-23,032,000","285,000","4,598,000","3,200,000","-21,700,000","-9,200,000","8,900,000","8,100,000","3,700,000","5,800,000","5,900,000","-300,000","-11,200,000","5,800,000","4,600,000","3,500,000","-100,000","2,300,000","3,100,000","3,200,000","2,600,000"
DilutedNIAvailtoComStockholders,"1,929,000,000","446,000,000","379,000,000","550,000,000","555,000,000","499,000,000","604,000,000","454,000,000","451,000,000","271,000,000","297,000,000","211,000,000","231,000,000","214,000,000","216,000,000","185,000,000","240,000,000","205,000,000","212,000,000","216,000,000","197,000,000","189,000,000","211,000,000","211,000,000","190,000,000","194,000,000","192,000,000","201,000,000","184,000,000","144,000,000","147,000,000","143,512,000","153,829,000","136,698,000","151,960,000","163,651,000","157,395,000","171,668,000","145,039,000","113,959,000","179,439,000","162,552,000","136,237,000","156,740,000","170,537,000","132,030,000","184,398,000","171,999,000","204,362,000","186,716,000","240,839,000","200,431,000","158,698,000","141,139,000","145,633,000","128,110,000","139,817,000","172,835,000","85,997,000","101,516,000","74,672,000","71,014,000","92,551,000","57,195,000","62,258,000","80,958,000","71,937,000","55,113,000","49,871,000","9,617,000","22,042,000","-45,688,000","5,774,000","1,947,000","9,003,000","-14,024,000","70,000","-54,191,000","-23,032,000","285,000","4,598,000","3,200,000","-21,700,000","-9,200,000","8,900,000","8,100,000","3,700,000","5,800,000","5,900,000","-300,000","-11,200,000","5,800,000","4,600,000","3,500,000","-100,000","2,300,000","3,100,000","3,200,000","2,600,000"
BasicEPS,,"0.82","0.7","1.01","1.01","0.89","1.07","0.8","0.79","0.48","0.52","0.4","0.44","0.41","0.41","0.35","0.45","0.38","0.39","0.4","0.36","0.35","0.39","0.39","0.34","0.35","0.35","0.36","0.33","0.26","0.27","0.26","0.28","0.25","0.28",,"0.28","0.3","0.25",,"0.31","0.28","0.23",,"0.3","0.23","0.31",,"0.34","0.31","0.4",,"0.27","0.24","0.24",,"0.23","0.31","0.21",,"0.19","0.18","0.23",,"0.15","0.19","0.17",,"0.12","0.02","0.05",,"0.03","0.01","0.04",,"0","-0.3","-0.13",,"0.03","0.02","-0.12",,"0.02","0.02","0.005",,"0.003","-0.002","-0.005",,"0.003","0.003","-0.001",,"0.003","0.003","0.003"
