name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010
InterestExpense,"181,749,000","42,785,000","43,710,000","46,644,000","48,610,000","48,130,000","47,704,000","46,651,000","45,812,000","45,243,000","45,230,000","44,515,000","43,505,000","42,757,000","46,010,000","48,843,000","48,758,000","37,714,000","28,810,000","27,737,000","28,049,000","22,146,000","14,716,000","14,068,000","9,730,000","9,707,000","9,578,000","9,465,000","9,445,000","8,762,000","7,583,000",,"7,471,000",,,,,,,
NetInterestIncome,"-181,749,000","-42,785,000","-43,710,000","-46,644,000","-48,610,000","-48,130,000","-47,704,000","-46,651,000","-45,812,000","-45,243,000","-45,230,000","-44,515,000","-43,505,000","-42,757,000","-46,010,000","-48,843,000","-48,758,000","-37,714,000","-28,810,000","-27,737,000","-28,049,000","-22,146,000","-14,716,000","-14,068,000","-9,730,000","-9,707,000","-9,578,000","-9,465,000","-9,445,000","-8,762,000","-7,583,000","-7,433,000","-7,471,000","-7,282,000","-5,048,000","-1,928,000","-1,992,000","-223,000","-189,000","-191,000"
EBIT,"320,722,000","82,641,000","33,462,000","96,204,000","108,415,000","85,001,000","-293,632,000","101,687,000","115,070,000","93,331,000","105,869,000","105,974,000","109,721,000","91,241,000","88,448,000","-66,971,000","122,610,000","70,193,000","81,328,000","69,412,000","77,404,000","43,351,000","49,556,000","47,224,000","47,092,000","30,503,000","29,513,000","31,752,000","29,736,000","15,494,000","15,089,000","17,744,000","17,491,000","12,315,000","-18,372,000","6,514,000","-16,954,000","-305,000","1,215,000","2,012,000"
EBITDA,"485,866,000"
ReconciledCostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,719,000","63,436,000","4,457,000","49,523,000","43,156,000","62,338,000","933,000",,"10,473,000"
ReconciledDepreciation,"165,144,000","41,680,000","41,767,000","40,620,000","41,077,000","40,580,000","39,472,000","39,659,000","39,928,000","39,773,000","37,754,000","36,442,000","35,201,000","33,613,000","33,958,000","36,418,000","36,752,000","27,975,000","18,630,000","16,890,000","14,926,000","13,104,000","10,971,000","10,325,000","5,935,000","5,436,000","4,842,000","4,414,000","4,212,000","3,622,000","2,650,000","2,076,000","1,641,000","1,615,000","1,174,000","915,000","1,956,000","243,000","248,000","248,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"112,915,000","33,463,000","-11,254,000","42,566,000","48,140,000","29,471,000","-331,637,000","46,232,000","58,836,000","50,819,000","69,629,000","45,618,000","49,630,000","34,958,000","41,818,000","-117,808,000","56,445,000","25,688,000","34,538,000","29,470,000","33,843,000","14,592,000","22,301,000","25,453,000","22,457,000","13,021,000","12,399,000","14,546,000","12,271,000","4,054,000","4,488,000","6,588,000","6,101,000","3,368,000","-14,655,000","3,722,000","-21,735,000","-257,000","1,008,000","1,649,000"
TotalUnusualItemsExcludingGoodwill,"-76,844,000","-2,221,000","-62,840,000","-5,775,000","-5,212,000","-4,321,000","-385,339,000","-2,353,000","-2,887,000","-5,708,000","-5,431,000","-5,665,000","-9,862,000","-4,119,000","-19,752,000","-179,246,000","-5,976,000","-25,888,000","-5,995,000","-16,839,000","-8,118,000","-18,363,000","-2,816,000","-4,712,000","10,719,000","-1,579,000","-3,337,000","-984,000","-1,355,000","-10,824,000","-6,015,000",,,,,,,,,
TotalUnusualItems,"-76,844,000","-2,221,000","-62,840,000","-5,775,000","-5,212,000","-4,321,000","-385,339,000","-2,353,000","-2,887,000","-5,708,000","-5,431,000","-5,665,000","-9,862,000","-4,119,000","-19,752,000","-179,246,000","-5,976,000","-25,888,000","-5,995,000","-16,839,000","-8,118,000","-18,363,000","-2,816,000","-4,712,000","10,719,000","-1,579,000","-3,337,000","-984,000","-1,355,000","-10,824,000","-6,015,000",,,,,,,,,
NormalizedEBITDA,"562,710,000","126,542,000","138,069,000","142,599,000","154,704,000","129,902,000","131,179,000","143,699,000","157,885,000","138,812,000","149,054,000","148,081,000","154,784,000","128,973,000","142,158,000","148,693,000","165,338,000","124,056,000","105,953,000","103,141,000","100,448,000","74,818,000","63,343,000","62,261,000","42,308,000","37,518,000","37,692,000","37,150,000","35,303,000","29,940,000","17,739,000","19,820,000","19,137,000","13,930,000","-17,198,000","7,429,000","-14,998,000","-62,000","1,463,000","2,260,000"
TaxRateForCalcs,"0.175","0.145","0.27","0.138","0.194","0.2","0.029","0.159","0.15","0.27","0.4","0.26","0.25","0.283","0.024","0.4","0.247","0.219","0.354","0.304","0.314","0.312","0.36","0.232","0.399","0.374","0.378","0.347","0.395","0.398","0.4","0.361","0.391","0.331","0.374","0.188","0.35","0.35","0.018","0.094"
TaxEffectOfUnusualItems,"-13,433,724.393","-322,045","-16,966,800","-796,950","-1,011,128","-864,200","-11,071,259.911","-374,127","-433,050","-1,541,160","-2,172,400","-1,472,900","-2,465,500","-1,165,677","-471,017.107","-71,698,400","-1,476,072","-5,669,472","-2,122,529.99","-5,119,056","-2,549,052","-5,729,256","-1,013,485.189","-1,093,184","4,276,881","-590,546","-1,261,481.415","-341,448","-535,225","-4,307,952","0","0","0","0","0","0","0","0","0","0"
