name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,05/31/1995
TotalAssets,"17,311,394,000","19,110,252,000","18,948,193,000","18,741,257,000","18,514,875,000","17,942,715,000","17,098,877,000","16,018,596,000","8,892,172,000","8,114,424,000","7,558,236,000","7,286,091,000","6,943,960,000","6,491,816,000","6,279,762,000","2,511,959,000","1,945,530,000","1,775,693,000","1,662,683,000","1,596,632,000","2,056,718,000","1,915,600,000","695,300,000","374,100,000","164,000,000","77,600,000"
	CurrentAssets,"3,690,170,000","8,424,159,000","8,744,358,000","3,980,228,000","4,503,280,000","3,876,797,000","3,472,278,000","2,878,794,000","2,281,608,000","2,622,854,000","2,302,521,000","2,128,304,000","1,976,250,000","1,709,496,000","1,654,408,000","868,720,000","605,058,000","544,526,000","474,664,000","397,875,000","654,748,000","559,500,000","186,100,000","131,300,000","75,500,000","29,800,000"
		CashCashEquivalentsAndShortTermInvestments,"1,113,944,000","325,973,000","551,750,000","1,223,385,000","1,907,200,000","1,302,640,000","953,050,000","540,886,000","411,151,000","883,120,000","565,934,000","446,413,000","487,324,000","310,202,000","431,811,000","251,979,000","61,657,000","96,475,000","36,711,000","31,207,000","107,981,000","41,500,000","5,400,000","19,900,000","30,200,000","2,000,000"
			CashAndCashEquivalents,"1,102,372,000","323,038,000","508,234,000","913,187,000","1,499,116,000","965,241,000","946,249,000","533,748,000","393,752,000","860,117,000","539,459,000","410,881,000","447,046,000","310,202,000","431,811,000","251,979,000","61,657,000","96,475,000","36,711,000","31,207,000","107,981,000","41,500,000","5,400,000","19,900,000","30,200,000","2,000,000"
			OtherShortTermInvestments,"11,572,000","2,935,000","43,516,000","310,198,000","408,084,000","337,399,000","6,801,000","7,138,000","17,399,000","23,003,000","26,475,000","35,532,000","40,278,000",,,,,,,,,,,,,
		Receivables,"2,305,065,000","2,397,018,000","2,137,109,000","2,381,381,000","2,220,183,000","2,010,604,000","1,844,568,000","1,742,428,000","1,464,995,000","1,393,672,000","1,369,359,000","1,346,760,000","1,126,693,000","1,081,227,000","970,180,000","462,095,000","387,933,000","344,292,000","333,546,000","293,242,000","435,974,000","416,800,000","153,000,000","91,300,000","40,400,000","24,100,000"
			AccountsReceivable,"1,795,598,000","1,858,608,000","1,714,750,000","1,917,302,000","1,724,228,000","1,525,849,000","1,485,163,000","1,421,303,000","1,195,163,000","1,048,976,000","1,105,903,000","1,075,457,000","927,949,000","932,385,000","853,560,000","462,095,000","387,933,000","344,292,000","333,546,000",,,,,,,
				GrossAccountsReceivable,"1,803,926,000","1,911,532,000","1,933,149,000","2,169,358,000","1,988,372,000","1,768,523,000","1,722,306,000","1,666,425,000","1,445,506,000",,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-8,328,000","-52,924,000","-218,399,000","-252,056,000","-264,144,000","-242,674,000","-237,143,000","-245,122,000","-250,343,000",,,,,,,,,,,,,,,,,
			TaxesReceivable,"19,772,000","68,614,000","49,440,000","10,596,000","60,070,000","83,839,000","10,315,000","55,454,000","0","40,330,000","0",,,,,,,,,,,,,,,
