name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,03/31/2016
TotalAssets,"1,133,800,000","1,155,500,000","995,700,000","725,400,000","750,100,000","684,600,000","571,500,000","548,438,000","527,682,000","519,556,000","444,087,000","380,869,000","442,062,000","353,018,000"
	CurrentAssets,"574,300,000","588,100,000","472,100,000","413,200,000","446,000,000","406,100,000","306,900,000","300,969,000","282,778,000","283,318,000","216,624,000","163,223,000","227,381,000","154,732,000"
		CashCashEquivalentsAndShortTermInvestments,"72,000,000","34,200,000","25,000,000","88,600,000","102,300,000","32,200,000","14,600,000","95,290,000","62,127,000","13,314,000","13,103,000","9,678,000","30,180,000","7,226,000"
			CashAndCashEquivalents,"72,000,000","34,200,000","25,000,000","88,600,000","102,300,000","32,200,000","14,600,000","95,290,000","62,127,000","13,314,000","13,103,000","9,678,000","30,180,000","7,226,000"
				CashFinancial,"72,000,000","34,200,000","25,000,000","88,600,000","102,300,000","32,200,000","14,600,000","86,273,000","62,127,000","13,314,000","13,103,000","9,678,000","30,180,000","7,226,000"
				CashEquivalents,,,,,,,,"9,017,000",,,,,,
		Receivables,"118,200,000","153,800,000","40,700,000","24,400,000","97,500,000","119,200,000","20,400,000","17,037,000","78,379,000","103,396,000","14,100,000","12,925,000","88,982,000","17,475,000"
			AccountsReceivable,"118,200,000","148,300,000","31,300,000","20,400,000","97,500,000","114,500,000","12,400,000","11,944,000","78,379,000","99,587,000","8,543,000","8,710,000","88,982,000","17,475,000"
				GrossAccountsReceivable,"119,400,000","149,500,000","32,200,000","21,300,000","98,700,000","115,300,000","13,300,000","12,770,000","81,910,000","102,115,000","10,007,000","11,333,000","92,279,000","18,894,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,200,000","-1,200,000","-900,000","-900,000","-1,200,000","-800,000","-900,000","-826,000","-3,531,000","-2,528,000","-1,464,000","-2,623,000","-3,297,000","-1,419,000"
			TaxesReceivable,"0","5,500,000","9,400,000","4,000,000","0","4,700,000","8,000,000","5,093,000","0","3,809,000","5,557,000","4,215,000",,
