name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,"2,000,000","1,000,000","6,000,000","185,000,000","293,000,000","160,000,000","106,000,000","70,000,000","156,000,000",,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,"2,000,000","1,000,000","6,000,000","185,000,000","293,000,000","160,000,000","106,000,000","70,000,000","156,000,000",,,,,,,
		AssetsHeldForSaleCurrent,,"3,000,000","12,000,000","12,000,000","12,000,000","16,000,000","29,000,000",,"0",,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"86,000,000","73,000,000","80,000,000","74,000,000","77,000,000","233,000,000","269,000,000","171,000,000","179,000,000","190,000,000","123,000,000","115,000,000","142,000,000","56,000,000","61,000,000","31,000,000","29,000,000","17,000,000","25,000,000","20,000,000","948,000,000","177,000,000","179,000,000","149,000,000","222,000,000","163,000,000","279,000,000","113,000,000","89,000,000","92,000,000","81,000,000","80,000,000","79,000,000"
	TotalNonCurrentAssets,"7,945,000,000","7,751,000,000","6,647,000,000","6,155,000,000","5,842,000,000","5,748,000,000","5,799,000,000","5,956,000,000","5,891,000,000","5,750,000,000","5,313,000,000","5,365,000,000","6,020,000,000","5,918,000,000","6,030,000,000","5,511,000,000","5,470,000,000","5,146,000,000","5,392,000,000","5,348,000,000","4,406,000,000","3,572,000,000","3,568,000,000","2,955,000,000","2,334,000,000","2,344,000,000","2,186,000,000","1,468,000,000","1,487,000,000","1,096,000,000","1,108,000,000","909,000,000","897,000,000"
		NetPPE,"4,058,000,000","3,811,000,000","3,425,000,000","3,112,000,000","2,956,000,000","2,899,000,000","2,932,000,000","2,903,000,000","2,904,000,000","2,754,000,000","2,806,000,000","2,819,000,000","2,772,000,000","2,521,000,000","2,012,000,000","2,010,000,000","1,950,000,000","1,887,000,000","1,843,000,000","1,821,000,000","1,700,000,000","1,618,000,000","1,753,000,000","1,522,000,000","1,306,000,000","1,133,000,000","894,000,000","846,000,000","870,000,000","932,000,000","945,000,000","805,000,000","804,000,000"
			GrossPPE,"6,898,000,000","6,386,000,000","5,756,000,000","5,131,000,000","4,811,000,000","4,623,000,000","4,547,000,000","4,381,000,000","4,148,000,000","3,771,000,000","3,605,000,000","3,368,000,000","3,067,000,000","2,561,000,000","4,404,000,000","4,304,000,000","4,187,000,000","4,126,000,000","3,846,000,000","3,767,000,000","3,692,000,000","3,498,000,000","3,585,000,000","3,341,000,000","3,067,000,000","2,901,000,000","2,669,000,000","2,560,000,000","2,527,000,000","2,495,000,000","2,438,000,000","2,140,000,000","2,086,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,
				LandAndImprovements,"221,000,000","224,000,000","251,000,000","189,000,000","186,000,000","196,000,000","210,000,000","222,000,000","221,000,000","218,000,000","227,000,000","210,000,000","243,000,000","188,000,000",,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"1,186,000,000","1,091,000,000","944,000,000","874,000,000","788,000,000","789,000,000","811,000,000","789,000,000","727,000,000","687,000,000","643,000,000","581,000,000","537,000,000","470,000,000",,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"4,978,000,000","4,628,000,000","4,211,000,000","3,818,000,000","3,478,000,000","3,405,000,000","3,353,000,000","3,223,000,000","2,932,000,000","2,699,000,000","2,546,000,000","2,305,000,000","2,156,000,000","1,732,000,000",,,,,,,,,,,,,,,,,,,
				OtherProperties,"203,000,000","3,811,000,000",,"3,112,000,000",,,"2,932,000,000","2,903,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"310,000,000","443,000,000","350,000,000","250,000,000","359,000,000","233,000,000","173,000,000","147,000,000","268,000,000","167,000,000","189,000,000","272,000,000","131,000,000","171,000,000",,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-2,840,000,000","-2,575,000,000","-2,331,000,000","-2,019,000,000","-1,855,000,000","-1,724,000,000","-1,615,000,000","-1,478,000,000","-1,244,000,000","-1,017,000,000","-799,000,000","-549,000,000","-295,000,000","-40,000,000","-2,392,000,000","-2,294,000,000","-2,237,000,000","-2,239,000,000","-2,003,000,000","-1,946,000,000","-1,992,000,000","-1,880,000,000","-1,832,000,000","-1,819,000,000","-1,761,000,000","-1,768,000,000","-1,775,000,000","-1,714,000,000","-1,657,000,000","-1,563,000,000","-1,493,000,000","-1,335,000,000","-1,282,000,000"
		GoodwillAndOtherIntangibleAssets,"3,653,000,000","3,728,000,000","2,867,000,000","2,474,000,000","2,166,000,000","2,185,000,000","2,206,000,000","2,188,000,000","2,217,000,000","2,178,000,000","2,293,000,000","2,314,000,000","2,384,000,000","2,611,000,000","215,000,000","198,000,000","138,000,000","122,000,000","610,000,000","636,000,000","743,000,000","762,000,000","778,000,000","286,000,000","249,000,000","151,000,000","77,000,000","84,000,000","96,000,000","99,000,000","99,000,000",,
			Goodwill,"1,932,000,000","1,949,000,000","1,507,000,000","1,336,000,000","1,167,000,000","1,168,000,000","1,166,000,000","1,143,000,000","1,144,000,000","1,088,000,000","1,124,000,000","1,124,000,000","1,174,000,000","1,313,000,000","215,000,000","198,000,000","138,000,000","122,000,000","610,000,000","636,000,000","743,000,000","762,000,000","778,000,000","286,000,000","249,000,000","151,000,000",,,,,,,
			OtherIntangibleAssets,"1,721,000,000","1,779,000,000","1,360,000,000","1,138,000,000","999,000,000","1,017,000,000","1,040,000,000","1,045,000,000","1,073,000,000","1,090,000,000","1,169,000,000","1,190,000,000","1,210,000,000","1,298,000,000",,,,,,,,,,,,,"77,000,000","84,000,000","96,000,000","99,000,000","99,000,000",,
		InvestmentsAndAdvances,,,,,,,,,,,,,,,"77,000,000","82,000,000","81,000,000","51,000,000","48,000,000","62,000,000","65,000,000","45,000,000","52,000,000","64,000,000","50,000,000","74,000,000",,,,,,,
		NonCurrentDeferredAssets,"46,000,000","43,000,000","144,000,000","375,000,000","492,000,000","444,000,000","436,000,000","604,000,000","538,000,000","529,000,000","31,000,000","42,000,000","487,000,000","549,000,000","1,432,000,000","999,000,000","1,310,000,000","1,354,000,000","1,187,000,000","1,075,000,000","547,000,000","608,000,000","328,000,000","474,000,000","252,000,000","308,000,000",,,,,,,
			NonCurrentDeferredTaxesAssets,"46,000,000","43,000,000","144,000,000","375,000,000","492,000,000","444,000,000","436,000,000","604,000,000","538,000,000","529,000,000","31,000,000","42,000,000","487,000,000","549,000,000","1,432,000,000","999,000,000","1,310,000,000","1,354,000,000","1,187,000,000","1,075,000,000","547,000,000","608,000,000","328,000,000","474,000,000","252,000,000","308,000,000",,,,,,,
		OtherNonCurrentAssets,"188,000,000","169,000,000","211,000,000","194,000,000","228,000,000","220,000,000","225,000,000","261,000,000","232,000,000","289,000,000","183,000,000","190,000,000","377,000,000","237,000,000","2,294,000,000","2,222,000,000","1,991,000,000","1,732,000,000","1,704,000,000","1,754,000,000","1,351,000,000","539,000,000","657,000,000","609,000,000","477,000,000","678,000,000",,,,,,,
