name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
MarketCap,"4,389,163,435","3,283,083,359","5,155,073,764","5,167,478,774","4,152,761,794","4,039,458,145","2,527,543,160","2,936,341,530","4,795,790,726","5,008,427,827","4,649,386,833","3,686,093,629","3,447,386,600"
EnterpriseValue,"5,470,975,435","4,317,513,359","6,043,210,764","6,052,054,774","5,056,349,794","4,184,148,145","2,673,025,160","3,096,092,530","4,968,523,726","5,196,933,827","4,836,238,833","3,867,532,629","3,801,651,600"
PeRatio,"28.6","22.285","40.008","44.868","38.091","37.135","18.369","21.862","38.374","50.602","63.697","57.838","75.684"
ForwardPeRatio,"54.348","24.753","37.736","37.175","37.879","37.736","24.155","24.39","49.02","52.083","60.606","54.645","69.93"
PsRatio,"2.127","1.647","2.719","2.857","2.454","2.521","1.63","2.009","3.202","3.751","3.619","3.05","3.23"
PbRatio,"5.423","4.295","7.13","7.702","6.698","6.913","4.484","5.492","9.836","11.309","11.978","10.207","25.281"
EnterprisesValueRevenueRatio,"2.577","7.78","11.467","11.614","9.718","8.771","6.12","7.103","11.441","12.897","12.416","11.245","11.05"
EnterprisesValueEBITDARatio,"22.331","62.789","96.187","121.559","79.476","73.476","69.861","64.978","100.694","108.179","112.928","101.311","100.613"
