name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2001
		GainsLossesNotAffectingRetainedEarnings,,,,,,,,,"0","-2,157,000","-4,683,000","-7,414,000","345,000","1,915,000","745,000",,"-196,000",
TotalCapitalization,"2,102,351,000","2,142,067,000","2,148,154,000","2,095,455,000","2,071,713,000","394,030,000","369,272,000","408,991,000","398,679,000","323,306,000","346,082,000","421,656,000","520,773,000","575,622,000","486,033,000","522,682,000","465,735,000","293,035,000"
CommonStockEquity,"824,953,000","596,338,000","376,209,000","309,620,000","149,195,000","40,200,000","15,368,000","48,096,000","101,224,000","159,505,000","46,947,000","102,474,000","241,547,000","256,864,000","171,135,000","210,890,000","298,933,000","293,035,000"
CapitalLeaseObligations,"298,601,000",,,,,,,,,,,,,,,,,
NetTangibleAssets,"-72,457,000","-247,227,000","-496,769,000","-590,164,000","-780,034,000","-116,802,000","-96,652,000","-64,305,000","-11,626,000","46,112,000","-66,994,000","-12,759,000","75,391,000","75,203,000","8,105,000","47,738,000","135,689,000","293,035,000"
WorkingCapital,"485,566,000","642,492,000","597,514,000","461,284,000","459,091,000","159,373,000","204,738,000","262,637,000","245,806,000","158,898,000","171,801,000","237,365,000","255,289,000","295,596,000","230,909,000","278,630,000","227,139,000",
InvestedCapital,"2,116,226,000","2,157,632,000","2,160,629,000","2,111,672,000","2,100,866,000","424,104,000","369,339,000","409,051,000","398,733,000","328,607,000","346,130,000","421,700,000","520,813,000","576,064,000","486,135,000","524,390,000","492,266,000","293,035,000"
TangibleBookValue,"-72,457,000","-247,227,000","-496,769,000","-590,164,000","-780,034,000","-116,802,000","-96,652,000","-64,305,000","-11,626,000","46,112,000","-66,994,000","-12,759,000","75,391,000","75,203,000","8,105,000","47,738,000","135,689,000","293,035,000"
TotalDebt,"1,589,874,000","1,561,294,000","1,784,420,000","1,802,052,000","1,951,671,000","383,904,000","353,971,000","360,955,000","297,509,000","169,102,000","299,183,000","319,226,000","279,266,000","319,200,000","315,000,000","313,500,000","193,333,000",
NetDebt,"1,277,177,000","1,551,167,000","1,726,887,000","1,787,603,000","1,886,608,000","366,131,000","299,275,000","229,523,000","150,676,000","65,868,000","215,085,000","212,335,000","181,692,000","225,942,000","284,264,000","262,872,000","187,748,000",
ShareIssued,"116,052,000","115,078,000","113,572,000","111,564,000","109,726,000","98,226,000","97,905,000","96,916,000","96,806,000","96,769,000","36,347,000","39,432,158","38,966,106","38,017,630","36,015,898","35,634,120","35,634,120","35,634,120"
OrdinarySharesNumber,"116,052,000","115,078,000","113,572,000","111,564,000","109,726,000","98,226,000","97,905,000","96,916,000","96,806,000","96,769,000","36,347,000","39,432,158","38,966,106","38,017,630","36,015,898","35,634,120","35,634,120","35,634,120"
