name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
		GainsLossesNotAffectingRetainedEarnings,"-269,751,000","28,152,000","46,272,000","-44,902,000","-216,111,000","-462,557,000","-470,317,000","-445,338,000","-341,974,000","-160,891,000","-84,247,000","-151,972,000","-185,518,000","-216,764,000","75,830,000","84,000,000","-45,299,000","-231,755,000","-112,231,000","-14,819,000","52,969,000","48,317,000","185,397,000","299,304,000","211,207,000","157,728,000","180,204,000","207,164,000","466,436,000","537,049,000","593,796,000","438,139,000","464,201,000","366,978,000","402,946,000","460,403,000","337,337,000","332,258,000","559,591,000","366,866,000","300,977,000","272,038,000","332,564,000","-43,884,000","-294,636,000","-291,851,000","-258,559,000","-9,895,000","159,164,000","163,155,000","78,490,000","-12,170,000","94,546,000","348,543,000","266,779,000","62,529,000","167,853,000","221,146,000","269,686,000","334,270,000","200,112,000","328,737,000","242,611,000","80,473,000","346,940,000","280,077,000","267,086,000","393,791,000","251,530,000","221,542,000","202,800,000","85,082,000","45,754,000",,,,"119,918,000",,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000",,"-17,051,000","-18,530,000","-7,103,000","-6,664,000","-7,108,000","-7,610,000","-4,685,000","-4,971,000","-5,257,000","-5,543,000","-298,000","-319,000","-340,000","-83,000","-103,000","-115,000","113,765,000","146,620,000","89,056,000","-153,000","72,676,000","15,235,000","-9,258,000","-583,000","-16,810,000","339,600,000","408,900,000","488,600,000","550,700,000","567,300,000","547,700,000","545,600,000","534,100,000","509,200,000","463,900,000","413,800,000","459,500,000","418,900,000","398,800,000","419,600,000"
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"210,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalCapitalization,"8,816,027,000","9,369,683,000","9,219,991,000","9,120,869,000","8,663,313,000","8,140,463,000","8,565,647,000","8,477,959,000","8,977,629,000","9,002,627,000","8,602,671,000","9,218,083,000","8,981,107,000","8,708,572,000","8,674,214,000","8,618,535,000","8,478,668,000","8,246,953,000","8,124,687,000","8,365,028,000","8,304,995,000","8,089,484,000","8,020,550,000","7,961,230,000","7,525,843,000","7,789,226,000","7,205,755,000","7,151,091,000","7,635,040,000","7,551,628,000","7,273,622,000","6,905,588,000","6,819,223,000","6,559,587,000","6,580,041,000","6,640,745,000","6,402,346,000","7,101,577,000","7,182,668,000","6,523,738,000","6,854,981,000","7,119,706,000","7,102,886,000","6,563,301,000","6,057,692,000","6,139,444,000","6,215,619,000","6,746,600,000","6,811,938,000","6,863,680,000","7,007,708,000","6,733,246,000","6,192,527,000","6,103,292,000","5,819,423,000","5,374,595,000","5,261,604,000","5,135,150,000","4,596,148,000","5,076,920,000","4,751,031,000","4,957,812,000","4,529,425,000","4,360,378,000","4,360,163,000","3,614,019,000","3,686,145,000","3,504,391,000","3,148,310,000","2,817,584,000","2,747,021,000","2,594,835,000","2,504,780,000","2,169,293,000","2,168,988,000","2,156,690,000","2,128,951,000","2,031,971,000","1,919,412,000","1,849,191,000","1,821,604,000","1,327,482,000","1,377,800,000","1,410,800,000","1,455,300,000","1,479,200,000","1,458,600,000","1,399,400,000","1,356,300,000","1,307,500,000","1,246,900,000","1,165,200,000","1,072,700,000","1,086,000,000","1,014,600,000","972,800,000","966,400,000"
CommonStockEquity,"8,580,944,000","9,132,925,000","8,983,258,000","8,884,160,000","8,426,629,000","7,903,804,000","8,329,013,000","8,241,349,000","8,344,180,000","8,369,232,000","7,969,331,000","8,584,798,000","8,347,876,000","8,075,396,000","8,041,092,000","7,985,468,000","7,840,299,000","7,608,585,000","7,486,320,000","7,726,662,000","7,666,630,000","7,451,120,000","7,382,187,000","7,322,868,000","7,037,511,000","6,968,276,000","6,717,450,000","6,622,800,000","6,816,866,000","6,733,467,000","6,785,372,000","6,417,351,000","6,330,998,000","6,071,375,000","6,091,841,000","6,152,558,000","5,914,170,000","6,283,517,000","6,281,620,000","6,035,599,000","6,036,955,000","6,101,722,000","6,084,952,000","5,545,415,000","5,039,854,000","4,960,355,000","5,036,576,000","5,567,603,000","5,632,984,000","5,684,770,000","5,612,344,000","5,337,925,000","5,196,883,000","5,107,687,000","4,823,856,000","4,379,065,000","4,266,112,000","4,139,694,000","3,600,727,000","4,081,535,000","3,755,679,000","3,712,518,000","3,533,766,000","3,364,769,000","3,364,602,000","3,164,900,000","3,027,072,000","3,055,364,000","2,489,328,000","2,368,646,000","2,298,126,000","2,145,982,000","2,055,968,000","1,720,522,000","1,720,256,000","1,707,996,000","1,680,294,000","1,583,352,000","1,470,829,000","1,400,644,000","1,373,091,000","1,327,482,000","1,377,800,000","1,410,800,000","1,455,300,000","1,479,200,000","1,458,600,000","1,399,400,000","1,356,300,000","1,307,500,000","1,246,900,000","1,165,200,000","1,072,700,000","1,086,000,000","1,014,600,000","972,800,000","966,400,000"
CapitalLeaseObligations,,,,"69,191,000","73,529,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"8,580,944,000","9,132,925,000","8,983,258,000","8,884,160,000","8,426,629,000","7,903,804,000","8,329,013,000","8,241,349,000","8,344,180,000","8,369,232,000","7,969,331,000","8,584,798,000","8,347,876,000","8,075,396,000","8,041,092,000","7,985,468,000","7,840,299,000","7,608,585,000","7,486,320,000","7,726,662,000","7,666,630,000","7,451,120,000","7,382,187,000","7,322,868,000","7,037,511,000","6,968,276,000","6,717,450,000","6,622,800,000","6,816,866,000","6,733,467,000","6,785,372,000","6,417,351,000","6,330,998,000","6,071,375,000","6,091,841,000","6,152,558,000","5,914,170,000","6,283,517,000","6,281,620,000","6,035,599,000","6,036,955,000","6,101,722,000","6,084,952,000","5,545,415,000","5,039,854,000","4,960,355,000","5,036,576,000","5,567,603,000","5,632,984,000","5,684,770,000","5,612,344,000","5,337,925,000","5,196,883,000","5,107,687,000","4,823,856,000","4,379,065,000","4,266,112,000","4,139,694,000","3,600,727,000","4,081,535,000","3,755,679,000","3,712,518,000","3,533,766,000","3,364,769,000","3,364,602,000","3,164,900,000","3,027,072,000","3,055,364,000","2,489,328,000","2,368,646,000","2,298,126,000","2,145,982,000","2,055,968,000","1,720,522,000","1,720,256,000","1,707,996,000","1,680,294,000","1,583,352,000","1,470,829,000","1,400,644,000","1,373,091,000","1,327,482,000","1,377,800,000","1,410,800,000","1,455,300,000","1,479,200,000","1,458,600,000","1,399,400,000","1,356,300,000","1,307,500,000","1,246,900,000","1,165,200,000","1,072,700,000","1,086,000,000","1,014,600,000","972,800,000","966,400,000"
InvestedCapital,"9,263,131,000","9,766,757,000","9,617,035,000","9,517,883,000","9,060,297,000","8,537,417,000","8,962,571,000","8,874,853,000","8,977,629,000","9,002,627,000","8,602,671,000","9,218,083,000","8,981,107,000","8,708,572,000","8,674,214,000","8,618,535,000","8,478,668,000","8,246,953,000","8,124,687,000","8,365,028,000","8,304,995,000","8,089,484,000","8,270,548,000","8,211,214,000","7,525,843,000","7,789,226,000","7,205,755,000","7,151,091,000","7,635,040,000","7,551,628,000","7,273,622,000","6,905,588,000","6,819,223,000","6,559,587,000","6,580,041,000","6,680,745,000","6,442,346,000","7,151,577,000","7,182,668,000","6,656,738,000","6,854,981,000","7,119,706,000","7,102,886,000","6,563,301,000","6,057,692,000","6,139,444,000","6,215,619,000","6,746,600,000","6,811,938,000","6,863,680,000","7,007,708,000","6,733,246,000","6,192,527,000","6,103,292,000","5,819,423,000","5,374,595,000","5,261,604,000","5,135,150,000","4,596,148,000","5,076,920,000","4,751,031,000","4,957,812,000","4,599,425,000","4,430,378,000","4,430,163,000","3,684,019,000","3,756,145,000","3,574,391,000","3,218,310,000","2,887,584,000","2,872,021,000","2,699,835,000","2,609,780,000","2,274,293,000","2,302,988,000","2,290,690,000","2,260,951,000","2,266,971,000","2,056,412,000","1,955,191,000","1,927,604,000","1,386,482,000","1,377,800,000","1,410,800,000","1,455,300,000","1,479,200,000","1,458,600,000","1,399,400,000","1,356,300,000","1,307,500,000","1,246,900,000","1,165,200,000","1,072,700,000","1,086,000,000","1,014,600,000","972,800,000","966,400,000"
TangibleBookValue,"8,580,944,000","9,132,925,000","8,983,258,000","8,884,160,000","8,426,629,000","7,903,804,000","8,329,013,000","8,241,349,000","8,344,180,000","8,369,232,000","7,969,331,000","8,584,798,000","8,347,876,000","8,075,396,000","8,041,092,000","7,985,468,000","7,840,299,000","7,608,585,000","7,486,320,000","7,726,662,000","7,666,630,000","7,451,120,000","7,382,187,000","7,322,868,000","7,037,511,000","6,968,276,000","6,717,450,000","6,622,800,000","6,816,866,000","6,733,467,000","6,785,372,000","6,417,351,000","6,330,998,000","6,071,375,000","6,091,841,000","6,152,558,000","5,914,170,000","6,283,517,000","6,281,620,000","6,035,599,000","6,036,955,000","6,101,722,000","6,084,952,000","5,545,415,000","5,039,854,000","4,960,355,000","5,036,576,000","5,567,603,000","5,632,984,000","5,684,770,000","5,612,344,000","5,337,925,000","5,196,883,000","5,107,687,000","4,823,856,000","4,379,065,000","4,266,112,000","4,139,694,000","3,600,727,000","4,081,535,000","3,755,679,000","3,712,518,000","3,533,766,000","3,364,769,000","3,364,602,000","3,164,900,000","3,027,072,000","3,055,364,000","2,489,328,000","2,368,646,000","2,298,126,000","2,145,982,000","2,055,968,000","1,720,522,000","1,720,256,000","1,707,996,000","1,680,294,000","1,583,352,000","1,470,829,000","1,400,644,000","1,373,091,000","1,327,482,000","1,377,800,000","1,410,800,000","1,455,300,000","1,479,200,000","1,458,600,000","1,399,400,000","1,356,300,000","1,307,500,000","1,246,900,000","1,165,200,000","1,072,700,000","1,086,000,000","1,014,600,000","972,800,000","966,400,000"
TotalDebt,"682,187,000","633,832,000","633,777,000","702,914,000","707,197,000","633,613,000","633,558,000","633,504,000","633,449,000","633,395,000","633,340,000","633,285,000","633,231,000","633,176,000","633,122,000","633,067,000","638,369,000","638,368,000","638,367,000","638,366,000","638,365,000","638,364,000","888,361,000","888,346,000","488,332,000","820,950,000","488,305,000","528,291,000","818,174,000","818,161,000","488,250,000","488,237,000","488,225,000","488,212,000","488,200,000","528,187,000","528,176,000","868,060,000","901,048,000","621,139,000","818,026,000","1,017,984,000","1,017,934,000","1,017,886,000","1,017,838,000","1,179,089,000","1,179,043,000","1,178,997,000","1,178,954,000","1,178,910,000","1,395,364,000","1,395,321,000","995,644,000","995,605,000","995,567,000","995,530,000","995,492,000","995,456,000","995,421,000","995,385,000","995,352,000","1,245,294,000","1,065,659,000","1,065,609,000","1,065,561,000","519,119,000","729,073,000","519,027,000","728,982,000","518,938,000","573,895,000","553,853,000","553,812,000","553,771,000","582,732,000","582,694,000","580,657,000","683,619,000","585,583,000","554,547,000","554,513,000","59,000,000",,,,,,,,,,,,,,,
