name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,12/31/2008,09/30/2008,06/30/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"44,611,620,000,000","43,983,780,000,000","42,590,553,000,000","43,346,481,000,000","42,369,111,000,000","38,186,496,000,000","36,336,757,000,000","36,134,388,000,000","33,428,669,000,000","31,923,826,000,000","30,777,779,000,000","30,517,821,000,000","31,297,663,000,000","29,555,705,000,000","28,529,390,000,000","28,490,375,000,000","28,581,387,000,000","28,558,720,000,000","28,041,506,000,000","27,824,417,000,000","27,941,233,000,000","27,684,975,000,000","27,027,649,000,000","26,067,226,000,000","26,576,515,000,000","25,933,478,000,000","25,436,408,000,000","25,408,842,000,000","25,595,559,000,000","26,058,496,000,000","25,773,391,000,000","26,546,901,000,000","24,366,036,000,000","23,142,912,000,000","22,612,315,000,000","22,937,219,000,000","22,651,704,000,000","19,333,859,000,000","19,158,117,000,000","19,339,181,000,000","23,206,256,000,000","19,570,872,000,000","19,485,915,000,000","22,473,671,000,000","18,424,417,000,000","17,969,138,000,000","19,059,715,396,211.84","15,490,402,685,147.61","14,548,995,707,998.2","13,798,000,000,000","13,314,444,431,130","14,491,250,000,000","14,002,987,500,000","14,228,944,241,900","13,331,961,924,910.35","11,019,962,045,775","6,244,580,967,020.95","4,002,115,153,154"
	CurrentAssets,"8,102,294,000,000","8,086,130,000,000","7,585,994,000,000","8,348,748,000,000","7,958,839,000,000","9,025,631,000,000","7,814,328,000,000","8,471,298,000,000","6,201,799,000,000","6,008,289,000,000","5,792,614,000,000","5,965,094,000,000","5,996,628,000,000","5,777,657,000,000","6,118,565,000,000","5,805,802,000,000","5,160,242,000,000","5,573,261,000,000","5,180,521,000,000","5,228,504,000,000","5,083,148,000,000","5,740,166,000,000","5,592,624,000,000","4,781,781,000,000","5,123,415,000,000","5,381,630,000,000","5,230,666,000,000","5,081,678,000,000","5,294,421,000,000","5,443,180,000,000","4,754,447,000,000","5,555,731,000,000","6,117,479,000,000","6,788,585,000,000","6,098,155,000,000","6,702,844,000,000","6,972,989,000,000","5,651,983,000,000","5,294,568,000,000","5,234,373,000,000","6,370,631,000,000","5,955,585,000,000","4,781,839,000,000","5,422,447,000,000","4,004,330,000,000","3,768,829,000,000","4,815,795,890,359.3","4,448,694,211,629.03","4,549,864,096,694.01","4,241,000,000,000","4,065,555,551,490","4,267,500,000,000","4,415,401,250,000","4,043,890,864,580","4,348,600,536,278.25","2,793,499,360,905","1,738,886,747,786.71","1,401,292,595,025"
		CashCashEquivalentsAndShortTermInvestments,"2,268,137,000,000","2,263,244,000,000","1,451,596,000,000","2,862,634,000,000","2,747,455,000,000","3,156,304,000,000","2,335,020,000,000","2,529,655,000,000","2,218,901,000,000","2,158,860,000,000","1,973,079,000,000","2,256,843,000,000","2,081,374,000,000","1,584,980,000,000","2,031,415,000,000","1,668,910,000,000","1,552,274,000,000","1,690,752,000,000","1,458,041,000,000","1,364,497,000,000","1,427,658,000,000","1,719,174,000,000","1,706,230,000,000","1,433,654,000,000","1,816,181,000,000","2,032,672,000,000","1,825,405,000,000","1,651,453,000,000","1,494,669,000,000","1,726,661,000,000","1,739,214,000,000","2,500,617,000,000","2,725,187,000,000","2,779,412,000,000","1,789,901,000,000","2,191,239,000,000","1,753,009,000,000","1,061,187,000,000","969,017,000,000","1,156,504,000,000","1,682,253,000,000","2,370,377,000,000","1,348,145,000,000","1,752,743,000,000","1,112,723,000,000","935,283,000,000","1,670,329,591,556.08","1,192,023,415,168.08","1,249,116,618,795.59","1,006,000,000,000","1,054,444,443,390","1,521,250,000,000","1,511,636,250,000","1,620,403,320,920","1,936,554,538,253.1","1,372,599,238,035","602,822,196,386.36","766,274,969,573"
			CashAndCashEquivalents,"1,270,824,000,000","1,289,713,000,000","1,451,596,000,000","2,057,080,000,000","1,506,699,000,000","2,763,552,000,000","1,796,190,000,000","1,885,744,000,000","1,457,735,000,000","1,447,178,000,000","1,237,629,000,000","1,575,978,000,000","1,505,242,000,000","859,222,000,000","1,099,561,000,000","759,927,000,000","768,922,000,000","1,263,748,000,000","829,659,000,000","740,420,000,000","834,429,000,000","1,332,619,000,000","1,331,263,000,000","1,067,354,000,000","1,398,639,000,000","1,470,615,000,000","1,282,743,000,000","1,124,348,000,000","920,125,000,000","1,168,091,000,000","1,176,948,000,000","1,769,391,000,000","1,650,794,000,000","1,728,505,000,000","958,071,000,000","1,385,026,000,000","778,509,000,000","247,736,000,000","292,307,000,000","463,136,000,000","953,855,000,000","216,619,000,000","699,055,000,000","1,011,340,000,000","508,740,000,000","395,967,000,000","886,348,316,485.8","463,542,090,315.81","374,416,908,292.71","358,000,000,000","294,444,444,150","332,500,000,000","309,076,250,000","664,294,187,200","867,650,462,046.9","90,293,299,395","85,272,933,087.68","437,367,801,986"
			OtherShortTermInvestments,"997,313,000,000","973,531,000,000",,"805,554,000,000","1,240,756,000,000","392,752,000,000","538,830,000,000","643,911,000,000","761,166,000,000","711,682,000,000","735,450,000,000","680,865,000,000","576,132,000,000","725,758,000,000","931,854,000,000","908,983,000,000","783,352,000,000","427,004,000,000","628,382,000,000","624,077,000,000","593,229,000,000","386,555,000,000","374,967,000,000","366,300,000,000","417,542,000,000","562,057,000,000","542,662,000,000","527,105,000,000","574,544,000,000","558,570,000,000","562,266,000,000","731,226,000,000","1,074,393,000,000","1,050,907,000,000","831,830,000,000","806,213,000,000","974,500,000,000","813,451,000,000","676,710,000,000","693,368,000,000","728,398,000,000","2,153,758,000,000","649,090,000,000","741,403,000,000","603,983,000,000","539,316,000,000","783,981,275,070.28","728,481,324,852.27","874,699,710,502.88","648,000,000,000","759,999,999,240","1,188,750,000,000","1,202,560,000,000","956,109,133,720","1,068,904,076,206.2","1,282,305,938,640","517,549,263,298.68","328,907,167,587"
		Receivables,"3,330,037,000,000","3,435,549,000,000","3,065,138,000,000","3,418,429,000,000","3,095,643,000,000","3,748,917,000,000","3,252,095,000,000","3,778,610,000,000","3,449,672,000,000","3,207,291,000,000","3,292,226,000,000","3,219,148,000,000","3,421,349,000,000","3,646,388,000,000","3,539,576,000,000","3,588,922,000,000","3,072,501,000,000","3,321,420,000,000","3,172,800,000,000","3,123,738,000,000","3,157,189,000,000","3,594,441,000,000","3,313,536,000,000","2,973,587,000,000","2,980,314,000,000","2,987,337,000,000","3,013,985,000,000","3,013,974,000,000","2,621,926,000,000","2,586,617,000,000","2,542,109,000,000","2,582,599,000,000","2,832,435,000,000","3,383,706,000,000","3,896,003,000,000","4,032,991,000,000","4,584,995,000,000","4,252,467,000,000","3,914,093,000,000","3,650,815,000,000","4,162,613,000,000","3,345,119,000,000","3,157,990,000,000","3,365,145,000,000","2,586,878,000,000","2,537,125,000,000","10,065,547,774,147.95","3,029,061,465,119.91","3,021,459,979,051.75","3,021,000,000,000","2,799,999,997,200","2,566,250,000,000","2,698,891,250,000","2,295,373,664,700","2,278,688,573,256.9","1,332,030,338,010","1,082,926,386,113.92","571,915,392,871"
			AccountsReceivable,"2,230,979,000,000","2,218,259,000,000","2,179,038,000,000","1,962,911,000,000","2,008,640,000,000","2,549,898,000,000","1,987,902,000,000","2,090,501,000,000","2,126,007,000,000","2,128,250,000,000","2,221,284,000,000","2,160,062,000,000","2,240,926,000,000","2,324,873,000,000","2,199,983,000,000","2,328,795,000,000","2,344,867,000,000","2,555,497,000,000","2,443,502,000,000","2,374,763,000,000","2,392,150,000,000","2,735,086,000,000","2,483,091,000,000","2,245,130,000,000","2,257,316,000,000","2,272,797,000,000","2,266,083,000,000","2,223,429,000,000","1,954,920,000,000","1,950,202,000,000","1,843,465,000,000","2,485,797,000,000","2,732,006,000,000","3,284,063,000,000","3,794,094,000,000","4,032,991,000,000","4,489,573,000,000","4,156,956,000,000","3,823,051,000,000","3,564,201,000,000","4,076,936,000,000","3,258,364,000,000","3,065,037,000,000","3,246,058,000,000","2,586,878,000,000","2,537,125,000,000","2,724,797,758,585.56","2,962,535,252,246.46","3,021,459,979,051.75","1,662,000,000,000","1,485,555,554,070","1,656,250,000,000","1,578,401,250,000","1,442,467,377,920","1,182,215,508,809.7","1,059,042,980,917.5","1,082,926,386,113.92",
				GrossAccountsReceivable,"2,480,419,000,000","2,471,146,000,000",,,"2,268,680,000,000","2,817,364,000,000","2,247,128,000,000","2,352,126,000,000","2,365,270,000,000","2,376,052,000,000","2,463,584,000,000","2,408,010,000,000","2,482,502,000,000","2,585,619,000,000","2,451,291,000,000","2,579,257,000,000","2,583,558,000,000","2,799,114,000,000","2,677,060,000,000","2,609,482,000,000","2,614,059,000,000","2,973,329,000,000","2,710,738,000,000","2,472,484,000,000","2,482,001,000,000","2,506,775,000,000","2,488,979,000,000","2,447,974,000,000","2,166,293,000,000","2,183,076,000,000","2,061,497,000,000","2,791,041,000,000",,"3,284,063,000,000","4,091,475,000,000","4,347,012,000,000","4,785,236,000,000",,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-249,440,000,000","-252,887,000,000",,,"-260,040,000,000","-267,466,000,000","-259,226,000,000","-261,625,000,000","-239,263,000,000","-247,802,000,000","-242,300,000,000","-247,948,000,000","-241,576,000,000","-260,746,000,000","-251,308,000,000","-250,462,000,000","-238,691,000,000","-243,617,000,000","-233,558,000,000","-234,719,000,000","-221,909,000,000","-238,243,000,000","-227,647,000,000","-227,354,000,000","-224,685,000,000","-233,978,000,000","-222,896,000,000","-224,545,000,000","-211,373,000,000","-232,874,000,000","-218,032,000,000","-305,244,000,000",,,"-297,381,000,000","-314,021,000,000","-295,663,000,000",,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"66,123,000,000","75,102,000,000",,"72,096,000,000","59,094,000,000","70,837,000,000","74,904,000,000","78,892,000,000","62,830,000,000","74,406,000,000","79,507,000,000","70,000,000,000","58,979,000,000","65,702,000,000","66,187,000,000","66,195,000,000","53,895,000,000","40,195,000,000","32,195,000,000","78,247,000,000","74,512,000,000","79,119,000,000","82,967,000,000","86,784,000,000","79,395,000,000","76,056,000,000","77,905,000,000","93,306,000,000","84,908,000,000","91,582,000,000","86,424,000,000","96,802,000,000","100,429,000,000","99,643,000,000","101,909,000,000",,"98,409,000,000","95,511,000,000","91,042,000,000","86,614,000,000","85,677,000,000","86,755,000,000","92,953,000,000","119,087,000,000",,,"84,617,977,707.48","66,526,212,873.45",,,,,,,,,,
