name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
MarketCap,"2,173,764,965","1,881,883,883","2,505,450,723","2,608,466,226","2,596,074,516","2,684,634,296","2,734,291,804","2,873,430,573","2,815,291,199","2,598,436,729","2,095,013,883","2,037,986,580","2,249,410,021","2,530,493,460","2,659,045,131","2,359,397,297","2,269,069,459","2,282,385,036","2,307,417,675","2,033,819,795","1,952,062,328","1,748,361,324","1,738,683,579","1,577,664,700","1,624,192,560","1,306,821,600"
EnterpriseValue,"2,999,040,965","2,853,426,883","3,444,009,723","3,555,526,226","3,568,206,516","3,576,500,296","3,464,484,804","3,663,252,573","3,627,247,199","3,439,864,729","2,939,207,883","2,970,884,580","3,205,728,021","3,573,445,460","3,538,178,131","2,968,442,297","2,645,663,459","2,766,706,036","2,647,737,675","2,380,970,795","2,233,377,328","2,001,364,324","1,970,194,579","1,776,772,700","1,591,967,560","1,320,103,600"
PeRatio,"6.801","6.062","10.941","11.34","13.034","14.925","18.067","21.472","27.427","35.75","20.041","25.824","17.731","17.343","21","16.116","16.105","17","17.213","15.556","17.358","17.477","17.724","19.64","27.01","23.729"
ForwardPeRatio,,,,,"9.328","9.891",,,,,,,,,,,,,,,,,,,,
PsRatio,"0.421","0.371","0.513","0.541","0.547","0.571","0.588","0.658","0.644","0.597","0.489","0.501","0.596","0.73","0.811","0.785","0.814","0.866","0.965","0.873","0.992","0.938","1.032","1.078","1.44","1.079"
PbRatio,"0.964","0.856","1.188","1.285","1.365","1.516","1.702","1.841","1.834","1.722","1.363","1.341","1.487","1.717","1.782","1.62","1.655","1.764","1.773","1.902","1.853","1.74","1.745","1.755","1.899","2.033"
EnterprisesValueRevenueRatio,"0.569","2.148","2.516","2.718","2.81","2.901","2.919","3.134","3.196","3.079","2.745","2.682","2.789","3.271","3.522","3.31","3.127","3.566","3.269","4.035","4.034","3.589","3.835","3.568","3.594","3.226"
