name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
			GrossPPE,"10,682,000,000","9,661,000,000","13,318,000,000","11,669,000,000","12,116,000,000","12,557,000,000","13,381,000,000","12,546,000,000","11,043,000,000","10,258,000,000","9,724,000,000","8,696,000,000","8,574,000,000","7,624,000,000","6,813,000,000","7,751,000,000","7,221,000,000","6,836,000,000","7,025,000,000","7,326,000,000",
				Properties,"3,568,000,000","3,573,000,000","4,282,000,000","3,786,000,000","4,003,000,000","4,142,000,000","4,478,000,000","4,316,000,000","0","0","0","0","0","0","0","0","0","0","0","0",
				LandAndImprovements,,,,,,,,,"3,648,000,000","3,440,000,000","3,113,000,000","2,817,000,000","2,789,000,000","2,488,000,000","2,298,000,000","2,684,000,000","2,517,000,000","2,215,000,000","2,303,000,000","2,513,000,000",
				MachineryFurnitureEquipment,"5,620,000,000","5,624,000,000","8,336,000,000","7,368,000,000","7,554,000,000","7,762,000,000","8,258,000,000","7,603,000,000","6,847,000,000","6,371,000,000","6,047,000,000","5,345,000,000","5,500,000,000","4,963,000,000","4,383,000,000","4,946,000,000","4,600,000,000","4,364,000,000","4,534,000,000","4,683,000,000",
				OtherProperties,"994,000,000",,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"500,000,000","464,000,000","700,000,000","515,000,000","559,000,000","653,000,000","645,000,000","627,000,000","548,000,000","447,000,000","564,000,000","534,000,000","285,000,000","173,000,000","132,000,000","121,000,000","104,000,000","257,000,000","188,000,000","130,000,000",
			AccumulatedDepreciation,"-5,716,000,000","-5,528,000,000","-7,955,000,000","-6,926,000,000","-6,840,000,000","-6,905,000,000","-7,127,000,000","-6,599,000,000","-6,121,000,000","-5,902,000,000","-5,652,000,000","-5,134,000,000","-5,328,000,000","-4,813,000,000","-4,248,000,000","-4,770,000,000","-4,381,000,000","-4,044,000,000","-4,022,000,000","-4,083,000,000",
		GoodwillAndOtherIntangibleAssets,"13,077,000,000","13,371,000,000","13,821,000,000","11,497,000,000","12,008,000,000","12,755,000,000","13,967,000,000","13,727,000,000","9,522,000,000","4,786,000,000","3,469,000,000","3,228,000,000","2,691,000,000","2,890,000,000","2,828,000,000","3,095,000,000","2,880,000,000","2,912,000,000","3,299,000,000","3,155,000,000","2,904,000,000"
			Goodwill,"10,825,000,000","10,764,000,000","11,199,000,000","9,501,000,000","9,671,000,000","10,053,000,000","10,670,000,000","10,226,000,000","7,269,000,000","4,085,000,000","3,026,000,000","2,817,000,000","2,421,000,000","2,581,000,000",,,"2,331,000,000",,,,
			OtherIntangibleAssets,"2,252,000,000","2,607,000,000","2,622,000,000","1,996,000,000","2,337,000,000","2,702,000,000","3,297,000,000","3,501,000,000","2,253,000,000","701,000,000","443,000,000","411,000,000","270,000,000","309,000,000","2,828,000,000","3,095,000,000","549,000,000","2,912,000,000","3,299,000,000","3,155,000,000",
		InvestmentsAndAdvances,"33,000,000","87,000,000","237,000,000","227,000,000","236,000,000","242,000,000","269,000,000","558,000,000","156,000,000","19,000,000","49,000,000",,,,,,,,,,"1,377,000,000"
			LongTermEquityInvestment,"33,000,000","87,000,000","158,000,000","170,000,000","178,000,000","177,000,000","197,000,000","213,000,000",,,,,,,,,,,,,
			InvestmentinFinancialAssets,,,"79,000,000","57,000,000","58,000,000","65,000,000","72,000,000","345,000,000",,,,,,,,,,,,,
				AvailableForSaleSecurities,,,"79,000,000","57,000,000","58,000,000","65,000,000","72,000,000","345,000,000",,,,,,,,,,,,,
		FinancialAssets,,,"101,000,000","126,000,000","186,000,000","189,000,000","128,000,000","144,000,000",,,,,,,,,,,,,
