name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalRevenue,"13,860,000,000","3,209,000,000","3,401,000,000","3,559,000,000","3,691,000,000","3,541,000,000","3,472,000,000","3,524,000,000","3,573,000,000","3,445,000,000","3,271,000,000","3,236,000,000","3,261,000,000","3,192,000,000","2,967,000,000","3,138,000,000","3,234,000,000","3,055,000,000"
	OperatingRevenue,"13,860,000,000","3,209,000,000","3,401,000,000","3,559,000,000","3,691,000,000","3,541,000,000","3,472,000,000","3,524,000,000","3,573,000,000","3,445,000,000","3,271,000,000","3,236,000,000","3,261,000,000","3,192,000,000","2,967,000,000","3,138,000,000","3,234,000,000","3,055,000,000"
CostOfRevenue,"10,885,000,000","2,476,000,000","2,670,000,000","2,800,000,000","2,939,000,000","2,818,000,000","2,845,000,000","2,881,000,000","2,903,000,000","2,768,000,000","2,656,000,000","2,626,000,000","2,583,000,000","2,492,000,000","2,375,000,000","2,503,000,000","2,533,000,000","2,400,000,000"
GrossProfit,"2,975,000,000","733,000,000","731,000,000","759,000,000","752,000,000","723,000,000","627,000,000","643,000,000","670,000,000","677,000,000","615,000,000","610,000,000","678,000,000","700,000,000","592,000,000","635,000,000","701,000,000","655,000,000"
OperatingExpense,"1,286,000,000","313,000,000","325,000,000","314,000,000","336,000,000","337,000,000","315,000,000","300,000,000","331,000,000","337,000,000","320,000,000","320,000,000","371,000,000","382,000,000","441,000,000","395,000,000","404,000,000","369,000,000"
	SellingGeneralAndAdministration,"695,000,000","169,000,000","181,000,000","167,000,000","178,000,000","178,000,000","140,000,000","134,000,000","158,000,000","172,000,000","151,000,000","155,000,000","204,000,000","221,000,000","269,000,000","229,000,000","239,000,000","205,000,000"
	ResearchAndDevelopment,"63,000,000","15,000,000","15,000,000","16,000,000","17,000,000","22,000,000","26,000,000","25,000,000","29,000,000","23,000,000","28,000,000","25,000,000","30,000,000","28,000,000","39,000,000","30,000,000","32,000,000","31,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"528,000,000","129,000,000","129,000,000","131,000,000","141,000,000","137,000,000","149,000,000","141,000,000","144,000,000","142,000,000","141,000,000","140,000,000","137,000,000","133,000,000","133,000,000","136,000,000","133,000,000","133,000,000"
		DepreciationAndAmortizationInIncomeStatement,"528,000,000","129,000,000","129,000,000","131,000,000","141,000,000","137,000,000","149,000,000","141,000,000","144,000,000","142,000,000","141,000,000","140,000,000","137,000,000","133,000,000","133,000,000","136,000,000","133,000,000","133,000,000"
			DepreciationIncomeStatement,,,,,"141,000,000",,,,,,,,,,,,,
