name,ttm,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,12/31/1992,12/31/1991
TotalRevenue,"18,465,900,000","17,592,900,000","16,068,000,000","14,091,000,000","12,157,400,000","10,824,000,000","8,024,900,000","6,259,300,000","4,354,000,000","3,636,800,000","4,400,200,000","3,657,600,000","6,646,100,000","11,296,500,000","15,051,300,000","13,863,700,000","10,840,800,000","8,728,100,000","6,738,831,000","4,455,514,000","3,653,695,000","3,156,200,000","2,176,900,000","837,300,000","547,300,000","437,400,000","393,300,000","190,100,000","182,600,000","124,100,000"
	OperatingRevenue,"18,465,900,000","17,592,900,000","16,068,000,000","14,091,000,000","12,157,400,000","10,824,000,000","8,024,900,000","6,259,300,000","4,354,000,000","3,636,800,000","4,400,200,000","3,657,600,000","6,646,100,000","11,296,500,000","15,051,300,000","13,863,700,000","10,840,800,000","8,728,100,000","6,738,831,000","4,455,514,000","3,653,695,000","3,156,200,000","2,176,900,000","837,300,000","547,300,000","437,400,000","393,300,000","190,100,000","182,600,000","124,100,000"
CostOfRevenue,"14,248,100,000","13,720,900,000","12,398,100,000","11,042,800,000","9,502,600,000","8,535,700,000","6,268,600,000","4,853,500,000","3,492,400,000","3,023,300,000","3,627,600,000","3,538,700,000","8,281,800,000","10,485,100,000","11,418,300,000","10,140,300,000","8,197,300,000","6,805,791,000","5,364,428,000","3,527,142,000","2,916,617,000","2,539,900,000","1,755,800,000","680,900,000","446,500,000","357,700,000","324,900,000","155,200,000","150,300,000","100,000,000"
GrossProfit,"4,217,800,000","3,872,000,000","3,669,900,000","3,048,200,000","2,654,800,000","2,288,300,000","1,756,300,000","1,405,800,000","861,600,000","613,500,000","772,600,000","118,900,000","-1,635,700,000","811,400,000","3,633,000,000","3,723,400,000","2,643,500,000","1,922,309,000","1,374,403,000","928,372,000","737,078,000","616,300,000","421,100,000","156,400,000","100,800,000","79,700,000","68,400,000","34,900,000","32,300,000","24,100,000"
OperatingExpense,"1,908,100,000","1,832,500,000","1,676,800,000","1,471,600,000","1,320,300,000","1,186,000,000","965,400,000","766,300,000","614,100,000","559,100,000","599,200,000","601,100,000","891,900,000","1,295,300,000","1,658,800,000","1,374,200,000","1,080,000,000","915,351,000","714,540,000","479,400,000","420,366,000","342,900,000","241,400,000","93,900,000","56,500,000","46,500,000","40,300,000","21,200,000","18,100,000","13,300,000"
	SellingGeneralAndAdministration,"1,908,100,000","1,832,500,000","1,676,800,000","1,471,600,000","1,320,300,000","1,186,000,000","965,400,000","766,300,000","614,100,000","556,300,000","599,200,000","601,100,000","891,900,000","1,295,300,000","1,658,800,000","1,374,200,000","1,080,000,000","915,351,000","714,540,000","479,400,000","395,874,000","322,100,000","231,600,000","89,500,000","53,900,000","44,500,000","39,100,000","20,800,000","17,800,000","13,100,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"24,492,000","20,800,000","9,800,000","4,400,000","2,600,000","2,000,000","1,200,000","400,000","300,000","200,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"24,492,000","20,800,000","9,800,000","4,400,000","2,600,000","2,000,000","1,200,000","400,000","300,000","200,000"
	OtherOperatingExpenses,,"-31,400,000","-45,300,000","-11,000,000","-12,700,000","-18,400,000","-13,100,000","-14,900,000","-12,200,000","2,800,000",,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,309,700,000","2,039,500,000","1,993,100,000","1,576,600,000","1,334,500,000","1,102,300,000","790,900,000","639,500,000","247,500,000","54,400,000","173,400,000","-482,200,000","-2,527,600,000","-483,900,000","1,974,200,000","2,349,200,000","1,563,500,000","1,006,958,000","659,863,000","448,972,000","316,712,000","273,400,000","179,700,000","62,500,000","44,300,000","33,200,000","28,100,000","13,700,000","14,200,000","10,800,000"
NetNonOperatingInterestIncomeExpense,,,,"14,500,000","13,500,000","12,500,000","10,200,000","3,400,000","-16,700,000","-42,300,000","-78,200,000","-86,800,000",,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,"14,500,000","13,500,000","12,500,000","10,200,000","8,500,000","10,200,000","9,600,000","10,000,000","10,400,000",,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,"0","0","5,100,000","26,900,000","51,900,000","88,200,000","97,200,000",,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"121,600,000","85,800,000","66,900,000","11,000,000","5,500,000","8,600,000","13,100,000","14,900,000","12,100,000",,"4,300,000","16,700,000","-72,900,000","-482,200,000","67,900,000","50,600,000","28,700,000","13,796,000","-839,000","-27,078,000","8,355,000","6,900,000","-4,300,000","2,600,000","1,500,000","600,000","500,000","200,000","700,000","600,000"
	EarningsFromEquityInterest,,"500,000","2,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"82,100,000","53,900,000","18,800,000","0","-7,200,000","-9,800,000",,"0","12,100,000",,"4,300,000","16,700,000","-72,900,000","-482,200,000","67,900,000","50,600,000","28,700,000","13,796,000","-839,000","-27,078,000","8,355,000","6,900,000","-4,300,000","2,600,000","1,500,000","600,000","500,000","200,000","700,000","600,000"
		ImpairmentOfCapitalAssets,,,"0","0","7,200,000","9,800,000",,,,,"0","0",,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,"-4,300,000","-16,700,000",,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"82,100,000","53,900,000","18,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"39,000,000","31,400,000","45,300,000","11,000,000","12,700,000","18,400,000","13,100,000","14,900,000",,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"2,431,300,000","2,125,300,000","2,060,000,000","1,602,100,000","1,353,500,000","1,123,400,000","814,200,000","657,800,000","242,900,000","12,100,000","99,500,000","-552,300,000","-2,631,800,000","-951,200,000","1,987,100,000","2,378,600,000","1,582,900,000","1,008,162,000","647,507,000","407,797,000","309,224,000","263,800,000","159,100,000","59,900,000","44,500,000","32,500,000","28,600,000","14,000,000","14,200,000","9,000,000"
TaxProvision,"537,400,000","506,700,000","597,700,000","563,700,000","467,200,000","372,700,000","280,700,000","195,100,000","-713,400,000","-59,700,000","-145,600,000","-7,000,000","1,800,000","-238,700,000","753,800,000","908,100,000","607,800,000","382,207,000","242,815,000","152,924,000","117,505,000","104,000,000","65,700,000","23,700,000","17,100,000","12,000,000","10,900,000","5,100,000","5,000,000","3,200,000"
NetIncomeCommonStockholders,"1,894,100,000","1,618,500,000","1,460,300,000","1,038,400,000","886,300,000","750,700,000","533,500,000","462,700,000","956,300,000","71,800,000","245,100,000","-545,300,000","-2,633,600,000","-712,500,000","1,233,300,000","1,470,500,000","975,100,000","625,955,000","404,692,000","257,009,000","191,719,000","159,800,000","93,400,000","36,200,000","27,400,000","20,500,000","17,700,000","8,900,000","9,200,000","5,800,000"
	NetIncome,"1,894,100,000","1,618,500,000","1,460,300,000","1,038,400,000","886,300,000","750,700,000","533,500,000","462,700,000","956,300,000","71,800,000","245,100,000","-545,300,000","-2,633,600,000","-712,500,000","1,233,300,000","1,470,500,000","975,100,000","625,955,000","404,692,000","257,009,000","191,719,000","159,800,000","93,400,000","36,200,000","27,400,000","20,500,000","17,700,000","8,900,000","9,200,000","5,800,000"
		NetIncomeIncludingNoncontrollingInterests,"1,893,900,000","1,618,600,000","1,462,300,000","1,038,400,000","886,300,000","750,700,000","533,500,000","462,700,000","956,300,000","71,800,000","245,100,000","-545,300,000","-2,633,600,000","-712,500,000","1,233,300,000","1,470,500,000","975,100,000","625,955,000","404,692,000","257,009,000","191,719,000","159,800,000","93,400,000","36,200,000","27,400,000","20,500,000","17,700,000","8,900,000","9,200,000","5,800,000"
			NetIncomeContinuousOperations,"1,893,900,000","1,618,600,000","1,462,300,000","1,038,400,000","886,300,000","750,700,000","533,500,000","462,700,000","956,300,000","71,800,000","245,100,000","-545,300,000","-2,633,600,000","-712,500,000","1,233,300,000","1,470,500,000","975,100,000","625,955,000","404,692,000","254,873,000","191,719,000","159,800,000","93,400,000","36,200,000","27,400,000","20,500,000","17,700,000","8,900,000","9,200,000","5,800,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,"2,136,000",,,,,,,,,,
		MinorityInterests,"200,000","-100,000","-2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,,,,,,,"16,500,000",,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"1,894,100,000","1,618,500,000","1,460,300,000","1,038,400,000","886,300,000","750,700,000","533,500,000","462,700,000","956,300,000","71,800,000","245,100,000","-545,300,000","-2,633,600,000","-712,500,000","1,233,300,000","1,470,500,000","975,100,000","625,955,000","404,692,000","257,009,000","191,719,000","159,800,000","93,400,000","36,200,000","27,400,000","20,500,000","17,700,000","8,900,000","9,200,000","5,800,000"
BasicEPS,,"4.34","3.88","2.77","2.39","2.05","1.57","1.44","3.01","0.23","0.77","-1.72","-8.34","-2.27","3.94","4.71","3.143","2.105","1.505","1.133","0.85","0.703","0.482","0.278","0.24","0.049","0.029","0.014","0.016","0.011"
DilutedEPS,,"4.29","3.81","2.74","2.36","2.03","1.5","1.33","2.77","0.23","0.77","-1.72","-8.34","-2.27","3.9","4.62","3.083","2.05","1.435","1.113","0.844","0.689","0.43","0.278","0.24","0.049","0.029","0.014","0.016","0.011"
BasicAverageShares,,"372,600,000","376,600,000","374,300,000","371,000,000","366,300,000","340,500,000","322,100,000","318,100,000","318,300,000","318,100,000","316,900,000","315,700,000","313,876,652","313,020,305","312,208,068","310,286,594","297,358,362","268,891,616","226,766,978","225,585,975","227,455,513","193,717,431","130,197,713","114,042,322","107,606,199","98,955,379","100,794,197","97,134,880","523,883,729"
DilutedAverageShares,,"377,400,000","383,400,000","378,900,000","375,100,000","369,800,000","366,600,000","364,900,000","359,000,000","318,500,000","318,600,000","316,900,000","315,700,000","313,876,652","316,230,769","318,290,043","316,326,236","305,336,269","282,008,281","230,840,636","227,191,569","232,004,624","217,311,221","130,197,713","114,042,322","107,606,199","98,955,379","100,794,197","97,134,880","523,883,729"
TotalExpenses,"16,156,200,000","15,553,400,000","14,074,900,000","12,514,400,000","10,822,900,000","9,721,700,000","7,234,000,000","5,619,800,000","4,106,500,000","3,582,400,000","4,226,800,000","4,139,800,000","9,173,700,000","11,780,400,000","13,077,100,000","11,514,500,000","9,277,300,000","7,721,142,000","6,078,968,000","4,006,542,000","3,336,983,000","2,882,800,000","1,997,200,000","774,800,000","503,000,000","404,200,000","365,200,000","176,400,000","168,400,000","113,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,894,100,000","1,618,500,000","1,460,300,000","1,038,400,000","886,300,000","750,700,000","533,500,000","462,700,000","956,300,000","71,800,000","245,100,000","-545,300,000","-2,633,600,000","-712,500,000","1,233,300,000","1,470,500,000","975,100,000","625,955,000","404,692,000","254,873,000","191,719,000","159,800,000","93,400,000","36,200,000","27,400,000","20,500,000","17,700,000","8,900,000","9,200,000","5,800,000"
NormalizedIncome,"1,830,146,892.609","1,577,428,200","1,446,952,000","1,038,400,000","891,016,000","757,246,400","533,500,000","462,700,000","948,435,000","71,800,000","242,305,000","-561,788,339.67","-2,586,215,000","-351,306,244.743","1,191,157,646.822","1,439,218,027.411","957,420,190.789","617,389,238.565","405,216,375.162","271,796,741.7","186,538,896.758","155,620,242.608","95,980,000","34,628,714.524","26,476,404.494","20,121,538.462","17,390,559.441","8,772,857.143","8,746,478.873","5,413,333.333"
InterestIncome,,,,"14,500,000","13,500,000","12,500,000","10,200,000","8,500,000","10,200,000","9,600,000","10,000,000","10,400,000",,,,,,,,,,,,,,,,,,
InterestExpense,,,,,,"0","0","5,100,000","26,900,000","51,900,000","88,200,000","97,200,000",,,,,,,,,,,,,,,,,,
NetInterestIncome,,,,"14,500,000","13,500,000","12,500,000","10,200,000","3,400,000","-16,700,000","-42,300,000","-78,200,000","-86,800,000",,,,,,,,,,,,,,,,,,
EBIT,"2,309,700,000","2,039,500,000","1,993,100,000","1,576,600,000","1,334,500,000","1,123,400,000","814,200,000","662,900,000","269,800,000","64,000,000","187,700,000","-455,100,000","-2,527,600,000","-483,900,000","1,974,200,000","2,349,200,000","1,563,500,000","1,006,958,000","659,863,000","448,972,000","316,712,000","273,400,000","179,700,000","62,500,000","44,300,000","33,200,000","28,100,000","13,700,000","14,200,000","10,800,000"
EBITDA,"2,386,400,000"
ReconciledCostOfRevenue,"14,248,100,000","13,720,900,000","12,398,100,000","11,042,800,000","9,502,600,000","8,535,700,000","6,268,600,000","4,853,500,000","3,492,400,000","3,023,300,000","3,627,600,000","3,538,700,000","8,281,800,000","10,485,100,000","11,418,300,000","10,140,300,000","8,197,300,000","6,805,791,000","5,364,428,000","3,527,142,000","2,916,617,000","2,539,900,000","1,755,800,000","680,900,000","446,500,000","357,700,000","324,900,000","155,200,000","150,300,000","100,000,000"
ReconciledDepreciation,"76,700,000","72,000,000","62,400,000","54,700,000","61,000,000","54,100,000","38,400,000","22,700,000","18,800,000","19,900,000","17,200,000","25,700,000","60,400,000","71,000,000","61,700,000","57,100,000","55,500,000","45,861,000","40,645,000","36,062,000","24,492,000","20,800,000","9,800,000","4,400,000","2,600,000","2,000,000","1,200,000","400,000","300,000","200,000"
