name,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"58,807,533,000","52,731,844,000","51,821,851,000","59,961,294,000","49,421,751,000","48,346,083,000","41,163,578,000","37,354,161,000","34,477,491,000","22,197,300,000","22,701,900,000","20,890,279,255.04","16,264,901,640","15,581,066,041.38","14,896,841,242.64","13,826,923,330.04","10,389,208,868.28","5,640,455,652.9","3,734,895,351.71","3,594,639,332.7","3,122,592,900"
	CurrentAssets,"21,033,815,000","17,419,019,000","15,896,548,000","17,498,487,000","14,761,199,000","14,959,447,000","12,414,499,000","10,171,777,000","8,780,298,000","7,047,300,000","7,752,100,000","6,595,756,111.36","5,936,619,835","5,814,267,534.39","5,335,511,584.88","4,061,029,689.01","3,210,014,970.6","1,007,404,450.8","850,811,102.82","935,672,650.4","526,533,560"
		CashCashEquivalentsAndShortTermInvestments,"7,905,250,000","6,077,765,000","7,892,347,000","7,440,895,000","4,083,088,000","4,422,578,000","3,459,768,000","3,157,116,000","2,860,589,000","3,130,400,000","2,948,600,000","2,275,312,782.08","1,956,259,537.5","2,280,075,705.18","1,774,269,248.52","1,179,515,199.4","614,073,814.32","283,764,159.3","346,561,749.26","127,559,999","249,493,300"
			CashAndCashEquivalents,"5,547,637,000","3,775,093,000","6,701,864,000","7,439,723,000","3,993,359,000","4,335,859,000","3,287,622,000","2,986,819,000","2,624,270,000","2,663,600,000","2,611,600,000","1,889,943,910.4","1,543,360,622.5","2,134,367,659.2","1,753,764,619.72","686,814,718.5","125,720,247.12","219,801,050.4","36,022,267.86","127,559,999","249,493,300"
				CashFinancial,"2,228,964,000","1,428,766,000","2,178,611,000","873,966,000","227,237,000","987,824,000","398,142,000",,,,,,,,,,,,,,
				CashEquivalents,"3,318,673,000","2,346,327,000","4,523,253,000","6,565,757,000","3,766,122,000","3,348,035,000","2,889,480,000",,,,,,,,,,,,,,
			OtherShortTermInvestments,"2,357,613,000","2,302,672,000","1,190,483,000","1,172,000","89,729,000","86,719,000","172,146,000","170,297,000","236,319,000","466,800,000","337,000,000","385,368,871.68","412,898,915","145,708,045.98","20,504,628.8","492,700,480.9","488,353,567.2","63,963,108.9","310,539,481.4",,
		Receivables,"4,374,774,000","4,563,075,000","2,656,053,000","4,320,554,000","5,210,496,000","5,440,279,000","4,798,663,000","3,286,643,000","2,862,432,000","1,916,300,000","1,730,000,000","1,610,567,013.12","2,047,839,750","1,875,926,296.02","1,485,092,893.52","1,333,291,875.23","850,732,020.24","264,228,971.7","260,805,587.06","215,045,902.7","138,701,360"
			AccountsReceivable,"3,075,218,000","3,281,196,000","1,634,137,000","2,735,144,000","2,692,612,000","2,810,520,000","2,326,480,000","1,843,756,000","1,894,648,000","1,297,100,000","996,200,000","1,496,876,243.2","1,591,045,455","1,492,366,828.68","1,367,262,991","1,211,286,691.44","848,530,252.2","100,002,882.6","260,805,587.06",,
			LoansReceivable,,,,,,,,,,,,,,,,,,"12,942,177.9",,,
			AccruedInterestReceivable,,,,,,,,,"0",,,,,,,,,,,,
			TaxesReceivable,"847,088,000","982,629,000","826,015,000","1,272,004,000","2,129,837,000","2,237,213,000","1,476,211,000","1,036,253,000","698,879,000","505,900,000","610,700,000",,,,,,,,,,
