name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,09/30/2010,06/30/2010,03/31/2010
		NetIncomeIncludingNoncontrollingInterests,"587,121,000","164,935,000","155,787,000","128,305,000","138,094,000","138,399,000","146,574,000","115,211,000","110,651,000","471,102,000","99,188,000","100,925,000","84,937,000","96,988,000","93,276,000","91,803,000","92,858,000","80,899,000","77,042,000","76,118,000","19,332,000","70,131,000","62,433,000","62,037,000","61,397,000","58,847,000","48,578,000","42,990,000","39,996,000","39,809,000","37,011,000","28,172,000","26,927,000","24,762,000","18,271,000","7,023,000","3,176,000","-7,747,000","-40,664,000","-477,000"
			NetIncomeContinuousOperations,"587,121,000","164,935,000","155,787,000","128,305,000","138,094,000","138,399,000","146,574,000","115,211,000","110,651,000","471,102,000","99,188,000","100,925,000","84,937,000","96,988,000","93,276,000","91,803,000","92,858,000","80,899,000","77,042,000","76,118,000","19,332,000","70,131,000","62,433,000","62,037,000","61,397,000","58,847,000","48,578,000","42,990,000","39,996,000","39,809,000","37,011,000","28,172,000","26,927,000","24,762,000","18,271,000","7,023,000","3,176,000","-7,747,000","-40,664,000","-477,000"
	PreferredStockDividends,"11,958,000","3,843,000","3,844,000","4,271,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"575,163,000","161,092,000","151,943,000","124,034,000","138,094,000","138,399,000","146,574,000","115,211,000","110,651,000","471,102,000","99,188,000","100,925,000","84,937,000","96,988,000","93,276,000","91,803,000","92,858,000","80,899,000","77,042,000","76,118,000","19,332,000","70,131,000","62,433,000","62,037,000","61,397,000","58,847,000","48,578,000","42,990,000","39,996,000","39,809,000","37,011,000","28,172,000","26,927,000","24,762,000","18,271,000","7,023,000","3,176,000","-7,747,000","-40,664,000","-477,000"
BasicEPS,,"1.43","1.36","1.11","1.24","1.29","1.41","1.11","1.07","4.56","0.96","0.98","0.83","0.94","0.91","0.89","0.9","0.79","0.75","0.74","0.19",,"0.61","0.61","0.6","0.58","0.48","0.42","0.39",,"0.37","0.28","0.27",,"0.18","0.08","0.05","-0.12",,"-1.06"
DilutedEPS,,"1.42","1.34","1.1","1.23","1.24","1.32","1.04","1","4.22","0.9","0.92","0.78","0.89","0.86","0.84","0.85","0.74","0.71","0.7","0.19",,"0.58","0.58","0.57","0.55","0.46","0.41","0.38",,"0.36","0.28","0.26",,"0.18","0.08","0.05","-0.12",,"-1.06"
BasicAverageShares,,"113,033,348","112,133,556","111,371,790","111,018,279","107,017,743","104,066,785","104,003,960","103,747,920","103,401,287","103,221,692","103,180,769","102,947,611","102,843,867","102,842,996","102,837,443","102,679,411","102,403,797","102,580,955","102,571,600","102,455,040",,"102,383,319","101,934,815","101,857,176","101,792,573","101,753,783","101,301,263","101,260,614",,"101,247,337","100,749,892","100,717,302",,"100,714,470","91,039,329","65,393,149","64,984,887",,"449,565"
DilutedAverageShares,,"113,728,058","113,263,396","112,807,023","112,380,856","112,325,696","112,509,612","112,424,582","112,230,410","111,954,824","111,709,545","111,564,483","111,429,926","111,000,951","110,788,913","110,839,180","110,563,526","110,629,779","110,623,960","110,737,844","110,558,709",,"110,457,170","110,056,625","110,037,382","109,632,661","109,227,709","108,815,938","108,346,885",,"107,875,105","107,410,967","107,426,789",,"100,767,839","91,163,657","65,511,529","64,984,887",,"449,565"
TotalExpenses,"847,208,000","225,138,000","223,400,000","205,323,000","193,347,000","184,036,000","180,928,000","168,943,000","162,925,000","161,415,000","152,173,000","155,637,000","150,254,000","146,383,000","137,727,000","137,290,000","131,216,000","131,761,000","126,017,000","120,709,000","113,256,000","118,421,000","109,657,000","106,321,000","100,728,000","102,175,000","93,059,000","92,744,000","84,885,000","84,257,000","77,889,000","76,052,000","66,162,000","59,142,000","50,483,000","47,681,000","38,903,000","25,183,000","7,864,000","477,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"587,121,000","164,935,000","155,787,000","128,305,000","138,094,000","138,399,000","146,574,000","115,211,000","110,651,000","471,102,000","99,188,000","100,925,000","84,937,000","96,988,000","93,276,000","91,803,000","92,858,000","80,899,000","77,042,000","76,118,000","19,332,000","70,131,000","62,433,000","62,037,000","61,397,000","58,847,000","48,578,000","42,990,000","39,996,000","39,809,000","37,011,000","28,172,000","26,927,000","24,762,000","18,271,000","7,023,000","3,176,000","-7,747,000","-40,664,000","-477,000"
