name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"8,899,000,000","8,899,000,000","8,176,000,000","7,441,000,000","7,068,000,000","7,020,000,000","6,957,000,000","6,820,000,000","6,708,000,000","6,575,000,000","6,723,000,000"
	OperatingRevenue,"8,899,000,000","8,899,000,000","8,176,000,000","7,441,000,000","7,068,000,000","7,020,000,000","6,957,000,000","6,820,000,000","6,708,000,000","6,575,000,000","6,723,000,000"
CostOfRevenue,"7,368,000,000","7,368,000,000","6,385,000,000","6,018,000,000","5,608,000,000","5,517,000,000","5,540,000,000","5,583,000,000","5,629,000,000","5,551,000,000","5,831,000,000"
	OtherCostofRevenue,"7,368,000,000","7,368,000,000","6,385,000,000","6,018,000,000","5,608,000,000","5,517,000,000","5,540,000,000","5,583,000,000","5,629,000,000",,"5,831,000,000"
GrossProfit,"1,531,000,000","1,531,000,000","1,791,000,000","1,423,000,000","1,460,000,000","1,503,000,000","1,417,000,000","1,237,000,000","1,079,000,000","1,024,000,000","892,000,000"
OperatingExpense,"788,000,000","788,000,000","857,000,000","570,000,000","608,000,000","669,000,000","726,000,000","739,000,000","739,000,000","624,000,000","670,000,000"
	SellingGeneralAndAdministration,"788,000,000","788,000,000","871,000,000","570,000,000","623,000,000","669,000,000","726,000,000","739,000,000","739,000,000","624,000,000","670,000,000"
		GeneralAndAdministrativeExpense,"788,000,000","788,000,000","871,000,000","570,000,000","623,000,000","669,000,000","726,000,000","739,000,000","739,000,000",,"670,000,000"
			OtherGandA,"788,000,000","788,000,000","871,000,000","570,000,000","623,000,000","669,000,000","726,000,000","739,000,000","739,000,000",,"670,000,000"
	OtherOperatingExpenses,,,"-14,000,000",,"-15,000,000",,,,,,
OperatingIncome,"743,000,000","743,000,000","934,000,000","853,000,000","852,000,000","834,000,000","691,000,000","498,000,000","340,000,000","400,000,000","222,000,000"
NetNonOperatingInterestIncomeExpense,"-70,000,000","-70,000,000","-58,000,000","-94,000,000","-74,000,000","-137,000,000","-149,000,000","-118,000,000","-117,000,000","-104,000,000","-40,000,000"
	InterestExpenseNonOperating,"70,000,000","70,000,000","58,000,000","94,000,000","74,000,000","137,000,000","149,000,000","118,000,000","117,000,000","104,000,000","40,000,000"
OtherIncomeExpense,"10,000,000","10,000,000","95,000,000","13,000,000","6,000,000","-65,000,000","-35,000,000","14,000,000","18,000,000","-290,000,000","17,000,000"
	GainOnSaleOfSecurity,,"22,000,000","17,000,000",,,,,,,,
	EarningsFromEquityInterest,"22,000,000","22,000,000",,"12,000,000","6,000,000","10,000,000","11,000,000","14,000,000","18,000,000",,"19,000,000"
	SpecialIncomeCharges,"-29,000,000","-29,000,000",,,"0","-75,000,000","-47,000,000","0","0","-290,000,000","0"
		ImpairmentOfCapitalAssets,"29,000,000","29,000,000",,,"0","75,000,000","47,000,000","0","0","290,000,000","0"
	OtherNonOperatingIncomeExpenses,"17,000,000","17,000,000","78,000,000","1,000,000",,,"1,000,000",,,,"-2,000,000"
PretaxIncome,"683,000,000","683,000,000","971,000,000","772,000,000","784,000,000","632,000,000","507,000,000","394,000,000","241,000,000","6,000,000","199,000,000"
TaxProvision,"134,000,000","134,000,000","135,000,000","293,000,000","211,000,000","228,000,000","169,000,000","133,000,000","95,000,000","100,000,000","68,000,000"
NetIncomeCommonStockholders,"549,000,000","549,000,000","836,000,000","479,000,000","573,000,000","404,000,000","338,000,000","261,000,000","146,000,000","-94,000,000","131,000,000"
	NetIncome,"549,000,000","549,000,000","836,000,000","479,000,000","573,000,000","404,000,000","338,000,000","261,000,000","146,000,000","-94,000,000","131,000,000"
		NetIncomeIncludingNoncontrollingInterests,"549,000,000","549,000,000","836,000,000","479,000,000","573,000,000","404,000,000","338,000,000","261,000,000","146,000,000","-94,000,000","131,000,000"
			NetIncomeContinuousOperations,"549,000,000","549,000,000","836,000,000","479,000,000","573,000,000","404,000,000","338,000,000","261,000,000","146,000,000","-94,000,000","131,000,000"
DilutedNIAvailtoComStockholders,"549,000,000","549,000,000","836,000,000","479,000,000","573,000,000","404,000,000","338,000,000","261,000,000","146,000,000","-94,000,000","131,000,000"
BasicEPS,,,"19.09","10.48","12.24","8.43","6.93","5.25","2.96","-1.93","2.686"
DilutedEPS,,,"19.09","10.46","12.14","8.36","6.86","5.18","2.91","-1.93","2.686"
BasicAverageShares,,,"43,800,000","45,700,000","46,800,000","47,900,000","48,800,000","49,700,000","49,400,000","48,800,000","48,765,741"
DilutedAverageShares,,,"43,800,000","45,800,000","47,200,000","48,300,000","49,300,000","50,400,000","50,100,000","48,800,000","48,765,741"
TotalOperatingIncomeAsReported,"736,000,000","736,000,000","951,000,000","865,000,000","858,000,000","769,000,000","655,000,000","512,000,000","358,000,000","110,000,000","241,000,000"
TotalExpenses,"8,156,000,000","8,156,000,000","7,242,000,000","6,588,000,000","6,216,000,000","6,186,000,000","6,266,000,000","6,322,000,000","6,368,000,000","6,175,000,000","6,501,000,000"
InterestExpense,"70,000,000","70,000,000","58,000,000","94,000,000","74,000,000","137,000,000","149,000,000","118,000,000","117,000,000","104,000,000","40,000,000"
NetInterestIncome,"-70,000,000","-70,000,000","-58,000,000","-94,000,000","-74,000,000","-137,000,000","-149,000,000","-118,000,000","-117,000,000","-104,000,000","-40,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"549,000,000","549,000,000","836,000,000","479,000,000","573,000,000","404,000,000","338,000,000","261,000,000","146,000,000","-94,000,000","131,000,000"
NormalizedIncome,"572,316,000","572,316,000","821,363,000","479,000,000","573,000,000","451,925,000","369,349,000","261,000,000","146,000,000","94,500,000","131,000,000"
EBIT,"753,000,000","753,000,000","1,029,000,000","866,000,000","858,000,000","769,000,000","656,000,000","512,000,000","358,000,000","110,000,000","239,000,000"
EBITDA,"980,000,000"
ReconciledCostOfRevenue,"7,368,000,000","7,368,000,000","6,385,000,000","6,018,000,000","5,608,000,000","5,517,000,000","5,540,000,000","5,583,000,000","5,629,000,000","5,551,000,000","5,831,000,000"
ReconciledDepreciation,"227,000,000","227,000,000","203,000,000","205,000,000","186,000,000","180,000,000","194,000,000","226,000,000","184,000,000","184,000,000","183,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"549,000,000","549,000,000","836,000,000","479,000,000","573,000,000","404,000,000","338,000,000","261,000,000","146,000,000","-94,000,000","131,000,000"
TotalUnusualItemsExcludingGoodwill,"-29,000,000","-29,000,000","17,000,000",,"0","-75,000,000","-47,000,000","0","0","-290,000,000","0"
TotalUnusualItems,"-29,000,000","-29,000,000","17,000,000",,"0","-75,000,000","-47,000,000","0","0","-290,000,000","0"
NormalizedEBITDA,"1,009,000,000","1,009,000,000","1,215,000,000","1,071,000,000","1,044,000,000","1,024,000,000","897,000,000","738,000,000","542,000,000","584,000,000","422,000,000"
TaxRateForCalcs,"0.196","0.196","0.139","0.38","0.269","0.361","0.333","0.338","0.394","0.35","0.342"
TaxEffectOfUnusualItems,"-5,684,000","-5,684,000","2,363,000","0","0","-27,075,000","-15,651,000","0","0","-101,500,000","0"
