name,ttm,12/31/2019,12/31/2018
MarketCap,"2,369,384,088","3,992,025,400","3,837,059,906"
EnterpriseValue,"4,811,684,088","6,598,525,400","6,536,259,906"
PeRatio,"21.447","5.375","13.295"
ForwardPeRatio,"13.089","15.291","10.684"
PsRatio,"0.793","1.267","1.15"
PbRatio,"0.954","1.549","1.98"
EnterprisesValueRevenueRatio,"1.608","2.137","1.953"
EnterprisesValueEBITDARatio,"9.287","11.737","9.722"
