name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"2,574,303,132","12,446,143,626","9,226,210,799","12,165,704,272","9,661,963,783","13,349,976,638","10,643,998,906","7,277,037,259"
EnterpriseValue,"9,123,120,132","18,316,617,626","15,494,909,799","18,251,504,272","15,888,691,783","18,803,537,638","14,052,040,906","10,333,118,259"
PeRatio,"2.791","13.185","10.651","16.641","16.171","37.564","24.354","109.101"
ForwardPeRatio,"44.444","10.881","8.244","11.751","11.312","15.504","18.622","16.502"
PegRatio,"0.925","1.327","0.699","0.837","0.708","0.638","0.653",
PsRatio,"0.402","2.002","1.622","2.311","2.031","3.245","3.347","2.941"
PbRatio,"0.395","1.984","1.489","2.198","2.13","3.407","3.731","2.851"
EnterprisesValueRevenueRatio,"1.412","2.834","2.559","3.382","3.26","4.328","4.495","4.02"
EnterprisesValueEBITDARatio,"4.982","10.002","8.576","11.7","11.659","16.999","17.632","16.085"
