name,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015
TotalAssets,"725,400,000","548,438,000","380,869,000","353,018,000","274,825,000"
	CurrentAssets,"413,200,000","300,969,000","163,223,000","154,732,000","93,890,000"
		CashCashEquivalentsAndShortTermInvestments,"88,600,000","95,290,000","9,678,000","7,226,000","5,918,000"
			CashAndCashEquivalents,"88,600,000","95,290,000","9,678,000","7,226,000","5,918,000"
				CashFinancial,"88,600,000","86,273,000","9,678,000","7,226,000","5,918,000"
				CashEquivalents,,"9,017,000",,,
		Receivables,"24,400,000","17,037,000","12,925,000","17,475,000","14,109,000"
			AccountsReceivable,"20,400,000","11,944,000","8,710,000","17,475,000","14,109,000"
				GrossAccountsReceivable,"21,300,000","12,770,000","11,333,000","18,894,000","15,295,000"
				AllowanceForDoubtfulAccountsReceivable,"-900,000","-826,000","-2,623,000","-1,419,000","-1,186,000"
			TaxesReceivable,"4,000,000","5,093,000","4,215,000",,
		Inventory,"267,300,000","165,372,000","125,464,000","119,506,000","69,776,000"
			RawMaterials,"45,700,000","42,511,000","27,670,000","46,648,000","27,729,000"
			WorkInProcess,"19,000,000","8,673,000","5,746,000","4,706,000","5,168,000"
			FinishedGoods,"202,600,000","114,188,000","92,048,000","68,152,000","36,879,000"
		OtherCurrentAssets,"32,900,000","23,270,000","15,156,000","10,525,000","4,087,000"
	TotalNonCurrentAssets,"312,200,000","247,469,000","217,646,000","198,286,000","180,935,000"
		NetPPE,"84,300,000","60,172,000","36,467,000","24,430,000","12,571,000"
			GrossPPE,"111,100,000","75,739,000","44,617,000","28,314,000","14,118,000"
				Properties,"0","0","0","0","0"
				MachineryFurnitureEquipment,"48,000,000","28,551,000","15,886,000","10,428,000","5,079,000"
				OtherProperties,"7,600,000","5,570,000","3,940,000","2,492,000","1,371,000"
				ConstructionInProgress,"700,000","368,000",,,
				Leases,"54,800,000","41,250,000","24,791,000","15,394,000","7,668,000"
			AccumulatedDepreciation,"-26,800,000","-15,567,000","-8,150,000","-3,884,000","-1,547,000"
		GoodwillAndOtherIntangibleAssets,"208,700,000","182,069,000","177,181,000","170,214,000","166,583,000"
			Goodwill,"53,100,000","45,269,000","45,269,000","44,537,000","44,537,000"
			OtherIntangibleAssets,"155,600,000","136,800,000","131,912,000","125,677,000","122,046,000"
		NonCurrentDeferredAssets,"12,200,000","3,045,000","3,998,000","3,642,000","1,781,000"
			NonCurrentDeferredTaxesAssets,"12,200,000","3,045,000","3,998,000","3,642,000","1,781,000"
		OtherNonCurrentAssets,"7,000,000","2,183,000",,,
TotalLiabilitiesNetMinorityInterest,"326,300,000","304,828,000","234,701,000","210,316,000","160,392,000"
	CurrentLiabilities,"136,600,000","133,596,000","64,269,000","49,981,000","29,097,000"
		PayablesAndAccruedExpenses,"106,200,000","109,809,000","46,951,000","41,378,000","19,704,000"
			Payables,"69,100,000","63,817,000","30,445,000","34,346,000","15,893,000"
				AccountsPayable,"46,500,000","28,012,000","25,098,000","23,408,000","12,552,000"
				TotalTaxPayable,"18,100,000","17,740,000","0","7,155,000","398,000"
					IncomeTaxPayable,"18,100,000","17,740,000","0","7,155,000","398,000"
				DuetoRelatedPartiesCurrent,,,,"1,910,000","1,830,000"
				OtherPayable,"4,500,000","18,065,000","5,347,000","1,873,000","1,113,000"
			CurrentAccruedExpenses,"37,100,000","45,992,000","16,506,000","7,032,000","3,811,000"
		CurrentProvisions,"8,100,000","6,300,000","6,046,000","3,125,000","4,080,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"22,300,000","17,487,000","11,272,000","4,228,000","4,063,000"
		CurrentDebtAndCapitalLeaseObligation,,,,"1,250,000","1,250,000"
			CurrentDebt,,,,"1,250,000","1,250,000"
				OtherCurrentBorrowings,,,,"1,250,000","1,250,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"189,700,000","171,232,000","170,432,000","160,335,000","131,295,000"
		LongTermProvisions,"14,700,000","10,802,000","9,526,000","8,554,000","6,211,000"
