name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
		OtherSpecialCharges,,,,,,,,,,"-696,000","-422,000","-1,494,000",,,,,,,,,,,,,,
		GainOnSaleOfPPE,"9,600,000","9,700,000","14,800,000",,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"13,500,000","13,800,000","8,800,000","12,195,000","-6,103,000","-1,006,000","3,199,000","2,993,000","2,525,000",,,,,,,,,,,,,,,,,
PretaxIncome,"361,800,000","375,400,000","337,500,000","347,069,000","283,523,000","262,704,000","210,495,000","165,788,000","128,457,000","89,175,000","23,193,000","10,703,000","-290,851,000","43,393,000","65,706,000","85,751,000","69,451,000","59,198,000","52,766,000","35,429,000","39,535,000","32,100,000","17,800,000","9,500,000","3,200,000",
TaxProvision,"100,500,000","103,900,000","71,800,000","101,852,000","86,465,000","79,705,000","74,955,000","60,574,000","49,062,000","33,408,000","9,093,000","4,639,000","-91,703,000","17,409,000","25,369,000","33,958,000","26,878,000","23,561,000","20,450,000","13,675,000","15,222,000","12,900,000","7,000,000","3,500,000","-800,000",
NetIncomeCommonStockholders,"261,300,000","271,500,000","265,700,000","245,217,000","197,058,000","182,999,000","138,720,000","106,000,000","80,362,000","58,860,000","13,719,000","9,151,000","-252,586,000","21,549,000","37,304,000","49,800,000","42,671,000","35,547,000","32,316,000","21,754,000","24,313,000","19,200,000","10,800,000","6,000,000","4,000,000","3,400,000"
	NetIncome,"261,300,000","271,500,000","265,700,000","245,217,000","197,058,000","182,999,000","138,720,000","106,000,000","80,362,000","58,860,000","13,719,000","9,151,000","-252,586,000","21,549,000","37,304,000","49,800,000","42,671,000","35,547,000","32,316,000","21,754,000","24,313,000","19,200,000","10,800,000","6,000,000","4,000,000","3,400,000"
		NetIncomeIncludingNoncontrollingInterests,"261,300,000","271,500,000","265,700,000","245,217,000","197,058,000","182,999,000","138,720,000","106,000,000","80,362,000","58,860,000","13,719,000","9,151,000","-252,586,000","21,549,000","37,304,000","49,800,000","42,671,000","35,547,000","32,316,000","21,754,000","24,313,000","19,200,000","10,800,000","6,000,000","4,700,000","4,200,000"
			NetIncomeContinuousOperations,"261,300,000","271,500,000","265,700,000","245,217,000","197,058,000","182,999,000","135,540,000","105,214,000","79,395,000","55,767,000","14,100,000","6,064,000","-199,148,000","25,984,000","40,337,000","51,793,000","42,573,000","35,637,000","32,316,000","21,754,000","24,313,000","19,200,000","10,800,000","6,000,000","4,000,000","3,400,000"
			NetIncomeDiscontinuousOperations,,,,,"0",,"3,180,000","786,000","967,000","3,093,000","-381,000","3,087,000","-53,438,000","-4,435,000","-3,033,000","-1,993,000","98,000","-90,000",,,,,,,,
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,,,,"-700,000","-800,000"
