name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,05/31/1997
MarketCap,"3,958,943,568","5,761,322,814","3,985,517,637","4,391,680,432","3,144,236,121","2,839,926,292","3,212,059,074","2,879,754,561","1,955,711,003","2,251,295,408","2,280,270,877","1,885,071,415","1,889,722,922","2,086,367,281","2,793,568,781","2,723,572,208","1,874,121,114","1,260,041,318","843,605,003","930,233,550","719,454,968","922,817,384","776,479,176","957,264,000","947,604,766"
EnterpriseValue,"4,808,159,568","6,629,871,814","4,737,133,637","4,954,135,432","3,805,190,121","3,458,055,292","3,754,179,074","3,543,319,561","2,673,393,003","2,379,572,408","2,441,185,877","2,094,901,415","2,121,442,922","2,312,368,281","2,954,047,781","2,982,988,208","2,175,270,114","1,486,662,318","1,139,169,003","1,194,658,550","1,012,818,968","1,218,217,384","1,053,979,176","1,229,764,000","1,266,404,766"
PeRatio,"17.905","27.29","24.43","28.741","23.257","23.447","27.871","27.436","16.242","20.792","21.261","19.423","18.788","19.529","25.515","32.247","26.977","17.985","14.934","69.219","13.552","16.627","16.899","35.556",
ForwardPeRatio,"20.747","23.148",,"23.923","21.413","20.921","26.385","22.523","16.835","19.724","21.142",,,,,,,,,,,,,,
PegRatio,"2.958","2.475",,"1.632",,,"3.192","3.75","2.53","3.118","2.538",,,,,,,,,,,,,,
PsRatio,"3.558","5.251","3.751","4.469","3.403","3.48","4.416","4.036","2.833","3.614","3.832","3.38","2.929","3.524","5.363","6.018","4.666","3.348","2.487","2.892","4.428","5.899","4.928","9.592",
PbRatio,,,,,,,,,,,,,,,,,,,,,"8.208","14.067","13.743","19.417","5.842"
EnterprisesValueRevenueRatio,"4.313","5.947","4.549","4.918","4.115","4.022","4.953","4.892","3.866","3.725","4.095","3.713","3.306","3.757","5.424","6.248","5.073","3.85","3.116","3.499","6.048","7.538","6.372","12.152","2.945"
EnterprisesValueEBITDARatio,"13.325","18.373","13.074","17.601","14.856","14.508","16.714","16.96","13.068","13.292","14.092","12.822","11.517","11.93","16.753","19.522","16.119","11.874","9.69","10.417","9.193","10.936","10.614","-59.697","9.909"
