name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988
			ReceivablesAdjustmentsAllowances,"-500,000","-400,000","-4,000,000","-4,300,000","-4,600,000","-4,000,000","-4,200,000","-4,500,000","-5,500,000","-5,100,000","-4,600,000","-5,000,000","-5,800,000","-5,300,000","-4,600,000","-4,100,000","-4,500,000","-4,300,000","-3,800,000","-4,000,000","-3,700,000","-3,600,000","-3,300,000","-3,200,000","-4,000,000","-3,600,000","-3,400,000","-3,200,000","-3,400,000","-3,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"3,305,800,000","3,280,700,000","3,517,900,000","3,771,400,000","3,650,500,000","3,381,300,000","3,587,000,000","3,529,300,000","3,365,600,000","3,408,600,000","3,713,200,000","3,692,600,000","3,520,100,000","3,448,000,000","3,661,400,000","3,927,800,000","3,612,000,000","3,226,900,000","3,230,700,000","2,928,400,000","2,899,000,000","2,691,400,000","2,776,600,000","2,712,000,000","2,827,200,000","2,504,800,000","2,625,200,000","2,499,800,000","2,396,900,000","2,142,100,000","2,077,700,000","1,984,600,000","1,809,200,000","1,601,700,000","1,780,000,000","1,731,700,000","1,867,000,000","1,739,800,000","1,580,900,000","1,512,400,000","1,408,300,000","1,161,100,000","1,257,900,000","1,553,400,000","1,876,000,000","1,967,500,000","2,295,400,000","2,377,100,000","2,325,700,000","2,230,100,000","2,346,600,000","2,258,200,000","2,361,400,000","2,363,800,000","2,795,700,000","2,673,600,000","2,682,700,000","2,203,500,000","2,623,600,000","2,856,500,000","2,640,500,000","2,647,100,000","3,357,600,000","3,140,800,000","2,919,300,000","2,373,900,000","2,809,300,000","2,803,500,000","2,598,400,000","2,251,700,000","2,507,300,000","2,363,100,000","2,178,500,000","2,248,800,000","2,439,300,000","2,597,400,000","2,769,200,000","2,403,300,000","2,799,100,000","2,658,800,000","2,706,800,000","2,221,000,000","2,193,200,000","2,130,600,000","1,853,500,000","1,490,800,000","1,518,400,000","1,384,300,000","1,094,800,000","931,200,000","758,200,000","493,700,000","34,200,000","28,000,000",,,,,,,,,,,"1,900,000","2,600,000",,,,,,,,,,,,,,,
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,000,000","131,500,000","127,300,000","125,800,000","122,600,000","119,700,000","118,400,000","115,600,000","110,600,000","107,200,000","106,900,000","106,600,000",,,,"134,500,000",,,,"150,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"3,305,800,000","3,280,700,000","3,517,900,000","3,771,400,000","3,650,500,000","3,381,300,000","3,587,000,000","3,529,300,000","3,365,600,000","3,408,600,000","3,713,200,000","3,692,600,000","3,520,100,000","3,448,000,000","3,661,400,000","3,927,800,000","3,612,000,000","3,226,900,000","3,230,700,000","2,928,400,000","2,899,000,000","2,691,400,000","2,776,600,000","2,712,000,000","2,827,200,000","2,504,800,000","2,625,200,000","2,499,800,000","2,396,900,000","2,010,100,000","1,946,200,000","1,857,300,000","1,683,400,000","1,479,100,000","1,660,300,000","1,613,300,000","1,751,400,000","1,629,200,000","1,473,700,000","1,405,500,000","1,301,700,000",,,,"1,741,500,000",,,,"1,861,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"313,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"146,600,000","243,600,000","313,800,000","229,000,000","208,700,000","203,400,000","209,300,000","177,000,000","251,700,000","87,200,000","85,400,000","97,600,000","97,000,000","123,400,000","130,600,000","129,500,000","117,100,000","202,700,000","207,000,000","204,800,000","207,000,000","196,200,000","191,600,000","192,900,000","192,700,000","186,100,000","190,200,000","204,700,000","196,100,000","203,400,000","205,200,000","202,800,000","193,000,000","224,900,000","222,700,000","209,300,000","205,000,000","232,100,000","237,600,000","254,600,000","259,800,000","242,200,000","328,500,000","303,300,000","179,700,000","200,100,000","205,900,000","217,200,000","165,800,000","183,300,000","177,600,000","187,400,000","158,500,000","177,600,000","177,900,000","210,300,000","158,200,000","175,300,000","199,000,000","154,300,000","156,800,000","143,100,000","133,300,000","127,100,000","131,900,000","113,300,000","138,700,000","144,400,000","94,700,000","100,000,000","97,700,000","44,300,000","43,700,000","64,600,000","238,300,000","229,000,000","216,000,000","188,800,000","173,200,000","74,500,000","73,800,000","98,500,000","68,600,000","145,500,000","4,173,600,000","4,961,900,000","5,246,100,000","159,500,000","4,605,700,000","4,563,200,000","4,649,800,000","4,448,000,000","2,170,700,000","135,700,000","59,700,000","16,000,000","14,200,000","5,700,000","4,100,000","4,500,000","4,100,000","5,500,000","5,900,000","4,300,000","3,400,000","4,600,000","6,900,000","4,600,000","4,600,000","7,800,000","8,500,000","10,600,000","3,400,000","8,600,000","4,800,000","9,000,000","1,000,000","13,900,000","300,000","-100,000",
	TotalNonCurrentAssets,"6,132,200,000","6,053,000,000","6,035,900,000","6,082,500,000","5,781,100,000","5,682,000,000","5,584,700,000","5,573,400,000","5,474,000,000","5,504,700,000","5,503,500,000","5,415,900,000","5,345,200,000","5,265,100,000","5,124,400,000","5,124,900,000","4,846,900,000","4,599,800,000","4,565,800,000","4,453,200,000","4,400,500,000","4,186,800,000","4,143,600,000","4,106,300,000","4,084,100,000","4,016,300,000","3,946,500,000","3,853,300,000","3,841,900,000","3,604,700,000","3,577,500,000","3,550,600,000","3,522,600,000","3,470,800,000","3,446,800,000","3,438,600,000","3,345,100,000","3,282,200,000","3,204,100,000","3,170,000,000","3,156,700,000","3,173,000,000","3,191,300,000","3,330,900,000","3,460,000,000","3,542,300,000","5,249,400,000","5,253,500,000","5,241,200,000","5,231,400,000","5,224,400,000","5,219,100,000","5,221,200,000","5,096,200,000","5,007,700,000","4,986,000,000","4,944,100,000","4,954,800,000","4,953,500,000","4,989,700,000","5,021,200,000","5,018,300,000","5,045,000,000","4,991,800,000","4,832,800,000","4,951,800,000","4,903,000,000","4,969,400,000","4,955,700,000","4,954,100,000","5,003,200,000","5,024,400,000","4,912,900,000","4,770,400,000","4,570,700,000","4,624,600,000","4,653,800,000","4,681,300,000","4,597,500,000","5,462,700,000","5,312,500,000","5,523,100,000","5,169,500,000","6,075,000,000","5,519,500,000","5,733,300,000","5,012,500,000","4,633,700,000","3,701,500,000","3,217,800,000","2,770,700,000","2,369,900,000","1,191,300,000","606,000,000","518,700,000","435,200,000","335,300,000","198,900,000","101,100,000","121,600,000","118,200,000","128,400,000","127,300,000","127,000,000","127,900,000","143,300,000","133,700,000","132,900,000","133,000,000","124,700,000","120,200,000","115,600,000","117,700,000","103,100,000","86,300,000","80,700,000","53,600,000","45,700,000","1,100,000","100,000","300,000"
		NetPPE,"3,507,700,000","3,459,600,000","3,451,200,000","3,473,000,000","3,155,300,000","3,085,500,000","3,023,100,000","3,000,300,000","2,962,700,000","2,949,200,000","2,950,700,000","2,897,000,000","2,843,200,000","2,807,600,000","2,772,200,000","2,768,100,000","2,667,400,000","2,494,400,000","2,489,200,000","2,433,300,000","2,422,000,000","2,293,400,000","2,272,900,000","2,244,200,000","2,235,300,000","2,186,800,000","2,122,900,000","2,102,400,000","2,095,100,000","2,007,700,000","1,987,000,000","1,960,900,000","1,950,700,000","1,919,200,000","1,884,300,000","1,880,400,000","1,838,000,000","1,780,700,000","1,741,900,000","1,728,000,000","1,729,200,000","1,725,800,000","1,742,800,000","1,854,800,000","1,937,000,000","1,970,200,000","1,956,300,000","1,963,600,000","1,986,600,000","1,964,300,000","1,946,100,000","1,935,800,000","1,929,600,000","1,897,400,000","1,824,200,000","1,816,100,000","1,832,300,000","1,819,200,000","1,830,100,000","1,819,000,000","1,836,300,000","1,803,200,000","1,809,300,000","1,793,100,000","1,696,700,000","1,709,000,000","1,704,400,000","1,703,700,000","1,678,400,000","1,633,700,000","1,612,800,000","1,606,300,000","1,583,300,000","1,545,300,000","1,523,700,000","1,548,800,000","1,538,100,000","1,485,000,000","1,404,700,000","1,339,400,000","1,360,400,000","1,694,700,000","1,663,900,000","2,187,700,000","2,043,600,000","2,811,300,000","2,534,100,000","2,338,700,000","2,096,900,000","1,934,000,000","1,758,000,000","1,496,500,000","846,400,000","331,600,000","258,000,000","229,400,000","187,500,000","110,900,000","87,000,000","86,400,000","85,500,000","102,000,000","101,200,000","100,900,000","101,400,000","111,200,000","102,500,000","101,500,000","101,200,000","93,400,000","90,100,000","87,600,000","77,500,000","70,300,000","66,500,000","63,300,000","36,700,000","25,400,000","400,000","100,000","100,000"
			GrossPPE,"4,988,900,000","4,859,600,000","4,851,200,000","4,873,000,000","4,488,100,000","4,385,500,000","4,323,100,000","4,200,300,000","4,173,800,000","4,149,200,000","4,150,700,000","3,997,000,000","3,936,400,000","3,907,600,000","3,872,200,000","3,768,100,000","3,677,200,000","3,475,500,000","3,474,300,000","3,384,500,000","3,352,500,000","3,235,700,000","3,198,700,000","3,145,500,000","3,119,000,000","3,066,600,000","2,992,900,000","2,956,000,000","2,921,900,000","2,820,700,000","2,779,700,000","2,734,800,000","2,707,500,000","2,657,300,000","2,607,800,000","2,588,400,000","2,527,600,000","2,467,400,000","2,412,600,000","2,376,200,000","2,361,800,000","2,345,500,000","2,343,100,000","2,463,100,000","2,609,800,000","2,628,900,000","2,598,000,000","2,583,000,000","2,592,400,000","2,550,800,000","2,520,800,000","2,492,800,000","2,469,800,000","2,418,600,000","2,327,800,000","2,305,500,000","2,306,000,000","2,278,000,000","2,273,800,000","2,234,300,000","2,251,600,000","2,148,000,000","2,154,100,000","2,137,900,000","2,041,500,000","1,974,800,000","1,970,200,000","1,969,500,000","1,944,200,000","1,843,300,000","1,822,400,000","1,815,900,000","1,792,900,000","1,713,100,000","1,691,500,000","1,716,600,000","1,705,900,000","1,645,300,000","1,570,300,000","1,496,800,000","1,511,100,000","1,848,300,000","1,793,700,000","2,501,800,000","2,689,000,000","3,533,200,000","3,226,100,000","3,014,300,000","2,742,300,000","2,412,000,000","2,255,100,000","1,921,000,000","928,300,000","458,000,000","374,700,000","318,200,000","269,400,000","123,100,000","99,200,000","98,600,000","97,700,000","121,100,000","120,300,000","120,000,000","120,500,000","126,600,000","117,900,000","116,900,000","116,600,000","107,600,000","104,300,000","100,600,000","80,800,000","72,400,000","67,700,000","65,200,000","38,100,000","25,500,000","500,000","2,800,000","2,700,000"
				Properties,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,"1,376,800,000",,,,"1,360,800,000",,,,"1,332,500,000",,,,"1,267,400,000",,,,"1,178,400,000",,,,"1,090,400,000",,,,"997,100,000",,,,"924,600,000",,,,"867,100,000",,,,"837,700,000",,,,"829,800,000",,,,"892,800,000",,,,"899,800,000",,,,"842,200,000",,,,"755,500,000",,,,"711,100,000",,,,"599,300,000",,,,"574,200,000",,,,"586,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"2,306,000,000",,,,"2,320,200,000",,,,"2,121,100,000",,,,"2,009,600,000",,,,"1,856,600,000",,,,"1,683,400,000",,,,"1,552,600,000",,,,"1,451,500,000",,,,"1,321,800,000",,,,"1,210,300,000",,,,"1,057,900,000",,,,"1,201,400,000",,,,"1,187,300,000",,,,"1,165,100,000",,,,"1,111,900,000",,,,"1,133,300,000",,,,"1,063,900,000",,,,"1,031,300,000",,,,"902,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"973,000,000",,,,"807,100,000",,,,"720,200,000",,,,"659,400,000",,,,"642,200,000",,,,"578,700,000",,,,"569,300,000",,,,"545,800,000",,,,"518,600,000",,,,"479,600,000",,,,"474,100,000",,,,"515,600,000",,,,"505,300,000",,,,"462,500,000",,,,"438,600,000",,,,"407,200,000",,,,"378,300,000",,,,"338,700,000",,,,"303,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"333,100,000","4,859,600,000","4,851,200,000","4,873,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
